Year,Annual CO₂ emissions
1750,9305937
1751,9407229
1752,9505168
1753,9610490
1754,9733580
1755,9793468
1756,9909914
1757,10093936
1758,10216358
1759,10338854
1760,10514331
1761,10747885
1762,10952198
1763,11191592
1764,11396982
1765,11643486
1766,11876080
1767,12152509
1768,12466936
1769,12780074
1770,13097216
1771,13369488
1772,13623507
1773,13808138
1774,14012415
1775,14338920
1776,14654124
1777,14959537
1778,15243483
1779,15535235
1780,15878726
1781,16234383
1782,16580954
1783,17062752
1784,17471092
1785,17965128
1786,18447496
1787,18859130
1788,19286228
1789,19863424
1790,20398094
1791,20931750
1792,21929214
1793,22297260
1794,22519656
1795,22315246
1796,22121374
1797,22090078
1798,23105928
1799,27485206
1800,32798352
1801,31986050
1802,40310476
1803,29538506
1804,31769176
1805,31251818
1806,32704620
1807,36200652
1808,35497788
1809,36333812
1810,39492310
1811,40176680
1812,40814520
1813,41206140
1814,42226650
1815,43587264
1816,45496580
1817,49275920
1818,51392010
1819,50930170
1820,50733076
1821,52059348
1822,54021710
1823,56357760
1824,57583636
1825,60730864
1826,61382130
1827,65738572
1828,66681790
1829,66307412
1830,88988260
1831,83250616
1832,82091560
1833,83248700
1834,88763100
1835,97399600
1836,106894500
1837,106199420
1838,105845260
1839,109653030
1840,118808510
1841,122165550
1842,129388790
1843,132369384
1844,141942270
1845,155037360
1846,157656130
1847,170740910
1848,173579870
1849,184931980
1850,196751970
1851,198668110
1852,207414200
1853,217120430
1854,255033170
1855,260104400
1856,277296450
1857,279932000
1858,284225150
1859,301481250
1860,330962600
1861,347785820
1862,354488900
1863,378180160
1864,407725980
1865,432859140
1866,446553600
1867,478160740
1868,491551940
1869,521954200
1870,533338270
1871,566891300
1872,627301250
1873,666481200
1874,624232500
1875,677113860
1876,686780200
1877,700404400
1878,705973570
1879,755990460
1880,853916350
1881,883544060
1882,933360100
1883,992753600
1884,1004134100
1885,1011637100
1886,1027417500
1887,1078746900
1888,1194352600
1889,1194624000
1890,1300362400
1891,1361750100
1892,1372396500
1893,1355477200
1894,1403019100
1895,1487432300
1896,1536365600
1897,1609231600
1898,1697166300
1899,1853709200
1900,1952209500
1901,2016744400
1902,2067683800
1903,2254100200
1904,2279747300
1905,2427318300
1906,2534733000
1907,2888318000
1908,2776440800
1909,2890495000
1910,3034089700
1911,3079502000
1912,3235963600
1913,3506275800
1914,3180355600
1915,3134854000
1916,3385858300
1917,3540426800
1918,3493264100
1919,3029006600
1920,3521427500
1921,3090096600
1922,3240313900
1923,3676233200
1924,3687220200
1925,3727033600
1926,3661030400
1927,3996128800
1928,3978763300
1929,4270907600
1930,3938598400
1931,3519903200
1932,3173476400
1933,3341518300
1934,3634241800
1935,3814798300
1936,4185513700
1937,4474233000
1938,4206901000
1939,4451247000
1940,4861346000
1941,4970814500
1942,4959586000
1943,5041694000
1944,5117908500
1945,4257136000
1946,4646123500
1947,5145782000
1948,5424953000
1949,5181006000
1950,5929342000
1951,6381405700
1952,6467437000
1953,6650861600
1954,6789497300
1955,7443861000
1956,7925980700
1957,8185614000
1958,8417160000
1959,8854662000
1960,9386421000
1961,9414383000
1962,9746556000
1963,10266046000
1964,10823619000
1965,11309690000
1966,11861708000
1967,12236328000
1968,12904336000
1969,13760840000
1970,14898157000
1971,15502787000
1972,16223440000
1973,17083500000
1974,17009382000
1975,17049979000
1976,17985243000
1977,18494652000
1978,19063955000
1979,19603001000
1980,19482442000
1981,19016950000
1982,18865373000
1983,18985900000
1984,19641730000
1985,20305132000
1986,20607515000
1987,21245784000
1988,22077385000
1989,22378970000
1990,22752700000
1991,23229475000
1992,22567199000
1993,22798350000
1994,23034776000
1995,23524491000
1996,24250161000
1997,24395952000
1998,24330945000
1999,24833495000
2000,25501286000
2001,25674930000
2002,26248288000
2003,27648650000
2004,28620194000
2005,29592103000
2006,30605767000
2007,31499735000
2008,32041902000
2009,31493265000
2010,33306330000
2011,34436470000
2012,34935450000
2013,35232470000
2014,35466195000
2015,35463213000
2016,35460026000
2017,36025455000
2018,36766945000
2019,37040103000
2020,35007738000
2021,36816544000
2022,37149786000
