Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2004-01-01,15,0.0,-17.2,61.8796121360518,25.299436616956275,63.4
Clear (0/8),2004-01-02,15,1.0,-24.7,61.8796121360518,25.299436616956275,65.66666666666667
Clear (0/8),2004-01-03,15,2.0,-16.9,61.8796121360518,25.299436616956275,54.56666666666667
Cloudy (8/8),2004-01-04,15,3.0,-5.9,61.8796121360518,25.299436616956275,4.5
Mostly cloudy (7/8),2004-01-05,17,4.0,-6.5,61.8796121360518,25.299436616956275,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,20,5.0,-6.4,61.8796121360518,25.299436616956275,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,21,6.0,-4.4,61.8796121360518,25.299436616956275,5.366666666666666
Cloudy (8/8),2004-01-08,20,7.0,-5.2,61.8796121360518,25.299436616956275,2.1
Cloudy (8/8),2004-01-09,25,8.0,-6.3,61.8796121360518,25.299436616956275,2.2
Cloudy (8/8),2004-01-10,25,9.0,-12.3,61.8796121360518,25.299436616956275,2.5666666666666664
Cloudy (8/8),2004-01-11,26,10.0,-11.6,61.8796121360518,25.299436616956275,2.3000000000000003
Cloudy (8/8),2004-01-12,21,11.0,-8.2,61.8796121360518,25.299436616956275,2.2
Mostly cloudy (7/8),2004-01-13,21,12.0,-2.1,61.8796121360518,25.299436616956275,2.1333333333333333
Cloudy (8/8),2004-01-14,22,13.0,-4.1,61.8796121360518,25.299436616956275,1.8333333333333333
Cloudy (8/8),2004-01-15,21,14.0,-6.4,61.8796121360518,25.299436616956275,2.5
Cloudy (8/8),2004-01-16,22,15.0,-7.8,61.8796121360518,25.299436616956275,27.8
Cloudy (8/8),2004-01-17,24,16.0,-6.2,61.8796121360518,25.299436616956275,3.9
Mostly cloudy (7/8),2004-01-18,22,17.0,-7.4,61.8796121360518,25.299436616956275,30.3
Mostly cloudy (7/8),2004-01-19,23,18.0,-17.8,61.8796121360518,25.299436616956275,2.9
Cloudy (8/8),2004-01-20,25,19.0,-17.8,61.8796121360518,25.299436616956275,50.7
Mostly clear (3/8),2004-01-21,25,20.0,-16.4,61.8796121360518,25.299436616956275,57.16666666666666
Mostly cloudy (7/8),2004-01-22,25,21.0,-14.7,61.8796121360518,25.299436616956275,71.56666666666666
Mostly cloudy (7/8),2004-01-23,26,22.0,-11.7,61.8796121360518,25.299436616956275,18.666666666666668
Mostly cloudy (7/8),2004-01-24,25,23.0,-1.6,61.8796121360518,25.299436616956275,2.1333333333333333
Mostly clear (3/8),2004-01-25,25,24.0,-8.1,61.8796121360518,25.299436616956275,3.266666666666667
Cloudy (8/8),2004-01-26,23,25.0,-8.9,61.8796121360518,25.299436616956275,7.533333333333334
Cloudy (8/8),2004-01-27,24,26.0,-6.2,61.8796121360518,25.299436616956275,2.266666666666666
Mostly cloudy (7/8),2004-01-28,26,27.0,-7.1,61.8796121360518,25.299436616956275,3.033333333333333
Mostly cloudy (7/8),2004-01-29,27,28.0,-5.9,61.8796121360518,25.299436616956275,2.466666666666667
Mostly cloudy (7/8),2004-01-30,27,29.0,-7.9,61.8796121360518,25.299436616956275,5.4
Mostly cloudy (7/8),2004-01-31,27,30.0,-5.8,61.8796121360518,25.299436616956275,2.566666666666667
Cloudy (8/8),2004-02-01,37,31.0,-2.2,61.8796121360518,25.299436616956275,2.1333333333333333
Cloudy (8/8),2004-02-02,44,32.0,-6.7,61.8796121360518,25.299436616956275,3.466666666666667
Cloudy (8/8),2004-02-03,43,33.0,-4.5,61.8796121360518,25.299436616956275,13.033333333333331
Cloudy (8/8),2004-02-04,40,34.0,0.7,61.8796121360518,25.299436616956275,2.5
Mostly cloudy (7/8),2004-02-05,31,35.0,-2.4,61.8796121360518,25.299436616956275,3.333333333333333
Mostly cloudy (7/8),2004-02-06,30,36.0,-7.2,61.8796121360518,25.299436616956275,4.533333333333333
Cloudy (8/8),2004-02-07,34,37.0,-7.6,61.8796121360518,25.299436616956275,3.766666666666667
Cloudy (8/8),2004-02-08,34,38.0,-13.8,61.8796121360518,25.299436616956275,21.03333333333333
Cloudy (8/8),2004-02-09,33,39.0,-13.4,61.8796121360518,25.299436616956275,18.03333333333333
Clear (0/8),2004-02-10,33,40.0,-14.9,61.8796121360518,25.299436616956275,119.2
Clear (1/8),2004-02-11,34,41.0,-17.3,61.8796121360518,25.299436616956275,146.46666666666667
Clear (1/8),2004-02-12,34,42.0,-15.5,61.8796121360518,25.299436616956275,33.6
Cloudy (8/8),2004-02-13,35,43.0,-4.3,61.8796121360518,25.299436616956275,2.7999999999999994
