Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Mostly cloudy (7/8),2004-01-01,32,0.0,-24.5,63.09919816994788,29.819181926899105,63.4
Cloudy (8/8),2004-01-02,32,1.0,-22.7,63.09919816994788,29.819181926899105,65.66666666666667
Cloudy (8/8),2004-01-03,32,2.0,-11.2,63.09919816994788,29.819181926899105,54.56666666666667
Mostly cloudy (7/8),2004-01-04,33,3.0,-11.3,63.09919816994788,29.819181926899105,4.5
Cloudy (8/8),2004-01-05,33,4.0,-13.7,63.09919816994788,29.819181926899105,3.4666666666666663
Clear (0/8),2004-01-06,33,5.0,-22.3,63.09919816994788,29.819181926899105,2.7999999999999994
Cloudy (8/8),2004-01-07,34,6.0,-11.4,63.09919816994788,29.819181926899105,5.366666666666666
Mostly cloudy (7/8),2004-01-08,34,7.0,-10.5,63.09919816994788,29.819181926899105,2.1
Mostly cloudy (7/8),2004-01-09,34,8.0,-8.5,63.09919816994788,29.819181926899105,2.2
Clear (0/8),2004-01-10,34,9.0,-15.2,63.09919816994788,29.819181926899105,2.5666666666666664
Cloudy (8/8),2004-01-11,34,10.0,-16.4,63.09919816994788,29.819181926899105,2.3000000000000003
Mostly cloudy (7/8),2004-01-12,35,11.0,-11.4,63.09919816994788,29.819181926899105,2.2
Cloudy (8/8),2004-01-13,35,12.0,-6,63.09919816994788,29.819181926899105,2.1333333333333333
Mostly cloudy (7/8),2004-01-14,36,13.0,-6.6,63.09919816994788,29.819181926899105,1.8333333333333333
Cloudy (8/8),2004-01-15,36,14.0,-7.3,63.09919816994788,29.819181926899105,2.5
Cloudy (8/8),2004-01-16,39,15.0,-8.6,63.09919816994788,29.819181926899105,27.8
Cloudy (8/8),2004-01-17,41,16.0,-11.1,63.09919816994788,29.819181926899105,3.9
Mostly cloudy (7/8),2004-01-18,41,17.0,-7.9,63.09919816994788,29.819181926899105,30.3
Cloudy (8/8),2004-01-19,43,18.0,-14.3,63.09919816994788,29.819181926899105,2.9
Clear (0/8),2004-01-20,43,19.0,-22.4,63.09919816994788,29.819181926899105,50.7
Mostly cloudy (7/8),2004-01-21,42,20.0,-15.5,63.09919816994788,29.819181926899105,57.16666666666666
Cloudy (8/8),2004-01-22,43,21.0,-15.8,63.09919816994788,29.819181926899105,71.56666666666666
Clear (1/8),2004-01-23,43,22.0,-15.1,63.09919816994788,29.819181926899105,18.666666666666668
Mostly cloudy (7/8),2004-01-24,43,23.0,-3,63.09919816994788,29.819181926899105,2.1333333333333333
Cloudy (8/8),2004-01-25,42,24.0,-4.1,63.09919816994788,29.819181926899105,3.266666666666667
Mostly cloudy (7/8),2004-01-26,42,25.0,-8.9,63.09919816994788,29.819181926899105,7.533333333333334
Cloudy (8/8),2004-01-27,43,26.0,-7.1,63.09919816994788,29.819181926899105,2.266666666666666
Cloudy (8/8),2004-01-28,44,27.0,-6.6,63.09919816994788,29.819181926899105,3.033333333333333
Mostly cloudy (7/8),2004-01-29,46,28.0,-6.6,63.09919816994788,29.819181926899105,2.466666666666667
Cloudiness cannot be determined (9/8),2004-01-30,51,29.0,-8,63.09919816994788,29.819181926899105,5.4
Mostly cloudy (7/8),2004-01-31,52,30.0,-5.9,63.09919816994788,29.819181926899105,2.566666666666667
Mostly cloudy (7/8),2004-02-01,60,31.0,-4.1,63.09919816994788,29.819181926899105,2.1333333333333333
