Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (0/8),2004-01-01,39,0.0,-27.3,67.78546081039612,24.856284347661145,63.4
Mostly cloudy (7/8),2004-01-02,39,1.0,-30,67.78546081039612,24.856284347661145,65.66666666666667
Mostly cloudy (7/8),2004-01-03,39,2.0,-20.5,67.78546081039612,24.856284347661145,54.56666666666667
Cloudy (8/8),2004-01-04,40,3.0,-15.2,67.78546081039612,24.856284347661145,4.5
Cloudy (8/8),2004-01-05,40,4.0,-19.3,67.78546081039612,24.856284347661145,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,41,5.0,-16.5,67.78546081039612,24.856284347661145,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,41,6.0,-8.4,67.78546081039612,24.856284347661145,5.366666666666666
Cloudy (8/8),2004-01-08,41,7.0,-4.2,67.78546081039612,24.856284347661145,2.1
Cloudy (8/8),2004-01-09,41,8.0,-6.4,67.78546081039612,24.856284347661145,2.2
Cloudy (8/8),2004-01-10,40,9.0,-9.4,67.78546081039612,24.856284347661145,2.5666666666666664
Cloudy (8/8),2004-01-11,40,10.0,-5.4,67.78546081039612,24.856284347661145,2.3000000000000003
Mostly cloudy (7/8),2004-01-12,40,11.0,-6.6,67.78546081039612,24.856284347661145,2.2
Mostly cloudy (7/8),2004-01-13,41,12.0,-9.3,67.78546081039612,24.856284347661145,2.1333333333333333
Cloudy (8/8),2004-01-14,41,13.0,-3.7,67.78546081039612,24.856284347661145,1.8333333333333333
Cloudy (8/8),2004-01-15,42,14.0,-4.9,67.78546081039612,24.856284347661145,2.5
Cloudy (8/8),2004-01-16,42,15.0,-7,67.78546081039612,24.856284347661145,27.8
Mostly cloudy (7/8),2004-01-17,44,16.0,-13.4,67.78546081039612,24.856284347661145,3.9
Mostly cloudy (7/8),2004-01-18,44,17.0,-15.2,67.78546081039612,24.856284347661145,30.3
Cloudy (8/8),2004-01-19,45,18.0,-11.7,67.78546081039612,24.856284347661145,2.9
Mostly cloudy (7/8),2004-01-20,45,19.0,-11.5,67.78546081039612,24.856284347661145,50.7
Cloudy (8/8),2004-01-21,45,20.0,-16.2,67.78546081039612,24.856284347661145,57.16666666666666
Clear (0/8),2004-01-22,45,21.0,-23.1,67.78546081039612,24.856284347661145,71.56666666666666
Cloudy (8/8),2004-01-23,45,22.0,-7.7,67.78546081039612,24.856284347661145,18.666666666666668
Cloudy (8/8),2004-01-24,45,23.0,-4.8,67.78546081039612,24.856284347661145,2.1333333333333333
Cloudy (8/8),2004-01-25,45,24.0,-1.7,67.78546081039612,24.856284347661145,3.266666666666667
Cloudy (8/8),2004-01-26,43,25.0,-6.1,67.78546081039612,24.856284347661145,7.533333333333334
Mostly cloudy (7/8),2004-01-27,43,26.0,-6.6,67.78546081039612,24.856284347661145,2.266666666666666
Mostly cloudy (7/8),2004-01-28,48,27.0,-10.6,67.78546081039612,24.856284347661145,3.033333333333333
Cloudy (8/8),2004-01-29,49,28.0,-12.3,67.78546081039612,24.856284347661145,2.466666666666667
Cloudy (8/8),2004-01-30,49,29.0,-12.1,67.78546081039612,24.856284347661145,5.4
Cloudy (8/8),2004-01-31,52,30.0,-14.2,67.78546081039612,24.856284347661145,2.566666666666667
Mostly cloudy (7/8),2004-02-01,58,31.0,-12.9,67.78546081039612,24.856284347661145,2.1333333333333333
Mostly cloudy (7/8),2004-02-02,58,32.0,-14,67.78546081039612,24.856284347661145,3.466666666666667
Cloudy (8/8),2004-02-03,60,33.0,-11.6,67.78546081039612,24.856284347661145,13.033333333333331
Mostly cloudy (7/8),2004-02-04,58,34.0,-13.7,67.78546081039612,24.856284347661145,2.5
Mostly cloudy (7/8),2004-02-05,65,35.0,-8.6,67.78546081039612,24.856284347661145,3.333333333333333
Mostly cloudy (7/8),2004-02-06,64,36.0,-13.6,67.78546081039612,24.856284347661145,4.533333333333333
Cloudy (8/8),2004-02-07,65,37.0,-26.9,67.78546081039612,24.856284347661145,3.766666666666667
Cloudy (8/8),2004-02-08,64,38.0,-22.8,67.78546081039612,24.856284347661145,21.03333333333333
Cloudy (8/8),2004-02-09,63,39.0,-17,67.78546081039612,24.856284347661145,18.03333333333333
Partly cloudy (5/8),2004-02-10,62,40.0,-20.6,67.78546081039612,24.856284347661145,119.2
Clear (0/8),2004-02-11,62,41.0,-18.5,67.78546081039612,24.856284347661145,146.46666666666667
Partly cloudy (5/8),2004-02-12,61,42.0,-13.6,67.78546081039612,24.856284347661145,33.6
Mostly clear (3/8),2004-02-13,61,43.0,-12.9,67.78546081039612,24.856284347661145,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,63,44.0,-2.8,67.78546081039612,24.856284347661145,4.866666666666666
Cloudy (8/8),2004-02-15,63,45.0,-2.7,67.78546081039612,24.856284347661145,15.833333333333334
