Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2004-01-01,10,0.0,-10.4,61.01379075534379,25.55854445562533,63.4
Clear (0/8),2004-01-02,8,1.0,-16.0,61.01379075534379,25.55854445562533,65.66666666666667
Clear (0/8),2004-01-03,8,2.0,-20.9,61.01379075534379,25.55854445562533,54.56666666666667
Cloudy (8/8),2004-01-04,8,3.0,-8.8,61.01379075534379,25.55854445562533,4.5
Mostly cloudy (7/8),2004-01-05,9,4.0,-6.9,61.01379075534379,25.55854445562533,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,9,5.0,-8.3,61.01379075534379,25.55854445562533,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,10,6.0,-3.9,61.01379075534379,25.55854445562533,5.366666666666666
Cloudy (8/8),2004-01-08,10,7.0,-5.5,61.01379075534379,25.55854445562533,2.1
Cloudy (8/8),2004-01-09,10,8.0,-6.6,61.01379075534379,25.55854445562533,2.2
Cloudy (8/8),2004-01-10,10,9.0,-10.7,61.01379075534379,25.55854445562533,2.5666666666666664
Cloudy (8/8),2004-01-11,10,10.0,-10.0,61.01379075534379,25.55854445562533,2.3000000000000003
Cloudy (8/8),2004-01-12,11,11.0,-7.2,61.01379075534379,25.55854445562533,2.2
Mostly cloudy (7/8),2004-01-13,11,12.0,-1.2,61.01379075534379,25.55854445562533,2.1333333333333333
Cloudy (8/8),2004-01-14,12,13.0,-4.1,61.01379075534379,25.55854445562533,1.8333333333333333
Cloudy (8/8),2004-01-15,14,14.0,-5.1,61.01379075534379,25.55854445562533,2.5
Cloudy (8/8),2004-01-16,15,15.0,-8.4,61.01379075534379,25.55854445562533,27.8
Cloudy (8/8),2004-01-17,16,16.0,-6.7,61.01379075534379,25.55854445562533,3.9
Mostly cloudy (7/8),2004-01-18,16,17.0,-5.4,61.01379075534379,25.55854445562533,30.3
Mostly cloudy (7/8),2004-01-19,17,18.0,-10.5,61.01379075534379,25.55854445562533,2.9
Cloudy (8/8),2004-01-20,17,19.0,-15.4,61.01379075534379,25.55854445562533,50.7
Mostly clear (3/8),2004-01-21,17,20.0,-16.6,61.01379075534379,25.55854445562533,57.16666666666666
Mostly cloudy (7/8),2004-01-22,17,21.0,-13.9,61.01379075534379,25.55854445562533,71.56666666666666
Mostly cloudy (7/8),2004-01-23,17,22.0,-15.5,61.01379075534379,25.55854445562533,18.666666666666668
Mostly cloudy (7/8),2004-01-24,17,23.0,-2.3,61.01379075534379,25.55854445562533,2.1333333333333333
Mostly clear (3/8),2004-01-25,17,24.0,-7.7,61.01379075534379,25.55854445562533,3.266666666666667
Cloudy (8/8),2004-01-26,17,25.0,-7.8,61.01379075534379,25.55854445562533,7.533333333333334
Cloudy (8/8),2004-01-27,17,26.0,-6.0,61.01379075534379,25.55854445562533,2.266666666666666
Mostly cloudy (7/8),2004-01-28,20,27.0,-5.9,61.01379075534379,25.55854445562533,3.033333333333333
Mostly cloudy (7/8),2004-01-29,21,28.0,-4.8,61.01379075534379,25.55854445562533,2.466666666666667
Mostly cloudy (7/8),2004-01-30,22,29.0,-5.3,61.01379075534379,25.55854445562533,5.4
Mostly cloudy (7/8),2004-01-31,23,30.0,-5.1,61.01379075534379,25.55854445562533,2.566666666666667
Cloudy (8/8),2004-02-01,38,31.0,-1.5,61.01379075534379,25.55854445562533,2.1333333333333333
Cloudy (8/8),2004-02-02,40,32.0,-5.4,61.01379075534379,25.55854445562533,3.466666666666667
Cloudy (8/8),2004-02-03,40,33.0,-3.4,61.01379075534379,25.55854445562533,13.033333333333331
Cloudy (8/8),2004-02-04,30,34.0,1.1,61.01379075534379,25.55854445562533,2.5
Mostly cloudy (7/8),2004-02-05,20,35.0,-0.1,61.01379075534379,25.55854445562533,3.333333333333333
Mostly cloudy (7/8),2004-02-06,20,36.0,-6.5,61.01379075534379,25.55854445562533,4.533333333333333
Cloudy (8/8),2004-02-07,20,37.0,-5.8,61.01379075534379,25.55854445562533,3.766666666666667
Cloudy (8/8),2004-02-08,20,38.0,-11.9,61.01379075534379,25.55854445562533,21.03333333333333
Cloudy (8/8),2004-02-09,22,39.0,-10.1,61.01379075534379,25.55854445562533,18.03333333333333
Clear (0/8),2004-02-10,22,40.0,-14.2,61.01379075534379,25.55854445562533,119.2
Clear (1/8),2004-02-11,22,41.0,-14.9,61.01379075534379,25.55854445562533,146.46666666666667
Clear (1/8),2004-02-12,22,42.0,-16.0,61.01379075534379,25.55854445562533,33.6
Cloudy (8/8),2004-02-13,23,43.0,-4.7,61.01379075534379,25.55854445562533,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,23,44.0,0.8,61.01379075534379,25.55854445562533,4.866666666666666
Cloudy (8/8),2004-02-15,23,45.0,-0.8,61.01379075534379,25.55854445562533,15.833333333333334
Mostly cloudy (7/8),2004-02-16,23,46.0,-4.1,61.01379075534379,25.55854445562533,93.9
Mostly cloudy (7/8),2004-02-17,25,47.0,-6.1,61.01379075534379,25.55854445562533,3.066666666666667
Mostly cloudy (7/8),2004-02-18,31,48.0,-12.0,61.01379075534379,25.55854445562533,142.03333333333333
Clear (0/8),2004-02-19,31,49.0,-14.4,61.01379075534379,25.55854445562533,40.333333333333336
Cloudy (8/8),2004-02-20,31,50.0,-0.6,61.01379075534379,25.55854445562533,31.8
Clear (0/8),2004-02-21,31,51.0,-0.2,61.01379075534379,25.55854445562533,52.6
Clear (0/8),2004-02-22,26,52.0,-3.0,61.01379075534379,25.55854445562533,3.9333333333333336
Mostly cloudy (7/8),2004-02-23,26,53.0,-6.5,61.01379075534379,25.55854445562533,6.333333333333333
Mostly cloudy (7/8),2004-02-24,26,54.0,-7.3,61.01379075534379,25.55854445562533,116.13333333333334
Mostly cloudy (7/8),2004-02-25,27,55.0,-4.1,61.01379075534379,25.55854445562533,2.766666666666667
Mostly cloudy (7/8),2004-02-26,29,56.0,-1.4,61.01379075534379,25.55854445562533,3.3666666666666667
Mostly cloudy (7/8),2004-02-27,36,57.0,-2.1,61.01379075534379,25.55854445562533,46.06666666666666
Cloudy (8/8),2004-02-28,36,58.0,-5.8,61.01379075534379,25.55854445562533,118.6
Mostly cloudy (7/8),2004-02-29,36,59.0,-6.9,61.01379075534379,25.55854445562533,59.1
Cloudy (8/8),2004-03-01,36,60.0,-2.8,61.01379075534379,25.55854445562533,22.633333333333336
Mostly cloudy (7/8),2004-03-02,38,61.0,-2.2,61.01379075534379,25.55854445562533,22.7
Cloudy (8/8),2004-03-03,48,62.0,-6.6,61.01379075534379,25.55854445562533,172.03333333333333
Clear (0/8),2004-03-04,48,63.0,-7.7,61.01379075534379,25.55854445562533,226.33333333333331
Clear (0/8),2004-03-05,48,64.0,-11.0,61.01379075534379,25.55854445562533,152.53333333333333
Mostly cloudy (7/8),2004-03-06,48,65.0,-8.5,61.01379075534379,25.55854445562533,133.03333333333333
Clear (0/8),2004-03-07,48,66.0,-6.0,61.01379075534379,25.55854445562533,94.6
Cloudy (8/8),2004-03-08,48,67.0,-0.6,61.01379075534379,25.55854445562533,60.46666666666667
Clear (0/8),2004-03-09,47,68.0,-5.6,61.01379075534379,25.55854445562533,223.4
Clear (0/8),2004-03-10,45,69.0,-6.9,61.01379075534379,25.55854445562533,235.0
Mostly cloudy (7/8),2004-03-11,45,70.0,-3.3,61.01379075534379,25.55854445562533,263.93333333333334
Mostly clear (3/8),2004-03-12,44,71.0,-2.9,61.01379075534379,25.55854445562533,195.9
Clear (0/8),2004-03-13,43,72.0,-4.2,61.01379075534379,25.55854445562533,215.53333333333333
Clear (0/8),2004-03-14,42,73.0,-4.2,61.01379075534379,25.55854445562533,32.63333333333333
Cloudy (8/8),2004-03-15,42,74.0,0.5,61.01379075534379,25.55854445562533,2.5666666666666664
Cloudy (8/8),2004-03-16,41,75.0,2.3,61.01379075534379,25.55854445562533,4.033333333333333
Clear (0/8),2004-03-17,40,76.0,0.8,61.01379075534379,25.55854445562533,163.5666666666667
Mostly cloudy (7/8),2004-03-18,26,77.0,1.5,61.01379075534379,25.55854445562533,62.46666666666667
Clear (0/8),2004-03-19,25,78.0,1.4,61.01379075534379,25.55854445562533,192.5
Cloudy (8/8),2004-03-20,23,79.0,0.6,61.01379075534379,25.55854445562533,2.166666666666667
Cloudy (8/8),2004-03-21,21,80.0,1.0,61.01379075534379,25.55854445562533,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,23,81.0,0.6,61.01379075534379,25.55854445562533,7.933333333333334
Mostly cloudy (7/8),2004-03-23,24,82.0,-0.5,61.01379075534379,25.55854445562533,18.066666666666663
Cloudy (8/8),2004-03-24,24,83.0,0.9,61.01379075534379,25.55854445562533,15.033333333333331
