Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Mostly cloudy (7/8),2004-01-01,,0,-7.2,60.10268550038162,24.464341197907363,63.4
Clear (0/8),2004-01-02,0.0,1,-11.9,60.10268550038162,24.464341197907363,65.66666666666667
Clear (0/8),2004-01-03,0.0,2,-10.2,60.10268550038162,24.464341197907363,54.56666666666667
Clear (1/8),2004-01-04,0.0,3,-4.4,60.10268550038162,24.464341197907363,4.5
Cloudy (8/8),2004-01-05,,4,-3.2,60.10268550038162,24.464341197907363,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,2.0,5,-3.4,60.10268550038162,24.464341197907363,2.7999999999999994
Clear (1/8),2004-01-07,5.0,6,-2.4,60.10268550038162,24.464341197907363,5.366666666666666
Mostly cloudy (7/8),2004-01-08,5.0,7,-4.2,60.10268550038162,24.464341197907363,2.1
Mostly cloudy (7/8),2004-01-09,5.0,8,-5.0,60.10268550038162,24.464341197907363,2.2
Mostly cloudy (7/8),2004-01-10,5.0,9,-7.1,60.10268550038162,24.464341197907363,2.5666666666666664
Mostly cloudy (7/8),2004-01-11,5.0,10,-5.9,60.10268550038162,24.464341197907363,2.3000000000000003
Cloudy (8/8),2004-01-12,5.0,11,-3.9,60.10268550038162,24.464341197907363,2.2
Cloudy (8/8),2004-01-13,6.0,12,0.5,60.10268550038162,24.464341197907363,2.1333333333333333
Cloudy (8/8),2004-01-14,8.0,13,-2.3,60.10268550038162,24.464341197907363,1.8333333333333333
Mostly cloudy (7/8),2004-01-15,10.0,14,-4.0,60.10268550038162,24.464341197907363,2.5
Mostly cloudy (7/8),2004-01-16,10.0,15,-8.3,60.10268550038162,24.464341197907363,27.8
Cloudy (8/8),2004-01-17,13.0,16,-2.3,60.10268550038162,24.464341197907363,3.9
Cloudy (8/8),2004-01-18,17.0,17,-4.4,60.10268550038162,24.464341197907363,30.3
Cloudy (8/8),2004-01-19,17.0,18,-5.5,60.10268550038162,24.464341197907363,2.9
Cloudy (8/8),2004-01-20,16.0,19,-11.6,60.10268550038162,24.464341197907363,50.7
Clear (0/8),2004-01-21,14.0,20,-15.6,60.10268550038162,24.464341197907363,57.16666666666666
Mostly clear (3/8),2004-01-22,14.0,21,-13.0,60.10268550038162,24.464341197907363,71.56666666666666
Clear (0/8),2004-01-23,13.0,22,-9.1,60.10268550038162,24.464341197907363,18.666666666666668
Mostly cloudy (7/8),2004-01-24,13.0,23,-2.2,60.10268550038162,24.464341197907363,2.1333333333333333
Mostly cloudy (7/8),2004-01-25,13.0,24,-6.6,60.10268550038162,24.464341197907363,3.266666666666667
Mostly cloudy (7/8),2004-01-26,13.0,25,-4.5,60.10268550038162,24.464341197907363,7.533333333333334
Mostly cloudy (7/8),2004-01-27,15.0,26,-4.3,60.10268550038162,24.464341197907363,2.266666666666666
Cloudy (8/8),2004-01-28,17.0,27,-3.7,60.10268550038162,24.464341197907363,3.033333333333333
Mostly cloudy (7/8),2004-01-29,18.0,28,-3.5,60.10268550038162,24.464341197907363,2.466666666666667
Cloudy (8/8),2004-01-30,22.0,29,-3.8,60.10268550038162,24.464341197907363,5.4
Mostly cloudy (7/8),2004-01-31,22.0,30,-3.4,60.10268550038162,24.464341197907363,2.566666666666667
Mostly cloudy (7/8),2004-02-01,47.0,31,-0.5,60.10268550038162,24.464341197907363,2.1333333333333333
Cloudy (8/8),2004-02-02,48.0,32,-2.8,60.10268550038162,24.464341197907363,3.466666666666667
Cloudy (8/8),2004-02-03,47.0,33,-1.9,60.10268550038162,24.464341197907363,13.033333333333331
Cloudy (8/8),2004-02-04,45.0,34,1.5,60.10268550038162,24.464341197907363,2.5
Mostly cloudy (7/8),2004-02-05,35.0,35,0.8,60.10268550038162,24.464341197907363,3.333333333333333
Mostly cloudy (7/8),2004-02-06,,36,-3.1,60.10268550038162,24.464341197907363,4.533333333333333
Cloudiness cannot be determined (9/8),2004-02-07,32.0,37,-3.5,60.10268550038162,24.464341197907363,3.766666666666667
Mostly cloudy (7/8),2004-02-08,31.0,38,-7.4,60.10268550038162,24.464341197907363,21.03333333333333
Cloudy (8/8),2004-02-09,34.0,39,-7.7,60.10268550038162,24.464341197907363,18.03333333333333
Clear (0/8),2004-02-10,33.0,40,-12.3,60.10268550038162,24.464341197907363,119.2
Clear (0/8),2004-02-11,33.0,41,-13.6,60.10268550038162,24.464341197907363,146.46666666666667
Clear (0/8),2004-02-12,33.0,42,-12.9,60.10268550038162,24.464341197907363,33.6
Cloudy (8/8),2004-02-13,35.0,43,-2.2,60.10268550038162,24.464341197907363,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,35.0,44,1.4,60.10268550038162,24.464341197907363,4.866666666666666
Mostly cloudy (7/8),2004-02-15,36.0,45,-0.4,60.10268550038162,24.464341197907363,15.833333333333334
Mostly cloudy (7/8),2004-02-16,35.0,46,-2.0,60.10268550038162,24.464341197907363,93.9
Cloudy (8/8),2004-02-17,33.0,47,-1.3,60.10268550038162,24.464341197907363,3.066666666666667
Mostly cloudy (7/8),2004-02-18,36.0,48,-9.5,60.10268550038162,24.464341197907363,142.03333333333333
