Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2004-01-01,25.0,0,-29.6,67.01425685767254,27.149530204689302,63.4
Mostly cloudy (7/8),2004-01-02,25.0,1,-22.0,67.01425685767254,27.149530204689302,65.66666666666667
Partly cloudy (5/8),2004-01-03,25.0,2,-18.9,67.01425685767254,27.149530204689302,54.56666666666667
Cloudy (8/8),2004-01-04,30.0,3,-14.7,67.01425685767254,27.149530204689302,4.5
Mostly cloudy (7/8),2004-01-05,30.0,4,-15.5,67.01425685767254,27.149530204689302,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,30.0,5,-15.2,67.01425685767254,27.149530204689302,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,30.0,6,-10.1,67.01425685767254,27.149530204689302,5.366666666666666
Cloudy (8/8),2004-01-08,30.0,7,-2.8,67.01425685767254,27.149530204689302,2.1
Cloudy (8/8),2004-01-09,30.0,8,-3.6,67.01425685767254,27.149530204689302,2.2
Cloudy (8/8),2004-01-10,28.0,9,-4.8,67.01425685767254,27.149530204689302,2.5666666666666664
Cloudy (8/8),2004-01-11,25.0,10,-4.5,67.01425685767254,27.149530204689302,2.3000000000000003
Cloudy (8/8),2004-01-12,25.0,11,-8.4,67.01425685767254,27.149530204689302,2.2
Mostly cloudy (7/8),2004-01-13,26.0,12,-9.5,67.01425685767254,27.149530204689302,2.1333333333333333
Cloudy (8/8),2004-01-14,31.0,13,-5.8,67.01425685767254,27.149530204689302,1.8333333333333333
Cloudy (8/8),2004-01-15,37.0,14,-6.2,67.01425685767254,27.149530204689302,2.5
Cloudy (8/8),2004-01-16,37.0,15,-7.8,67.01425685767254,27.149530204689302,27.8
Cloudy (8/8),2004-01-17,37.0,16,-14.4,67.01425685767254,27.149530204689302,3.9
Cloudy (8/8),2004-01-18,37.0,17,-16.8,67.01425685767254,27.149530204689302,30.3
Cloudy (8/8),2004-01-19,37.0,18,-14.6,67.01425685767254,27.149530204689302,2.9
Mostly cloudy (7/8),2004-01-20,38.0,19,-19.0,67.01425685767254,27.149530204689302,50.7
Mostly cloudy (7/8),2004-01-21,38.0,20,-13.6,67.01425685767254,27.149530204689302,57.16666666666666
Mostly cloudy (7/8),2004-01-22,38.0,21,-22.4,67.01425685767254,27.149530204689302,71.56666666666666
Cloudy (8/8),2004-01-23,38.0,22,-5.7,67.01425685767254,27.149530204689302,18.666666666666668
Cloudy (8/8),2004-01-24,34.0,23,-2.8,67.01425685767254,27.149530204689302,2.1333333333333333
Cloudy (8/8),2004-01-25,35.0,24,-1.8,67.01425685767254,27.149530204689302,3.266666666666667
Mostly cloudy (7/8),2004-01-26,34.0,25,-7.5,67.01425685767254,27.149530204689302,7.533333333333334
Cloudy (8/8),2004-01-27,36.0,26,-7.0,67.01425685767254,27.149530204689302,2.266666666666666
Cloudy (8/8),2004-01-28,37.0,27,-9.4,67.01425685767254,27.149530204689302,3.033333333333333
Cloudy (8/8),2004-01-29,39.0,28,-11.1,67.01425685767254,27.149530204689302,2.466666666666667
Mostly cloudy (7/8),2004-01-30,40.0,29,-12.0,67.01425685767254,27.149530204689302,5.4
Mostly cloudy (7/8),2004-01-31,41.0,30,-11.8,67.01425685767254,27.149530204689302,2.566666666666667
Cloudiness cannot be determined (9/8),2004-02-01,43.0,31,-9.6,67.01425685767254,27.149530204689302,2.1333333333333333
Clear (0/8),2004-02-02,44.0,32,-13.8,67.01425685767254,27.149530204689302,3.466666666666667
Mostly cloudy (7/8),2004-02-03,44.0,33,-9.5,67.01425685767254,27.149530204689302,13.033333333333331
Mostly cloudy (7/8),2004-02-04,44.0,34,-9.3,67.01425685767254,27.149530204689302,2.5
Cloudy (8/8),2004-02-05,48.0,35,-9.6,67.01425685767254,27.149530204689302,3.333333333333333
Mostly cloudy (7/8),2004-02-06,48.0,36,-13.2,67.01425685767254,27.149530204689302,4.533333333333333
Cloudy (8/8),2004-02-07,51.0,37,-20.3,67.01425685767254,27.149530204689302,3.766666666666667
Cloudy (8/8),2004-02-08,51.0,38,-21.3,67.01425685767254,27.149530204689302,21.03333333333333
Cloudiness cannot be determined (9/8),2004-02-09,51.0,39,-21.4,67.01425685767254,27.149530204689302,18.03333333333333
Cloudy (8/8),2004-02-10,51.0,40,-22.3,67.01425685767254,27.149530204689302,119.2
Clear (0/8),2004-02-11,51.0,41,-26.1,67.01425685767254,27.149530204689302,146.46666666666667
Clear (1/8),2004-02-12,51.0,42,-13.0,67.01425685767254,27.149530204689302,33.6
Cloudiness cannot be determined (9/8),2004-02-13,49.0,43,-9.3,67.01425685767254,27.149530204689302,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,56.0,44,-4.5,67.01425685767254,27.149530204689302,4.866666666666666
Cloudy (8/8),2004-02-15,56.0,45,-3.8,67.01425685767254,27.149530204689302,15.833333333333334
Partly cloudy (5/8),2004-02-16,56.0,46,-9.3,67.01425685767254,27.149530204689302,93.9
Cloudy (8/8),2004-02-17,56.0,47,-11.3,67.01425685767254,27.149530204689302,3.066666666666667
Mostly cloudy (7/8),2004-02-18,59.0,48,-11.7,67.01425685767254,27.149530204689302,142.03333333333333
Cloudy (8/8),2004-02-19,55.0,49,-8.3,67.01425685767254,27.149530204689302,40.333333333333336
Cloudy (8/8),2004-02-20,52.0,50,3.0,67.01425685767254,27.149530204689302,31.8
Cloudy (8/8),2004-02-21,52.0,51,-1.2,67.01425685767254,27.149530204689302,52.6
Mostly cloudy (7/8),2004-02-22,53.0,52,-7.4,67.01425685767254,27.149530204689302,3.9333333333333336
Clear (0/8),2004-02-23,53.0,53,-17.8,67.01425685767254,27.149530204689302,6.333333333333333
Clear (0/8),2004-02-24,47.0,54,-15.4,67.01425685767254,27.149530204689302,116.13333333333334
Cloudy (8/8),2004-02-25,47.0,55,-11.7,67.01425685767254,27.149530204689302,2.766666666666667
Cloudy (8/8),2004-02-26,47.0,56,-10.7,67.01425685767254,27.149530204689302,3.3666666666666667
Cloudy (8/8),2004-02-27,48.0,57,-17.0,67.01425685767254,27.149530204689302,46.06666666666666
Cloudy (8/8),2004-02-28,48.0,58,-23.3,67.01425685767254,27.149530204689302,118.6
Cloudiness cannot be determined (9/8),2004-02-29,48.0,59,-20.3,67.01425685767254,27.149530204689302,59.1
Mostly cloudy (7/8),2004-03-01,53.0,60,-12.4,67.01425685767254,27.149530204689302,22.633333333333336
Cloudy (8/8),2004-03-02,54.0,61,-13.8,67.01425685767254,27.149530204689302,22.7
Mostly cloudy (7/8),2004-03-03,53.0,62,-11.0,67.01425685767254,27.149530204689302,172.03333333333333
Cloudy (8/8),2004-03-04,,63,-16.1,67.01425685767254,27.149530204689302,226.33333333333331
Mostly cloudy (7/8),2004-03-05,,64,-12.8,67.01425685767254,27.149530204689302,152.53333333333333
Mostly cloudy (7/8),2004-03-06,53.0,65,-9.4,67.01425685767254,27.149530204689302,133.03333333333333
