Cloud cover [1/8],Date,Snow depth [cm],Average temperature [°C],latitude,longitude,Average radiation
Cloudy (8/8),2004-01-01,34,-14.5,66.16575626929145,29.152157226680888,63.4
Mostly cloudy (7/8),2004-01-02,35,-13.3,66.16575626929145,29.152157226680888,65.66666666666667
Partly cloudy (5/8),2004-01-03,34,-14.4,66.16575626929145,29.152157226680888,54.56666666666667
Cloudy (8/8),2004-01-04,33,-15.7,66.16575626929145,29.152157226680888,4.5
Mostly cloudy (7/8),2004-01-05,35,-14.6,66.16575626929145,29.152157226680888,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,34,-17.3,66.16575626929145,29.152157226680888,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,34,-11.8,66.16575626929145,29.152157226680888,5.366666666666666
Cloudy (8/8),2004-01-08,34,-6.6,66.16575626929145,29.152157226680888,2.1
Cloudy (8/8),2004-01-09,33,-4.5,66.16575626929145,29.152157226680888,2.2
Cloudy (8/8),2004-01-10,32,-4.4,66.16575626929145,29.152157226680888,2.5666666666666664
Cloudy (8/8),2004-01-11,32,-8.5,66.16575626929145,29.152157226680888,2.3000000000000003
Cloudy (8/8),2004-01-12,31,-12.6,66.16575626929145,29.152157226680888,2.2
Mostly cloudy (7/8),2004-01-13,32,-11.7,66.16575626929145,29.152157226680888,2.1333333333333333
Cloudy (8/8),2004-01-14,34,-9.1,66.16575626929145,29.152157226680888,1.8333333333333333
Cloudy (8/8),2004-01-15,34,-12,66.16575626929145,29.152157226680888,2.5
Cloudy (8/8),2004-01-16,40,-9,66.16575626929145,29.152157226680888,27.8
Cloudy (8/8),2004-01-17,44,-10.2,66.16575626929145,29.152157226680888,3.9
Cloudy (8/8),2004-01-18,44,-12.5,66.16575626929145,29.152157226680888,30.3
Cloudy (8/8),2004-01-19,44,-13.8,66.16575626929145,29.152157226680888,2.9
Mostly cloudy (7/8),2004-01-20,44,-16.4,66.16575626929145,29.152157226680888,50.7
Mostly cloudy (7/8),2004-01-21,43,-13.2,66.16575626929145,29.152157226680888,57.16666666666666
Mostly cloudy (7/8),2004-01-22,43,-11.2,66.16575626929145,29.152157226680888,71.56666666666666
Cloudy (8/8),2004-01-23,42,-9.6,66.16575626929145,29.152157226680888,18.666666666666668
Cloudy (8/8),2004-01-24,42,-4.3,66.16575626929145,29.152157226680888,2.1333333333333333
Cloudy (8/8),2004-01-25,42,-4.7,66.16575626929145,29.152157226680888,3.266666666666667
Mostly cloudy (7/8),2004-01-26,41,-12.2,66.16575626929145,29.152157226680888,7.533333333333334
Cloudy (8/8),2004-01-27,42,-9.7,66.16575626929145,29.152157226680888,2.266666666666666
Cloudy (8/8),2004-01-28,42,-9.7,66.16575626929145,29.152157226680888,3.033333333333333
Cloudy (8/8),2004-01-29,45,-11.7,66.16575626929145,29.152157226680888,2.466666666666667
Mostly cloudy (7/8),2004-01-30,45,-10.3,66.16575626929145,29.152157226680888,5.4
Mostly cloudy (7/8),2004-01-31,46,-11.5,66.16575626929145,29.152157226680888,2.566666666666667
Cloudiness cannot be determined (9/8),2004-02-01,50,-7.1,66.16575626929145,29.152157226680888,2.1333333333333333
Clear (0/8),2004-02-02,50,-12.2,66.16575626929145,29.152157226680888,3.466666666666667
Mostly cloudy (7/8),2004-02-03,48,-6.7,66.16575626929145,29.152157226680888,13.033333333333331
Mostly cloudy (7/8),2004-02-04,48,-6.4,66.16575626929145,29.152157226680888,2.5
Cloudy (8/8),2004-02-05,56,-8.6,66.16575626929145,29.152157226680888,3.333333333333333
Mostly cloudy (7/8),2004-02-06,56,-10.7,66.16575626929145,29.152157226680888,4.533333333333333
Cloudy (8/8),2004-02-07,58,-13.5,66.16575626929145,29.152157226680888,3.766666666666667
Cloudy (8/8),2004-02-08,57,-13.8,66.16575626929145,29.152157226680888,21.03333333333333
Cloudiness cannot be determined (9/8),2004-02-09,58,-16,66.16575626929145,29.152157226680888,18.03333333333333
Cloudy (8/8),2004-02-10,58,-17.6,66.16575626929145,29.152157226680888,119.2
Clear (0/8),2004-02-11,57,-18.6,66.16575626929145,29.152157226680888,146.46666666666667
Clear (1/8),2004-02-12,57,-13.1,66.16575626929145,29.152157226680888,33.6
Cloudiness cannot be determined (9/8),2004-02-13,59,-7.8,66.16575626929145,29.152157226680888,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,61,-7.9,66.16575626929145,29.152157226680888,4.866666666666666
Cloudy (8/8),2004-02-15,63,-5.7,66.16575626929145,29.152157226680888,15.833333333333334
Partly cloudy (5/8),2004-02-16,63,-10.6,66.16575626929145,29.152157226680888,93.9
Cloudy (8/8),2004-02-17,62,-14.3,66.16575626929145,29.152157226680888,3.066666666666667
Mostly cloudy (7/8),2004-02-18,60,-14.5,66.16575626929145,29.152157226680888,142.03333333333333
Cloudy (8/8),2004-02-19,61,-11.1,66.16575626929145,29.152157226680888,40.333333333333336
Cloudy (8/8),2004-02-20,61,-1.1,66.16575626929145,29.152157226680888,31.8
Cloudy (8/8),2004-02-21,56,-2,66.16575626929145,29.152157226680888,52.6
Mostly cloudy (7/8),2004-02-22,68,-6.9,66.16575626929145,29.152157226680888,3.9333333333333336
Clear (0/8),2004-02-23,67,-10.1,66.16575626929145,29.152157226680888,6.333333333333333
Clear (0/8),2004-02-24,65,-12.2,66.16575626929145,29.152157226680888,116.13333333333334
Cloudy (8/8),2004-02-25,64,-14.5,66.16575626929145,29.152157226680888,2.766666666666667
Cloudy (8/8),2004-02-26,66,-12,66.16575626929145,29.152157226680888,3.3666666666666667
Cloudy (8/8),2004-02-27,67,-9.7,66.16575626929145,29.152157226680888,46.06666666666666
Cloudy (8/8),2004-02-28,69,-11.9,66.16575626929145,29.152157226680888,118.6
Cloudiness cannot be determined (9/8),2004-02-29,69,-13.8,66.16575626929145,29.152157226680888,59.1
Mostly cloudy (7/8),2004-03-01,68,-11.4,66.16575626929145,29.152157226680888,22.633333333333336
Cloudy (8/8),2004-03-02,70,-13.2,66.16575626929145,29.152157226680888,22.7
Mostly cloudy (7/8),2004-03-03,69,-11.2,66.16575626929145,29.152157226680888,172.03333333333333
Cloudy (8/8),2004-03-04,68,-10.2,66.16575626929145,29.152157226680888,226.33333333333331
Mostly cloudy (7/8),2004-03-05,68,-11.1,66.16575626929145,29.152157226680888,152.53333333333333
Mostly cloudy (7/8),2004-03-06,67,-8.2,66.16575626929145,29.152157226680888,133.03333333333333
Cloudy (8/8),2004-03-07,68,-6.9,66.16575626929145,29.152157226680888,94.6
Clear (1/8),2004-03-08,67,-7.5,66.16575626929145,29.152157226680888,60.46666666666667
Clear (0/8),2004-03-09,66,-5.7,66.16575626929145,29.152157226680888,223.4
Mostly clear (3/8),2004-03-10,65,-3.3,66.16575626929145,29.152157226680888,235.0
Clear (0/8),2004-03-11,64,-1.1,66.16575626929145,29.152157226680888,263.93333333333334
Clear (0/8),2004-03-12,61,-4.8,66.16575626929145,29.152157226680888,195.9
Cloudy (8/8),2004-03-13,61,-5.9,66.16575626929145,29.152157226680888,215.53333333333333
Clear (0/8),2004-03-14,61,-3.5,66.16575626929145,29.152157226680888,32.63333333333333
Cloudy (8/8),2004-03-15,61,-1.9,66.16575626929145,29.152157226680888,2.5666666666666664
Mostly cloudy (7/8),2004-03-16,63,-1.2,66.16575626929145,29.152157226680888,4.033333333333333
Mostly cloudy (7/8),2004-03-17,63,-3.4,66.16575626929145,29.152157226680888,163.5666666666667
Clear (0/8),2004-03-18,63,-4.2,66.16575626929145,29.152157226680888,62.46666666666667
Mostly cloudy (7/8),2004-03-19,63,-2.8,66.16575626929145,29.152157226680888,192.5
Cloudy (8/8),2004-03-20,63,-2.5,66.16575626929145,29.152157226680888,2.166666666666667
Mostly cloudy (7/8),2004-03-21,63,-5.7,66.16575626929145,29.152157226680888,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,63,-10.8,66.16575626929145,29.152157226680888,7.933333333333334
Cloudy (8/8),2004-03-23,63,-10.7,66.16575626929145,29.152157226680888,18.066666666666663
Cloudy (8/8),2004-03-24,64,-10.2,66.16575626929145,29.152157226680888,15.033333333333331
Cloudy (8/8),2004-03-25,64,-12.6,66.16575626929145,29.152157226680888,63.13333333333333
Mostly cloudy (7/8),2004-03-26,64,-13,66.16575626929145,29.152157226680888,115.33333333333331
Mostly cloudy (7/8),2004-03-27,64,-10.3,66.16575626929145,29.152157226680888,66.00000000000001
Cloudy (8/8),2004-03-28,69,-5.1,66.16575626929145,29.152157226680888,226.63333333333333
Mostly cloudy (7/8),2004-03-29,71,-4.3,66.16575626929145,29.152157226680888,122.53333333333336
Mostly cloudy (7/8),2004-03-30,70,-7.8,66.16575626929145,29.152157226680888,125.66666666666669
Cloudy (8/8),2004-03-31,70,-8.1,66.16575626929145,29.152157226680888,347.43333333333334
Clear (0/8),2004-04-01,68,-10.3,66.16575626929145,29.152157226680888,401.3333333333333
Mostly cloudy (7/8),2004-04-02,67,-6.5,66.16575626929145,29.152157226680888,371.8666666666666
Clear (0/8),2004-04-03,67,-3.1,66.16575626929145,29.152157226680888,311.26666666666665
Clear (0/8),2004-04-04,66,-0.8,66.16575626929145,29.152157226680888,316.6
Clear (0/8),2004-04-05,65,0.8,66.16575626929145,29.152157226680888,230.0666666666667
