Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (0/8),2004-01-01,40,0,-21.8,68.42513494822931,27.44966181554389,63.4
Mostly cloudy (7/8),2004-01-02,40,1,-22.2,68.42513494822931,27.44966181554389,65.66666666666667
Mostly cloudy (7/8),2004-01-03,40,2,-20.6,68.42513494822931,27.44966181554389,54.56666666666667
Cloudy (8/8),2004-01-04,40,3,-16.1,68.42513494822931,27.44966181554389,4.5
Cloudy (8/8),2004-01-05,40,4,-15.5,68.42513494822931,27.44966181554389,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,40,5,-15.9,68.42513494822931,27.44966181554389,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,40,6,-12.0,68.42513494822931,27.44966181554389,5.366666666666666
Cloudy (8/8),2004-01-08,40,7,-3.6,68.42513494822931,27.44966181554389,2.1
Cloudy (8/8),2004-01-09,40,8,-5.4,68.42513494822931,27.44966181554389,2.2
Cloudy (8/8),2004-01-10,40,9,-7.4,68.42513494822931,27.44966181554389,2.5666666666666664
Cloudy (8/8),2004-01-11,41,10,-6.0,68.42513494822931,27.44966181554389,2.3000000000000003
Mostly cloudy (7/8),2004-01-12,40,11,-7.4,68.42513494822931,27.44966181554389,2.2
Mostly cloudy (7/8),2004-01-13,41,12,-10.8,68.42513494822931,27.44966181554389,2.1333333333333333
Cloudy (8/8),2004-01-14,41,13,-7.5,68.42513494822931,27.44966181554389,1.8333333333333333
Cloudy (8/8),2004-01-15,41,14,-6.9,68.42513494822931,27.44966181554389,2.5
Cloudy (8/8),2004-01-16,41,15,-7.9,68.42513494822931,27.44966181554389,27.8
Mostly cloudy (7/8),2004-01-17,45,16,-11.7,68.42513494822931,27.44966181554389,3.9
Mostly cloudy (7/8),2004-01-18,44,17,-12.6,68.42513494822931,27.44966181554389,30.3
Cloudy (8/8),2004-01-19,49,18,-11.1,68.42513494822931,27.44966181554389,2.9
Mostly cloudy (7/8),2004-01-20,48,19,-13.6,68.42513494822931,27.44966181554389,50.7
Cloudy (8/8),2004-01-21,49,20,-11.8,68.42513494822931,27.44966181554389,57.16666666666666
Clear (0/8),2004-01-22,48,21,-17.0,68.42513494822931,27.44966181554389,71.56666666666666
Cloudy (8/8),2004-01-23,48,22,-7.9,68.42513494822931,27.44966181554389,18.666666666666668
Cloudy (8/8),2004-01-24,47,23,-4.8,68.42513494822931,27.44966181554389,2.1333333333333333
Cloudy (8/8),2004-01-25,47,24,-2.1,68.42513494822931,27.44966181554389,3.266666666666667
Cloudy (8/8),2004-01-26,46,25,-6.7,68.42513494822931,27.44966181554389,7.533333333333334
Mostly cloudy (7/8),2004-01-27,46,26,-8.7,68.42513494822931,27.44966181554389,2.266666666666666
Mostly cloudy (7/8),2004-01-28,47,27,-8.8,68.42513494822931,27.44966181554389,3.033333333333333
Cloudy (8/8),2004-01-29,48,28,-10.9,68.42513494822931,27.44966181554389,2.466666666666667
Cloudy (8/8),2004-01-30,48,29,-11.6,68.42513494822931,27.44966181554389,5.4
Cloudy (8/8),2004-01-31,48,30,-12.9,68.42513494822931,27.44966181554389,2.566666666666667
Mostly cloudy (7/8),2004-02-01,51,31,-10.5,68.42513494822931,27.44966181554389,2.1333333333333333
Mostly cloudy (7/8),2004-02-02,53,32,-14.8,68.42513494822931,27.44966181554389,3.466666666666667
Cloudy (8/8),2004-02-03,57,33,-9.1,68.42513494822931,27.44966181554389,13.033333333333331
Mostly cloudy (7/8),2004-02-04,58,34,-12.3,68.42513494822931,27.44966181554389,2.5
Mostly cloudy (7/8),2004-02-05,59,35,-8.5,68.42513494822931,27.44966181554389,3.333333333333333
Mostly cloudy (7/8),2004-02-06,58,36,-13.3,68.42513494822931,27.44966181554389,4.533333333333333
Cloudy (8/8),2004-02-07,59,37,-23.5,68.42513494822931,27.44966181554389,3.766666666666667
Cloudy (8/8),2004-02-08,58,38,-23.9,68.42513494822931,27.44966181554389,21.03333333333333
Cloudy (8/8),2004-02-09,59,39,-16.4,68.42513494822931,27.44966181554389,18.03333333333333
Partly cloudy (5/8),2004-02-10,60,40,-18.7,68.42513494822931,27.44966181554389,119.2
Clear (0/8),2004-02-11,60,41,-16.9,68.42513494822931,27.44966181554389,146.46666666666667
Partly cloudy (5/8),2004-02-12,59,42,-12.5,68.42513494822931,27.44966181554389,33.6
Mostly clear (3/8),2004-02-13,59,43,-7.3,68.42513494822931,27.44966181554389,2.7999999999999994
Mostly cloudy (7/8),2004-02-14,61,44,-4.0,68.42513494822931,27.44966181554389,4.866666666666666
Cloudy (8/8),2004-02-15,64,45,-4.6,68.42513494822931,27.44966181554389,15.833333333333334
Mostly clear (3/8),2004-02-16,64,46,-8.1,68.42513494822931,27.44966181554389,93.9
Cloudy (8/8),2004-02-17,64,47,-10.8,68.42513494822931,27.44966181554389,3.066666666666667
Cloudy (8/8),2004-02-18,64,48,-10.8,68.42513494822931,27.44966181554389,142.03333333333333
Mostly cloudy (7/8),2004-02-19,64,49,-8.3,68.42513494822931,27.44966181554389,40.333333333333336
Cloudy (8/8),2004-02-20,65,50,1.6,68.42513494822931,27.44966181554389,31.8
Mostly cloudy (7/8),2004-02-21,61,51,-3.5,68.42513494822931,27.44966181554389,52.6
Mostly cloudy (7/8),2004-02-22,61,52,-7.6,68.42513494822931,27.44966181554389,3.9333333333333336
Clear (0/8),2004-02-23,61,53,-14.2,68.42513494822931,27.44966181554389,6.333333333333333
Mostly cloudy (7/8),2004-02-24,61,54,-16.6,68.42513494822931,27.44966181554389,116.13333333333334
Mostly cloudy (7/8),2004-02-25,61,55,-11.4,68.42513494822931,27.44966181554389,2.766666666666667
Mostly cloudy (7/8),2004-02-26,61,56,-12.7,68.42513494822931,27.44966181554389,3.3666666666666667
Cloudy (8/8),2004-02-27,62,57,-15.2,68.42513494822931,27.44966181554389,46.06666666666666
Cloudy (8/8),2004-02-28,62,58,-18.8,68.42513494822931,27.44966181554389,118.6
Clear (0/8),2004-02-29,62,59,-18.6,68.42513494822931,27.44966181554389,59.1
Cloudiness cannot be determined (9/8),2004-03-01,63,60,-11.8,68.42513494822931,27.44966181554389,22.633333333333336
Cloudy (8/8),2004-03-02,68,61,-8.1,68.42513494822931,27.44966181554389,22.7
Mostly clear (3/8),2004-03-03,69,62,-9.5,68.42513494822931,27.44966181554389,172.03333333333333
Clear (0/8),2004-03-04,68,63,-11.9,68.42513494822931,27.44966181554389,226.33333333333331
Mostly clear (3/8),2004-03-05,66,64,-11.4,68.42513494822931,27.44966181554389,152.53333333333333
Cloudy (8/8),2004-03-06,66,65,-7.1,68.42513494822931,27.44966181554389,133.03333333333333
Cloudy (8/8),2004-03-07,66,66,-6.8,68.42513494822931,27.44966181554389,94.6
Clear (0/8),2004-03-08,66,67,-7.1,68.42513494822931,27.44966181554389,60.46666666666667
Clear (0/8),2004-03-09,65,68,-3.9,68.42513494822931,27.44966181554389,223.4
Partly cloudy (5/8),2004-03-10,64,69,1.6,68.42513494822931,27.44966181554389,235.0
Clear (0/8),2004-03-11,64,70,0.4,68.42513494822931,27.44966181554389,263.93333333333334
Clear (0/8),2004-03-12,63,71,-4.6,68.42513494822931,27.44966181554389,195.9
Mostly cloudy (7/8),2004-03-13,63,72,-4.0,68.42513494822931,27.44966181554389,215.53333333333333
Clear (0/8),2004-03-14,63,73,-6.0,68.42513494822931,27.44966181554389,32.63333333333333
Cloudy (8/8),2004-03-15,63,74,-1.3,68.42513494822931,27.44966181554389,2.5666666666666664
Cloudy (8/8),2004-03-16,72,75,-0.9,68.42513494822931,27.44966181554389,4.033333333333333
Clear (0/8),2004-03-17,73,76,-3.6,68.42513494822931,27.44966181554389,163.5666666666667
Mostly cloudy (7/8),2004-03-18,72,77,-3.2,68.42513494822931,27.44966181554389,62.46666666666667
Cloudy (8/8),2004-03-19,71,78,-1.6,68.42513494822931,27.44966181554389,192.5
Cloudy (8/8),2004-03-20,70,79,-0.4,68.42513494822931,27.44966181554389,2.166666666666667
Cloudy (8/8),2004-03-21,69,80,-3.9,68.42513494822931,27.44966181554389,2.9000000000000004
Mostly cloudy (7/8),2004-03-22,69,81,-10.5,68.42513494822931,27.44966181554389,7.933333333333334
Mostly cloudy (7/8),2004-03-23,68,82,-7.5,68.42513494822931,27.44966181554389,18.066666666666663
Cloudy (8/8),2004-03-24,68,83,-8.0,68.42513494822931,27.44966181554389,15.033333333333331
Cloudy (8/8),2004-03-25,68,84,-9.9,68.42513494822931,27.44966181554389,63.13333333333333
Cloudy (8/8),2004-03-26,68,85,-10.5,68.42513494822931,27.44966181554389,115.33333333333331
