Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (0/8),2004-01-01,34,0.0,-24.4,63.28911447176026,28.040136971086827,63.4
Clear (0/8),2004-01-02,34,1.0,-22.4,63.28911447176026,28.040136971086827,65.66666666666667
Cloudy (8/8),2004-01-03,34,2.0,-13.4,63.28911447176026,28.040136971086827,54.56666666666667
Mostly cloudy (7/8),2004-01-04,34,3.0,-12.9,63.28911447176026,28.040136971086827,4.5
Cloudy (8/8),2004-01-05,35,4.0,-10.7,63.28911447176026,28.040136971086827,3.4666666666666663
Mostly cloudy (7/8),2004-01-06,35,5.0,-18,63.28911447176026,28.040136971086827,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,35,6.0,-8.8,63.28911447176026,28.040136971086827,5.366666666666666
Cloudy (8/8),2004-01-08,35,7.0,-7.4,63.28911447176026,28.040136971086827,2.1
Cloudy (8/8),2004-01-09,36,8.0,-6.8,63.28911447176026,28.040136971086827,2.2
Cloudy (8/8),2004-01-10,36,9.0,-11.8,63.28911447176026,28.040136971086827,2.5666666666666664
Mostly cloudy (7/8),2004-01-11,36,10.0,-15.4,63.28911447176026,28.040136971086827,2.3000000000000003
Mostly cloudy (7/8),2004-01-12,36,11.0,-11.3,63.28911447176026,28.040136971086827,2.2
Cloudy (8/8),2004-01-13,36,12.0,-6.1,63.28911447176026,28.040136971086827,2.1333333333333333
Mostly cloudy (7/8),2004-01-14,37,13.0,-5.9,63.28911447176026,28.040136971086827,1.8333333333333333
Cloudy (8/8),2004-01-15,37,14.0,-8,63.28911447176026,28.040136971086827,2.5
Mostly cloudy (7/8),2004-01-16,39,15.0,-12,63.28911447176026,28.040136971086827,27.8
Cloudy (8/8),2004-01-17,39,16.0,-11.2,63.28911447176026,28.040136971086827,3.9
Cloudy (8/8),2004-01-18,40,17.0,-7.8,63.28911447176026,28.040136971086827,30.3
Cloudy (8/8),2004-01-19,43,18.0,-12.6,63.28911447176026,28.040136971086827,2.9
Cloudy (8/8),2004-01-20,43,19.0,-17.4,63.28911447176026,28.040136971086827,50.7
Mostly cloudy (7/8),2004-01-21,43,20.0,-14.5,63.28911447176026,28.040136971086827,57.16666666666666
Mostly cloudy (7/8),2004-01-22,44,21.0,-18,63.28911447176026,28.040136971086827,71.56666666666666
Cloudy (8/8),2004-01-23,44,22.0,-15.3,63.28911447176026,28.040136971086827,18.666666666666668
Cloudy (8/8),2004-01-24,42,23.0,-2.9,63.28911447176026,28.040136971086827,2.1333333333333333
Mostly cloudy (7/8),2004-01-25,42,24.0,-5.3,63.28911447176026,28.040136971086827,3.266666666666667
Mostly cloudy (7/8),2004-01-26,42,25.0,-9.7,63.28911447176026,28.040136971086827,7.533333333333334
Mostly cloudy (7/8),2004-01-27,43,26.0,-7.4,63.28911447176026,28.040136971086827,2.266666666666666
Cloudy (8/8),2004-01-28,46,27.0,-7.4,63.28911447176026,28.040136971086827,3.033333333333333
Mostly cloudy (7/8),2004-01-29,48,28.0,-6.9,63.28911447176026,28.040136971086827,2.466666666666667
Cloudy (8/8),2004-01-30,52,29.0,-7.9,63.28911447176026,28.040136971086827,5.4
Mostly cloudy (7/8),2004-01-31,53,30.0,-6.9,63.28911447176026,28.040136971086827,2.566666666666667
Cloudiness cannot be determined (9/8),2004-02-01,46,31.0,-5,63.28911447176026,28.040136971086827,2.1333333333333333
Cloudy (8/8),2004-02-02,51,32.0,-9.9,63.28911447176026,28.040136971086827,3.466666666666667
Cloudy (8/8),2004-02-03,51,33.0,-5.8,63.28911447176026,28.040136971086827,13.033333333333331
Cloudiness cannot be determined (9/8),2004-02-04,54,34.0,-1.4,63.28911447176026,28.040136971086827,2.5
Mostly cloudy (7/8),2004-02-05,51,35.0,-3.6,63.28911447176026,28.040136971086827,3.333333333333333
Mostly cloudy (7/8),2004-02-06,51,36.0,-9.4,63.28911447176026,28.040136971086827,4.533333333333333
Cloudy (8/8),2004-02-07,51,37.0,-11.9,63.28911447176026,28.040136971086827,3.766666666666667
Mostly cloudy (7/8),2004-02-08,51,38.0,-21.1,63.28911447176026,28.040136971086827,21.03333333333333
Mostly clear (3/8),2004-02-09,52,39.0,-16.6,63.28911447176026,28.040136971086827,18.03333333333333
