Cloud cover [1/8],Date,Snow depth [cm],Unnamed: 0,Average temperature [°C],latitude,longitude,Average radiation
Clear (0/8),2004-01-01,31,0.0,-24.9,64.13945257073718,28.287481328803143,63.4
Clear (1/8),2004-01-02,31,1.0,-19.2,64.13945257073718,28.287481328803143,65.66666666666667
Cloudy (8/8),2004-01-03,31,2.0,-13,64.13945257073718,28.287481328803143,54.56666666666667
Cloudy (8/8),2004-01-04,32,3.0,-13.9,64.13945257073718,28.287481328803143,4.5
Cloudy (8/8),2004-01-05,32,4.0,-13.5,64.13945257073718,28.287481328803143,3.4666666666666663
Cloudy (8/8),2004-01-06,32,5.0,-19.4,64.13945257073718,28.287481328803143,2.7999999999999994
Mostly cloudy (7/8),2004-01-07,32,6.0,-10.6,64.13945257073718,28.287481328803143,5.366666666666666
Mostly cloudy (7/8),2004-01-08,30,7.0,-5.6,64.13945257073718,28.287481328803143,2.1
Cloudy (8/8),2004-01-09,31,8.0,-5.2,64.13945257073718,28.287481328803143,2.2
Cloudy (8/8),2004-01-10,31,9.0,-8.3,64.13945257073718,28.287481328803143,2.5666666666666664
Mostly cloudy (7/8),2004-01-11,31,10.0,-13.1,64.13945257073718,28.287481328803143,2.3000000000000003
Cloudy (8/8),2004-01-12,32,11.0,-13.9,64.13945257073718,28.287481328803143,2.2
Cloudy (8/8),2004-01-13,32,12.0,-6.9,64.13945257073718,28.287481328803143,2.1333333333333333
Mostly cloudy (7/8),2004-01-14,33,13.0,-5.9,64.13945257073718,28.287481328803143,1.8333333333333333
Cloudy (8/8),2004-01-15,33,14.0,-8.8,64.13945257073718,28.287481328803143,2.5
Cloudiness cannot be determined (9/8),2004-01-16,36,15.0,-10.3,64.13945257073718,28.287481328803143,27.8
Mostly cloudy (7/8),2004-01-17,37,16.0,-11,64.13945257073718,28.287481328803143,3.9
Cloudy (8/8),2004-01-18,38,17.0,-9.5,64.13945257073718,28.287481328803143,30.3
Cloudy (8/8),2004-01-19,39,18.0,-12,64.13945257073718,28.287481328803143,2.9
Cloudy (8/8),2004-01-20,40,19.0,-16.4,64.13945257073718,28.287481328803143,50.7
Cloudy (8/8),2004-01-21,42,20.0,-13.9,64.13945257073718,28.287481328803143,57.16666666666666
Clear (0/8),2004-01-22,43,21.0,-18.1,64.13945257073718,28.287481328803143,71.56666666666666
Cloudiness cannot be determined (9/8),2004-01-23,42,22.0,-13.7,64.13945257073718,28.287481328803143,18.666666666666668
Cloudy (8/8),2004-01-24,41,23.0,-2.4,64.13945257073718,28.287481328803143,2.1333333333333333
Mostly cloudy (7/8),2004-01-25,41,24.0,-4.7,64.13945257073718,28.287481328803143,3.266666666666667
Cloudy (8/8),2004-01-26,40,25.0,-9.7,64.13945257073718,28.287481328803143,7.533333333333334
Cloudy (8/8),2004-01-27,42,26.0,-7.1,64.13945257073718,28.287481328803143,2.266666666666666
Mostly cloudy (7/8),2004-01-28,42,27.0,-8,64.13945257073718,28.287481328803143,3.033333333333333
Mostly cloudy (7/8),2004-01-29,44,28.0,-7.7,64.13945257073718,28.287481328803143,2.466666666666667
Mostly cloudy (7/8),2004-01-30,48,29.0,-8.1,64.13945257073718,28.287481328803143,5.4
Mostly cloudy (7/8),2004-01-31,48,30.0,-7.3,64.13945257073718,28.287481328803143,2.566666666666667
Cloudiness cannot be determined (9/8),2004-02-01,52,31.0,-4.7,64.13945257073718,28.287481328803143,2.1333333333333333
