"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kaisaniemi","2004","1","1","00:00","88.3"
"Helsinki Kaisaniemi","2004","1","2","00:00","91.9"
"Helsinki Kaisaniemi","2004","1","3","00:00","93.4"
"Helsinki Kaisaniemi","2004","1","4","00:00","8.6"
"Helsinki Kaisaniemi","2004","1","5","00:00","4"
"Helsinki Kaisaniemi","2004","1","6","00:00","3.9"
"Helsinki Kaisaniemi","2004","1","7","00:00","3.8"
"Helsinki Kaisaniemi","2004","1","8","00:00","3.7"
"Helsinki Kaisaniemi","2004","1","9","00:00","4.3"
"Helsinki Kaisaniemi","2004","1","10","00:00","4.8"
"Helsinki Kaisaniemi","2004","1","11","00:00","3.9"
"Helsinki Kaisaniemi","2004","1","12","00:00","4.2"
"Helsinki Kaisaniemi","2004","1","13","00:00","3.6"
"Helsinki Kaisaniemi","2004","1","14","00:00","3.8"
"Helsinki Kaisaniemi","2004","1","15","00:00","4.2"
"Helsinki Kaisaniemi","2004","1","16","00:00","78.5"
"Helsinki Kaisaniemi","2004","1","17","00:00","4.8"
"Helsinki Kaisaniemi","2004","1","18","00:00","84.7"
"Helsinki Kaisaniemi","2004","1","19","00:00","5"
"Helsinki Kaisaniemi","2004","1","20","00:00","63.5"
"Helsinki Kaisaniemi","2004","1","21","00:00","107.7"
"Helsinki Kaisaniemi","2004","1","22","00:00","96.3"
"Helsinki Kaisaniemi","2004","1","23","00:00","18.3"
"Helsinki Kaisaniemi","2004","1","24","00:00","4.1"
"Helsinki Kaisaniemi","2004","1","25","00:00","6.9"
"Helsinki Kaisaniemi","2004","1","26","00:00","9.5"
"Helsinki Kaisaniemi","2004","1","27","00:00","4.1"
"Helsinki Kaisaniemi","2004","1","28","00:00","4.6"
"Helsinki Kaisaniemi","2004","1","29","00:00","4.6"
"Helsinki Kaisaniemi","2004","1","30","00:00","5.3"
"Helsinki Kaisaniemi","2004","1","31","00:00","4.4"
"Helsinki Kaisaniemi","2004","2","1","00:00","4"
"Helsinki Kaisaniemi","2004","2","2","00:00","5.7"
"Helsinki Kaisaniemi","2004","2","3","00:00","36.4"
"Helsinki Kaisaniemi","2004","2","4","00:00","4.2"
"Helsinki Kaisaniemi","2004","2","5","00:00","6.7"
"Helsinki Kaisaniemi","2004","2","6","00:00","9.2"
"Helsinki Kaisaniemi","2004","2","7","00:00","5"
"Helsinki Kaisaniemi","2004","2","8","00:00","26.3"
"Helsinki Kaisaniemi","2004","2","9","00:00","38.2"
"Helsinki Kaisaniemi","2004","2","10","00:00","167.3"
"Helsinki Kaisaniemi","2004","2","11","00:00","216.6"
"Helsinki Kaisaniemi","2004","2","12","00:00","79.8"
"Helsinki Kaisaniemi","2004","2","13","00:00","5"
"Helsinki Kaisaniemi","2004","2","14","00:00","11.2"
"Helsinki Kaisaniemi","2004","2","15","00:00","35.3"
"Helsinki Kaisaniemi","2004","2","16","00:00","201.3"
"Helsinki Kaisaniemi","2004","2","17","00:00","5.4"
"Helsinki Kaisaniemi","2004","2","18","00:00","202.5"
"Helsinki Kaisaniemi","2004","2","19","00:00","101.5"
"Helsinki Kaisaniemi","2004","2","20","00:00","57.6"
"Helsinki Kaisaniemi","2004","2","21","00:00","80.6"
"Helsinki Kaisaniemi","2004","2","22","00:00","7.8"
"Helsinki Kaisaniemi","2004","2","23","00:00","10.1"
"Helsinki Kaisaniemi","2004","2","24","00:00","166.5"
"Helsinki Kaisaniemi","2004","2","25","00:00","5.9"
"Helsinki Kaisaniemi","2004","2","26","00:00","7.6"
"Helsinki Kaisaniemi","2004","2","27","00:00","12.5"
"Helsinki Kaisaniemi","2004","2","28","00:00","156.8"
"Helsinki Kaisaniemi","2004","2","29","00:00","7.8"
"Helsinki Kaisaniemi","2004","3","1","00:00","7.8"
