"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kaisaniemi","2004","11","1","00:00","173.9"
"Helsinki Kaisaniemi","2004","11","2","00:00","163.1"
"Helsinki Kaisaniemi","2004","11","3","00:00","38.3"
"Helsinki Kaisaniemi","2004","11","4","00:00","4.2"
"Helsinki Kaisaniemi","2004","11","5","00:00","19.5"
"Helsinki Kaisaniemi","2004","11","6","00:00","34.1"
"Helsinki Kaisaniemi","2004","11","7","00:00","4.5"
"Helsinki Kaisaniemi","2004","11","8","00:00","11.6"
"Helsinki Kaisaniemi","2004","11","9","00:00","5.9"
"Helsinki Kaisaniemi","2004","11","10","00:00","4"
"Helsinki Kaisaniemi","2004","11","11","00:00","4.2"
"Helsinki Kaisaniemi","2004","11","12","00:00","3.9"
"Helsinki Kaisaniemi","2004","11","13","00:00","71.7"
"Helsinki Kaisaniemi","2004","11","14","00:00","113.7"
"Helsinki Kaisaniemi","2004","11","15","00:00","4.1"
"Helsinki Kaisaniemi","2004","11","16","00:00","24.4"
"Helsinki Kaisaniemi","2004","11","17","00:00","9.5"
"Helsinki Kaisaniemi","2004","11","18","00:00","4.4"
"Helsinki Kaisaniemi","2004","11","19","00:00","66.6"
"Helsinki Kaisaniemi","2004","11","20","00:00","7.6"
"Helsinki Kaisaniemi","2004","11","21","00:00","66.7"
"Helsinki Kaisaniemi","2004","11","22","00:00","7.1"
"Helsinki Kaisaniemi","2004","11","23","00:00","4.3"
"Helsinki Kaisaniemi","2004","11","24","00:00","107.3"
"Helsinki Kaisaniemi","2004","11","25","00:00","32.1"
"Helsinki Kaisaniemi","2004","11","26","00:00","33.3"
"Helsinki Kaisaniemi","2004","11","27","00:00","107"
"Helsinki Kaisaniemi","2004","11","28","00:00","27.9"
"Helsinki Kaisaniemi","2004","11","29","00:00","3.9"
"Helsinki Kaisaniemi","2004","11","30","00:00","4"
"Helsinki Kaisaniemi","2004","12","1","00:00","3.9"
"Helsinki Kaisaniemi","2004","12","2","00:00","3.7"
"Helsinki Kaisaniemi","2004","12","3","00:00","39.6"
"Helsinki Kaisaniemi","2004","12","4","00:00","4.6"
"Helsinki Kaisaniemi","2004","12","5","00:00","3.9"
"Helsinki Kaisaniemi","2004","12","6","00:00","4.2"
"Helsinki Kaisaniemi","2004","12","7","00:00","3.9"
"Helsinki Kaisaniemi","2004","12","8","00:00","3.9"
"Helsinki Kaisaniemi","2004","12","9","00:00","61.3"
"Helsinki Kaisaniemi","2004","12","10","00:00","42"
"Helsinki Kaisaniemi","2004","12","11","00:00","3.9"
"Helsinki Kaisaniemi","2004","12","12","00:00","64.4"
"Helsinki Kaisaniemi","2004","12","13","00:00","10.6"
"Helsinki Kaisaniemi","2004","12","14","00:00","3.8"
"Helsinki Kaisaniemi","2004","12","15","00:00","3.7"
"Helsinki Kaisaniemi","2004","12","16","00:00","5.1"
"Helsinki Kaisaniemi","2004","12","17","00:00","3.8"
"Helsinki Kaisaniemi","2004","12","18","00:00","4.2"
"Helsinki Kaisaniemi","2004","12","19","00:00","3.7"
"Helsinki Kaisaniemi","2004","12","20","00:00","11.9"
"Helsinki Kaisaniemi","2004","12","21","00:00","47.8"
"Helsinki Kaisaniemi","2004","12","22","00:00","3.6"
"Helsinki Kaisaniemi","2004","12","23","00:00","30.9"
"Helsinki Kaisaniemi","2004","12","24","00:00","55.7"
"Helsinki Kaisaniemi","2004","12","25","00:00","4"
"Helsinki Kaisaniemi","2004","12","26","00:00","3.8"
"Helsinki Kaisaniemi","2004","12","27","00:00","85.3"
"Helsinki Kaisaniemi","2004","12","28","00:00","4.7"
"Helsinki Kaisaniemi","2004","12","29","00:00","3.8"
"Helsinki Kaisaniemi","2004","12","30","00:00","3.7"
"Helsinki Kaisaniemi","2004","12","31","00:00","77.2"
"Helsinki Kaisaniemi","2005","1","1","00:00","3.5"
