"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kaisaniemi","2004","5","1","00:00","199.9"
"Helsinki Kaisaniemi","2004","5","2","00:00","357.8"
"Helsinki Kaisaniemi","2004","5","3","00:00","301.1"
"Helsinki Kaisaniemi","2004","5","4","00:00","24.5"
"Helsinki Kaisaniemi","2004","5","5","00:00","282.9"
"Helsinki Kaisaniemi","2004","5","6","00:00","356.2"
"Helsinki Kaisaniemi","2004","5","7","00:00","336.5"
"Helsinki Kaisaniemi","2004","5","8","00:00","235.9"
"Helsinki Kaisaniemi","2004","5","9","00:00","396.3"
"Helsinki Kaisaniemi","2004","5","10","00:00","149.7"
"Helsinki Kaisaniemi","2004","5","11","00:00","226.3"
"Helsinki Kaisaniemi","2004","5","12","00:00","318.6"
"Helsinki Kaisaniemi","2004","5","13","00:00","230.1"
"Helsinki Kaisaniemi","2004","5","14","00:00","141.8"
"Helsinki Kaisaniemi","2004","5","15","00:00","268.4"
"Helsinki Kaisaniemi","2004","5","16","00:00","232.3"
"Helsinki Kaisaniemi","2004","5","17","00:00","378.8"
"Helsinki Kaisaniemi","2004","5","18","00:00","60.4"
"Helsinki Kaisaniemi","2004","5","19","00:00","69.6"
"Helsinki Kaisaniemi","2004","5","20","00:00","321.4"
"Helsinki Kaisaniemi","2004","5","21","00:00","173.5"
"Helsinki Kaisaniemi","2004","5","22","00:00","123.9"
"Helsinki Kaisaniemi","2004","5","23","00:00","364.5"
"Helsinki Kaisaniemi","2004","5","24","00:00","424.5"
"Helsinki Kaisaniemi","2004","5","25","00:00","459.1"
"Helsinki Kaisaniemi","2004","5","26","00:00","435.1"
"Helsinki Kaisaniemi","2004","5","27","00:00","109.9"
"Helsinki Kaisaniemi","2004","5","28","00:00","253.1"
"Helsinki Kaisaniemi","2004","5","29","00:00","165.4"
"Helsinki Kaisaniemi","2004","5","30","00:00","188.4"
"Helsinki Kaisaniemi","2004","5","31","00:00","37.7"
"Helsinki Kaisaniemi","2004","6","1","00:00","321.8"
"Helsinki Kaisaniemi","2004","6","2","00:00","326.5"
"Helsinki Kaisaniemi","2004","6","3","00:00","443.2"
"Helsinki Kaisaniemi","2004","6","4","00:00","328.3"
"Helsinki Kaisaniemi","2004","6","5","00:00","460.4"
"Helsinki Kaisaniemi","2004","6","6","00:00","121.7"
"Helsinki Kaisaniemi","2004","6","7","00:00","129.8"
"Helsinki Kaisaniemi","2004","6","8","00:00","22.4"
"Helsinki Kaisaniemi","2004","6","9","00:00","447.4"
"Helsinki Kaisaniemi","2004","6","10","00:00","311.3"
"Helsinki Kaisaniemi","2004","6","11","00:00","8.6"
"Helsinki Kaisaniemi","2004","6","12","00:00","11.4"
"Helsinki Kaisaniemi","2004","6","13","00:00","265.8"
"Helsinki Kaisaniemi","2004","6","14","00:00","173.2"
"Helsinki Kaisaniemi","2004","6","15","00:00","402"
"Helsinki Kaisaniemi","2004","6","16","00:00","28.4"
"Helsinki Kaisaniemi","2004","6","17","00:00","211"
"Helsinki Kaisaniemi","2004","6","18","00:00","199.9"
"Helsinki Kaisaniemi","2004","6","19","00:00","324.7"
"Helsinki Kaisaniemi","2004","6","20","00:00","361.3"
"Helsinki Kaisaniemi","2004","6","21","00:00","31.1"
"Helsinki Kaisaniemi","2004","6","22","00:00","190"
"Helsinki Kaisaniemi","2004","6","23","00:00","-"
"-","2004","6","24","00:00","-"
"Helsinki Kaisaniemi","2004","6","25","00:00","379"
"Helsinki Kaisaniemi","2004","6","26","00:00","233.4"
"Helsinki Kaisaniemi","2004","6","27","00:00","10.1"
"Helsinki Kaisaniemi","2004","6","28","00:00","10.9"
"Helsinki Kaisaniemi","2004","6","29","00:00","112.7"
"Helsinki Kaisaniemi","2004","6","30","00:00","7.5"
"Helsinki Kaisaniemi","2004","7","1","00:00","44"
