"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kaisaniemi","2004","7","1","00:00","44"
"Helsinki Kaisaniemi","2004","7","2","00:00","335.1"
"Helsinki Kaisaniemi","2004","7","3","00:00","6.7"
"Helsinki Kaisaniemi","2004","7","4","00:00","294.1"
"Helsinki Kaisaniemi","2004","7","5","00:00","251"
"Helsinki Kaisaniemi","2004","7","6","00:00","302.9"
"Helsinki Kaisaniemi","2004","7","7","00:00","92.2"
"Helsinki Kaisaniemi","2004","7","8","00:00","495"
"Helsinki Kaisaniemi","2004","7","9","00:00","178.9"
"Helsinki Kaisaniemi","2004","7","10","00:00","108.2"
"Helsinki Kaisaniemi","2004","7","11","00:00","133.2"
"Helsinki Kaisaniemi","2004","7","12","00:00","216.7"
"Helsinki Kaisaniemi","2004","7","13","00:00","160.6"
"Helsinki Kaisaniemi","2004","7","14","00:00","220.7"
"Helsinki Kaisaniemi","2004","7","15","00:00","307.2"
"Helsinki Kaisaniemi","2004","7","16","00:00","385"
"Helsinki Kaisaniemi","2004","7","17","00:00","182.8"
"Helsinki Kaisaniemi","2004","7","18","00:00","397.4"
"Helsinki Kaisaniemi","2004","7","19","00:00","224.3"
"Helsinki Kaisaniemi","2004","7","20","00:00","292.4"
"Helsinki Kaisaniemi","2004","7","21","00:00","163.1"
"Helsinki Kaisaniemi","2004","7","22","00:00","69.8"
"Helsinki Kaisaniemi","2004","7","23","00:00","162.8"
"Helsinki Kaisaniemi","2004","7","24","00:00","209.4"
"Helsinki Kaisaniemi","2004","7","25","00:00","132.6"
"Helsinki Kaisaniemi","2004","7","26","00:00","149.2"
"Helsinki Kaisaniemi","2004","7","27","00:00","112.3"
"Helsinki Kaisaniemi","2004","7","28","00:00","13.5"
"Helsinki Kaisaniemi","2004","7","29","00:00","10.6"
"Helsinki Kaisaniemi","2004","7","30","00:00","29.6"
"Helsinki Kaisaniemi","2004","7","31","00:00","31.9"
"Helsinki Kaisaniemi","2004","8","1","00:00","214.1"
"Helsinki Kaisaniemi","2004","8","2","00:00","176.7"
"Helsinki Kaisaniemi","2004","8","3","00:00","190.4"
"Helsinki Kaisaniemi","2004","8","4","00:00","331.3"
"Helsinki Kaisaniemi","2004","8","5","00:00","348.8"
"Helsinki Kaisaniemi","2004","8","6","00:00","358.7"
"Helsinki Kaisaniemi","2004","8","7","00:00","359.4"
"Helsinki Kaisaniemi","2004","8","8","00:00","216.6"
"Helsinki Kaisaniemi","2004","8","9","00:00","197.8"
"Helsinki Kaisaniemi","2004","8","10","00:00","374.4"
"Helsinki Kaisaniemi","2004","8","11","00:00","149.9"
"Helsinki Kaisaniemi","2004","8","12","00:00","299.4"
"Helsinki Kaisaniemi","2004","8","13","00:00","221.3"
"Helsinki Kaisaniemi","2004","8","14","00:00","244.5"
"Helsinki Kaisaniemi","2004","8","15","00:00","127.6"
"Helsinki Kaisaniemi","2004","8","16","00:00","301"
"Helsinki Kaisaniemi","2004","8","17","00:00","18.5"
"Helsinki Kaisaniemi","2004","8","18","00:00","85.7"
"Helsinki Kaisaniemi","2004","8","19","00:00","90.1"
"Helsinki Kaisaniemi","2004","8","20","00:00","209.3"
"Helsinki Kaisaniemi","2004","8","21","00:00","143.8"
"Helsinki Kaisaniemi","2004","8","22","00:00","146.2"
"Helsinki Kaisaniemi","2004","8","23","00:00","245.5"
"Helsinki Kaisaniemi","2004","8","24","00:00","307.3"
"Helsinki Kaisaniemi","2004","8","25","00:00","272.5"
"Helsinki Kaisaniemi","2004","8","26","00:00","5.4"
"Helsinki Kaisaniemi","2004","8","27","00:00","179.7"
"Helsinki Kaisaniemi","2004","8","28","00:00","135.6"
"Helsinki Kaisaniemi","2004","8","29","00:00","323.6"
"Helsinki Kaisaniemi","2004","8","30","00:00","17.4"
"Helsinki Kaisaniemi","2004","8","31","00:00","43.7"
"Helsinki Kaisaniemi","2004","9","1","00:00","63.1"
