"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kaisaniemi","2004","9","1","00:00","63.1"
"Helsinki Kaisaniemi","2004","9","2","00:00","10.3"
"Helsinki Kaisaniemi","2004","9","3","00:00","36.9"
"Helsinki Kaisaniemi","2004","9","4","00:00","280.3"
"Helsinki Kaisaniemi","2004","9","5","00:00","185.7"
"Helsinki Kaisaniemi","2004","9","6","00:00","80.6"
"Helsinki Kaisaniemi","2004","9","7","00:00","140"
"Helsinki Kaisaniemi","2004","9","8","00:00","262.5"
"Helsinki Kaisaniemi","2004","9","9","00:00","197.3"
"Helsinki Kaisaniemi","2004","9","10","00:00","188.1"
"Helsinki Kaisaniemi","2004","9","11","00:00","272.4"
"Helsinki Kaisaniemi","2004","9","12","00:00","23.1"
"Helsinki Kaisaniemi","2004","9","13","00:00","123.5"
"Helsinki Kaisaniemi","2004","9","14","00:00","117.6"
"Helsinki Kaisaniemi","2004","9","15","00:00","-"
"-","2004","9","16","00:00","-"
"Helsinki Kaisaniemi","2004","9","17","00:00","24.6"
"Helsinki Kaisaniemi","2004","9","18","00:00","6.3"
"Helsinki Kaisaniemi","2004","9","19","00:00","50.4"
"Helsinki Kaisaniemi","2004","9","20","00:00","284.8"
"Helsinki Kaisaniemi","2004","9","21","00:00","22.8"
"Helsinki Kaisaniemi","2004","9","22","00:00","17.8"
"Helsinki Kaisaniemi","2004","9","23","00:00","60.4"
"Helsinki Kaisaniemi","2004","9","24","00:00","75.1"
"Helsinki Kaisaniemi","2004","9","25","00:00","68.7"
"Helsinki Kaisaniemi","2004","9","26","00:00","232.8"
"Helsinki Kaisaniemi","2004","9","27","00:00","6.3"
"Helsinki Kaisaniemi","2004","9","28","00:00","27.4"
"Helsinki Kaisaniemi","2004","9","29","00:00","113.3"
"Helsinki Kaisaniemi","2004","9","30","00:00","129.8"
"Helsinki Kaisaniemi","2004","10","1","00:00","271.5"
"Helsinki Kaisaniemi","2004","10","2","00:00","178.1"
"Helsinki Kaisaniemi","2004","10","3","00:00","5.5"
"Helsinki Kaisaniemi","2004","10","4","00:00","192.3"
"Helsinki Kaisaniemi","2004","10","5","00:00","14.4"
"Helsinki Kaisaniemi","2004","10","6","00:00","8.4"
"Helsinki Kaisaniemi","2004","10","7","00:00","173.9"
"Helsinki Kaisaniemi","2004","10","8","00:00","63.9"
"Helsinki Kaisaniemi","2004","10","9","00:00","216.5"
"Helsinki Kaisaniemi","2004","10","10","00:00","254.7"
"Helsinki Kaisaniemi","2004","10","11","00:00","130.9"
"Helsinki Kaisaniemi","2004","10","12","00:00","256.1"
"Helsinki Kaisaniemi","2004","10","13","00:00","-"
"-","2004","10","14","00:00","-"
"Helsinki Kaisaniemi","2004","10","15","00:00","166.4"
"Helsinki Kaisaniemi","2004","10","16","00:00","79.2"
"Helsinki Kaisaniemi","2004","10","17","00:00","5"
"Helsinki Kaisaniemi","2004","10","18","00:00","4.4"
"Helsinki Kaisaniemi","2004","10","19","00:00","4.3"
"Helsinki Kaisaniemi","2004","10","20","00:00","14.3"
"Helsinki Kaisaniemi","2004","10","21","00:00","4.5"
"Helsinki Kaisaniemi","2004","10","22","00:00","17.8"
"Helsinki Kaisaniemi","2004","10","23","00:00","20.7"
"Helsinki Kaisaniemi","2004","10","24","00:00","22.2"
"Helsinki Kaisaniemi","2004","10","25","00:00","153.3"
"Helsinki Kaisaniemi","2004","10","26","00:00","5"
"Helsinki Kaisaniemi","2004","10","27","00:00","18.9"
"Helsinki Kaisaniemi","2004","10","28","00:00","210"
"Helsinki Kaisaniemi","2004","10","29","00:00","101"
"Helsinki Kaisaniemi","2004","10","30","00:00","19.8"
"Helsinki Kaisaniemi","2004","10","31","00:00","4"
"Helsinki Kaisaniemi","2004","11","1","00:00","173.9"
