"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2023","1","1","00:00","42.7"
"Helsinki Kumpula","2023","1","2","00:00","8.5"
"Helsinki Kumpula","2023","1","3","00:00","0.1"
"Helsinki Kumpula","2023","1","4","00:00","0.2"
"Helsinki Kumpula","2023","1","5","00:00","0.4"
"Helsinki Kumpula","2023","1","6","00:00","0.5"
"Helsinki Kumpula","2023","1","7","00:00","3.7"
"Helsinki Kumpula","2023","1","8","00:00","0.2"
"Helsinki Kumpula","2023","1","9","00:00","0.2"
"Helsinki Kumpula","2023","1","10","00:00","0.3"
"Helsinki Kumpula","2023","1","11","00:00","0.3"
"Helsinki Kumpula","2023","1","12","00:00","0.4"
"Helsinki Kumpula","2023","1","13","00:00","0.6"
"Helsinki Kumpula","2023","1","14","00:00","0.2"
"Helsinki Kumpula","2023","1","15","00:00","0.2"
"Helsinki Kumpula","2023","1","16","00:00","0.4"
"Helsinki Kumpula","2023","1","17","00:00","0.1"
"Helsinki Kumpula","2023","1","18","00:00","0.3"
"Helsinki Kumpula","2023","1","19","00:00","0.4"
"Helsinki Kumpula","2023","1","20","00:00","0.7"
"Helsinki Kumpula","2023","1","21","00:00","67.6"
"Helsinki Kumpula","2023","1","22","00:00","0.7"
"Helsinki Kumpula","2023","1","23","00:00","2.8"
"Helsinki Kumpula","2023","1","24","00:00","0.4"
"Helsinki Kumpula","2023","1","25","00:00","0.4"
"Helsinki Kumpula","2023","1","26","00:00","0.4"
"Helsinki Kumpula","2023","1","27","00:00","149.9"
"Helsinki Kumpula","2023","1","28","00:00","0.6"
"Helsinki Kumpula","2023","1","29","00:00","18.8"
"Helsinki Kumpula","2023","1","30","00:00","5.5"
"Helsinki Kumpula","2023","1","31","00:00","84.1"
"Helsinki Kumpula","2023","2","1","00:00","0.4"
"Helsinki Kumpula","2023","2","2","00:00","50.2"
"Helsinki Kumpula","2023","2","3","00:00","78.1"
"Helsinki Kumpula","2023","2","4","00:00","162.5"
"Helsinki Kumpula","2023","2","5","00:00","25.4"
"Helsinki Kumpula","2023","2","6","00:00","170.5"
"Helsinki Kumpula","2023","2","7","00:00","0.7"
"Helsinki Kumpula","2023","2","8","00:00","0.5"
"Helsinki Kumpula","2023","2","9","00:00","0.9"
"Helsinki Kumpula","2023","2","10","00:00","36.4"
"Helsinki Kumpula","2023","2","11","00:00","145.6"
"Helsinki Kumpula","2023","2","12","00:00","4.8"
"Helsinki Kumpula","2023","2","13","00:00","6.6"
"Helsinki Kumpula","2023","2","14","00:00","111.6"
"Helsinki Kumpula","2023","2","15","00:00","51.5"
"Helsinki Kumpula","2023","2","16","00:00","0.3"
"Helsinki Kumpula","2023","2","17","00:00","0.3"
"Helsinki Kumpula","2023","2","18","00:00","0.1"
"Helsinki Kumpula","2023","2","19","00:00","1"
"Helsinki Kumpula","2023","2","20","00:00","10.5"
"Helsinki Kumpula","2023","2","21","00:00","13"
"Helsinki Kumpula","2023","2","22","00:00","233.3"
"Helsinki Kumpula","2023","2","23","00:00","0.7"
"Helsinki Kumpula","2023","2","24","00:00","0.6"
"Helsinki Kumpula","2023","2","25","00:00","6.3"
"Helsinki Kumpula","2023","2","26","00:00","213.4"
"Helsinki Kumpula","2023","2","27","00:00","94.4"
"Helsinki Kumpula","2023","2","28","00:00","12.2"
"Helsinki Kumpula","2023","3","1","00:00","114"
