"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2015","10","1","00:00","27"
"Helsinki Kumpula","2015","10","2","00:00","140.2"
"Helsinki Kumpula","2015","10","3","00:00","316.6"
"Helsinki Kumpula","2015","10","4","00:00","6.8"
"Helsinki Kumpula","2015","10","5","00:00","275.5"
"Helsinki Kumpula","2015","10","6","00:00","320"
"Helsinki Kumpula","2015","10","7","00:00","306.7"
"Helsinki Kumpula","2015","10","8","00:00","304.5"
"Helsinki Kumpula","2015","10","9","00:00","227.6"
"Helsinki Kumpula","2015","10","10","00:00","103"
"Helsinki Kumpula","2015","10","11","00:00","291.1"
"Helsinki Kumpula","2015","10","12","00:00","240.7"
"Helsinki Kumpula","2015","10","13","00:00","125.3"
"Helsinki Kumpula","2015","10","14","00:00","239.8"
"Helsinki Kumpula","2015","10","15","00:00","154.1"
"Helsinki Kumpula","2015","10","16","00:00","96.3"
"Helsinki Kumpula","2015","10","17","00:00","187.6"
"Helsinki Kumpula","2015","10","18","00:00","97.6"
"Helsinki Kumpula","2015","10","19","00:00","83.9"
"Helsinki Kumpula","2015","10","20","00:00","75.2"
"Helsinki Kumpula","2015","10","21","00:00","2.3"
"Helsinki Kumpula","2015","10","22","00:00","0.1"
"Helsinki Kumpula","2015","10","23","00:00","19.7"
"Helsinki Kumpula","2015","10","24","00:00","175.5"
"Helsinki Kumpula","2015","10","25","00:00","0.2"
"Helsinki Kumpula","2015","10","26","00:00","228.9"
"Helsinki Kumpula","2015","10","27","00:00","60.4"
"Helsinki Kumpula","2015","10","28","00:00","238.8"
"Helsinki Kumpula","2015","10","29","00:00","9.6"
"Helsinki Kumpula","2015","10","30","00:00","216.5"
"Helsinki Kumpula","2015","10","31","00:00","12.9"
"Helsinki Kumpula","2015","11","1","00:00","0.1"
"Helsinki Kumpula","2015","11","2","00:00","69.3"
"Helsinki Kumpula","2015","11","3","00:00","170.7"
"Helsinki Kumpula","2015","11","4","00:00","52.7"
"Helsinki Kumpula","2015","11","5","00:00","189.7"
"Helsinki Kumpula","2015","11","6","00:00","0.5"
"Helsinki Kumpula","2015","11","7","00:00","0.2"
"Helsinki Kumpula","2015","11","8","00:00","0.5"
"Helsinki Kumpula","2015","11","9","00:00","0.9"
"Helsinki Kumpula","2015","11","10","00:00","9.5"
"Helsinki Kumpula","2015","11","11","00:00","1.6"
"Helsinki Kumpula","2015","11","12","00:00","8"
"Helsinki Kumpula","2015","11","13","00:00","2.7"
"Helsinki Kumpula","2015","11","14","00:00","12"
"Helsinki Kumpula","2015","11","15","00:00","53.8"
"Helsinki Kumpula","2015","11","16","00:00","3.1"
"Helsinki Kumpula","2015","11","17","00:00","1.2"
"Helsinki Kumpula","2015","11","18","00:00","2.8"
"Helsinki Kumpula","2015","11","19","00:00","2.8"
"Helsinki Kumpula","2015","11","20","00:00","1.3"
"Helsinki Kumpula","2015","11","21","00:00","5.1"
"Helsinki Kumpula","2015","11","22","00:00","0.7"
"Helsinki Kumpula","2015","11","23","00:00","82.7"
"Helsinki Kumpula","2015","11","24","00:00","1.3"
"Helsinki Kumpula","2015","11","25","00:00","0.4"
"Helsinki Kumpula","2015","11","26","00:00","0.8"
"Helsinki Kumpula","2015","11","27","00:00","0.8"
"Helsinki Kumpula","2015","11","28","00:00","0.7"
"Helsinki Kumpula","2015","11","29","00:00","9.3"
"Helsinki Kumpula","2015","11","30","00:00","0.4"
"Helsinki Kumpula","2015","12","1","00:00","10.9"
