"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2016","10","1","00:00","236.7"
"Helsinki Kumpula","2016","10","2","00:00","185.6"
"Helsinki Kumpula","2016","10","3","00:00","303.9"
"Helsinki Kumpula","2016","10","4","00:00","184.1"
"Helsinki Kumpula","2016","10","5","00:00","254.7"
"Helsinki Kumpula","2016","10","6","00:00","212.1"
"Helsinki Kumpula","2016","10","7","00:00","233.7"
"Helsinki Kumpula","2016","10","8","00:00","158.6"
"Helsinki Kumpula","2016","10","9","00:00","-0.1"
"Helsinki Kumpula","2016","10","10","00:00","27.3"
"Helsinki Kumpula","2016","10","11","00:00","0.2"
"Helsinki Kumpula","2016","10","12","00:00","0.3"
"Helsinki Kumpula","2016","10","13","00:00","13.4"
"Helsinki Kumpula","2016","10","14","00:00","0.5"
"Helsinki Kumpula","2016","10","15","00:00","0.7"
"Helsinki Kumpula","2016","10","16","00:00","36.2"
"Helsinki Kumpula","2016","10","17","00:00","0.3"
"Helsinki Kumpula","2016","10","18","00:00","123.5"
"Helsinki Kumpula","2016","10","19","00:00","209.9"
"Helsinki Kumpula","2016","10","20","00:00","44.7"
"Helsinki Kumpula","2016","10","21","00:00","0"
"Helsinki Kumpula","2016","10","22","00:00","0"
"Helsinki Kumpula","2016","10","23","00:00","1.2"
"Helsinki Kumpula","2016","10","24","00:00","-0.3"
"Helsinki Kumpula","2016","10","25","00:00","-0.1"
"Helsinki Kumpula","2016","10","26","00:00","0.5"
"Helsinki Kumpula","2016","10","27","00:00","0.9"
"Helsinki Kumpula","2016","10","28","00:00","1"
"Helsinki Kumpula","2016","10","29","00:00","2.5"
"Helsinki Kumpula","2016","10","30","00:00","0.3"
"Helsinki Kumpula","2016","10","31","00:00","3.8"
"Helsinki Kumpula","2016","11","1","00:00","0.3"
"Helsinki Kumpula","2016","11","2","00:00","0.1"
"Helsinki Kumpula","2016","11","3","00:00","68.9"
"Helsinki Kumpula","2016","11","4","00:00","9.8"
"Helsinki Kumpula","2016","11","5","00:00","32.4"
"Helsinki Kumpula","2016","11","6","00:00","0.3"
"Helsinki Kumpula","2016","11","7","00:00","0.1"
"Helsinki Kumpula","2016","11","8","00:00","0.3"
"Helsinki Kumpula","2016","11","9","00:00","0.4"
"Helsinki Kumpula","2016","11","10","00:00","0.3"
"Helsinki Kumpula","2016","11","11","00:00","126.3"
"Helsinki Kumpula","2016","11","12","00:00","1.1"
"Helsinki Kumpula","2016","11","13","00:00","0.6"
"Helsinki Kumpula","2016","11","14","00:00","1.5"
"Helsinki Kumpula","2016","11","15","00:00","0.4"
"Helsinki Kumpula","2016","11","16","00:00","1"
"Helsinki Kumpula","2016","11","17","00:00","1.2"
"Helsinki Kumpula","2016","11","18","00:00","0.6"
"Helsinki Kumpula","2016","11","19","00:00","42.6"
"Helsinki Kumpula","2016","11","20","00:00","1.5"
"Helsinki Kumpula","2016","11","21","00:00","0.8"
"Helsinki Kumpula","2016","11","22","00:00","0.7"
"Helsinki Kumpula","2016","11","23","00:00","0.9"
"Helsinki Kumpula","2016","11","24","00:00","2.2"
"Helsinki Kumpula","2016","11","25","00:00","6.1"
"Helsinki Kumpula","2016","11","26","00:00","13.6"
"Helsinki Kumpula","2016","11","27","00:00","0.6"
"Helsinki Kumpula","2016","11","28","00:00","84.9"
"Helsinki Kumpula","2016","11","29","00:00","113.1"
"Helsinki Kumpula","2016","11","30","00:00","20.9"
"Helsinki Kumpula","2016","12","1","00:00","53.2"
