"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2017","10","1","00:00","0.4"
"Helsinki Kumpula","2017","10","2","00:00","0"
"Helsinki Kumpula","2017","10","3","00:00","0.4"
"Helsinki Kumpula","2017","10","4","00:00","54.7"
"Helsinki Kumpula","2017","10","5","00:00","0.6"
"Helsinki Kumpula","2017","10","6","00:00","7.5"
"Helsinki Kumpula","2017","10","7","00:00","4.7"
"Helsinki Kumpula","2017","10","8","00:00","0.8"
"Helsinki Kumpula","2017","10","9","00:00","0.9"
"Helsinki Kumpula","2017","10","10","00:00","0.9"
"Helsinki Kumpula","2017","10","11","00:00","2.6"
"Helsinki Kumpula","2017","10","12","00:00","8.5"
"Helsinki Kumpula","2017","10","13","00:00","98"
"Helsinki Kumpula","2017","10","14","00:00","0.6"
"Helsinki Kumpula","2017","10","15","00:00","128"
"Helsinki Kumpula","2017","10","16","00:00","10.8"
"Helsinki Kumpula","2017","10","17","00:00","2.8"
"Helsinki Kumpula","2017","10","18","00:00","40.7"
"Helsinki Kumpula","2017","10","19","00:00","167.1"
"Helsinki Kumpula","2017","10","20","00:00","216.1"
"Helsinki Kumpula","2017","10","21","00:00","105.6"
"Helsinki Kumpula","2017","10","22","00:00","87.6"
"Helsinki Kumpula","2017","10","23","00:00","184.9"
"Helsinki Kumpula","2017","10","24","00:00","1.8"
"Helsinki Kumpula","2017","10","25","00:00","105.9"
"Helsinki Kumpula","2017","10","26","00:00","0.6"
"Helsinki Kumpula","2017","10","27","00:00","0.9"
"Helsinki Kumpula","2017","10","28","00:00","1"
"Helsinki Kumpula","2017","10","29","00:00","1"
"Helsinki Kumpula","2017","10","30","00:00","0.7"
"Helsinki Kumpula","2017","10","31","00:00","214.4"
"Helsinki Kumpula","2017","11","1","00:00","0.9"
"Helsinki Kumpula","2017","11","2","00:00","46.2"
"Helsinki Kumpula","2017","11","3","00:00","98.1"
"Helsinki Kumpula","2017","11","4","00:00","24.1"
"Helsinki Kumpula","2017","11","5","00:00","0.2"
"Helsinki Kumpula","2017","11","6","00:00","0.3"
"Helsinki Kumpula","2017","11","7","00:00","165.4"
"Helsinki Kumpula","2017","11","8","00:00","7.6"
"Helsinki Kumpula","2017","11","9","00:00","0.4"
"Helsinki Kumpula","2017","11","10","00:00","30.5"
"Helsinki Kumpula","2017","11","11","00:00","0.6"
"Helsinki Kumpula","2017","11","12","00:00","1.2"
"Helsinki Kumpula","2017","11","13","00:00","3.7"
"Helsinki Kumpula","2017","11","14","00:00","12.1"
"Helsinki Kumpula","2017","11","15","00:00","24"
"Helsinki Kumpula","2017","11","16","00:00","28.5"
"Helsinki Kumpula","2017","11","17","00:00","27.5"
"Helsinki Kumpula","2017","11","18","00:00","0.6"
"Helsinki Kumpula","2017","11","19","00:00","0.9"
"Helsinki Kumpula","2017","11","20","00:00","1"
"Helsinki Kumpula","2017","11","21","00:00","0.9"
"Helsinki Kumpula","2017","11","22","00:00","0.7"
"Helsinki Kumpula","2017","11","23","00:00","0.4"
"Helsinki Kumpula","2017","11","24","00:00","0.9"
"Helsinki Kumpula","2017","11","25","00:00","10.9"
"Helsinki Kumpula","2017","11","26","00:00","1.3"
"Helsinki Kumpula","2017","11","27","00:00","0.7"
"Helsinki Kumpula","2017","11","28","00:00","0.8"
"Helsinki Kumpula","2017","11","29","00:00","1.1"
"Helsinki Kumpula","2017","11","30","00:00","1.1"
"Helsinki Kumpula","2017","12","1","00:00","0.8"
