"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2018","10","1","00:00","162"
"Helsinki Kumpula","2018","10","2","00:00","85.3"
"Helsinki Kumpula","2018","10","3","00:00","0.2"
"Helsinki Kumpula","2018","10","4","00:00","253.2"
"Helsinki Kumpula","2018","10","5","00:00","22.1"
"Helsinki Kumpula","2018","10","6","00:00","25.2"
"Helsinki Kumpula","2018","10","7","00:00","45.7"
"Helsinki Kumpula","2018","10","8","00:00","24.1"
"Helsinki Kumpula","2018","10","9","00:00","0.6"
"Helsinki Kumpula","2018","10","10","00:00","156.1"
"Helsinki Kumpula","2018","10","11","00:00","221.9"
"Helsinki Kumpula","2018","10","12","00:00","0.3"
"Helsinki Kumpula","2018","10","13","00:00","28"
"Helsinki Kumpula","2018","10","14","00:00","199.3"
"Helsinki Kumpula","2018","10","15","00:00","217.7"
"Helsinki Kumpula","2018","10","16","00:00","11.2"
"Helsinki Kumpula","2018","10","17","00:00","2.2"
"Helsinki Kumpula","2018","10","18","00:00","0.5"
"Helsinki Kumpula","2018","10","19","00:00","243.7"
"Helsinki Kumpula","2018","10","20","00:00","21.3"
"Helsinki Kumpula","2018","10","21","00:00","74"
"Helsinki Kumpula","2018","10","22","00:00","126.3"
"Helsinki Kumpula","2018","10","23","00:00","0.1"
"Helsinki Kumpula","2018","10","24","00:00","24.2"
"Helsinki Kumpula","2018","10","25","00:00","5.7"
"Helsinki Kumpula","2018","10","26","00:00","1"
"Helsinki Kumpula","2018","10","27","00:00","0.3"
"Helsinki Kumpula","2018","10","28","00:00","212.5"
"Helsinki Kumpula","2018","10","29","00:00","4.2"
"Helsinki Kumpula","2018","10","30","00:00","0.2"
"Helsinki Kumpula","2018","10","31","00:00","0.2"
"Helsinki Kumpula","2018","11","1","00:00","16"
"Helsinki Kumpula","2018","11","2","00:00","0.3"
"Helsinki Kumpula","2018","11","3","00:00","0.2"
"Helsinki Kumpula","2018","11","4","00:00","59.3"
"Helsinki Kumpula","2018","11","5","00:00","0.3"
"Helsinki Kumpula","2018","11","6","00:00","0.4"
"Helsinki Kumpula","2018","11","7","00:00","0.4"
"Helsinki Kumpula","2018","11","8","00:00","0.2"
"Helsinki Kumpula","2018","11","9","00:00","0.4"
"Helsinki Kumpula","2018","11","10","00:00","0.3"
"Helsinki Kumpula","2018","11","11","00:00","0.3"
"Helsinki Kumpula","2018","11","12","00:00","0.3"
"Helsinki Kumpula","2018","11","13","00:00","0.7"
"Helsinki Kumpula","2018","11","14","00:00","0.6"
"Helsinki Kumpula","2018","11","15","00:00","0.3"
"Helsinki Kumpula","2018","11","16","00:00","0.5"
"Helsinki Kumpula","2018","11","17","00:00","29.3"
"Helsinki Kumpula","2018","11","18","00:00","95.9"
"Helsinki Kumpula","2018","11","19","00:00","0.2"
"Helsinki Kumpula","2018","11","20","00:00","0.5"
"Helsinki Kumpula","2018","11","21","00:00","126.7"
"Helsinki Kumpula","2018","11","22","00:00","6.3"
"Helsinki Kumpula","2018","11","23","00:00","0.8"
"Helsinki Kumpula","2018","11","24","00:00","119.5"
"Helsinki Kumpula","2018","11","25","00:00","7.4"
"Helsinki Kumpula","2018","11","26","00:00","14.9"
"Helsinki Kumpula","2018","11","27","00:00","64.5"
"Helsinki Kumpula","2018","11","28","00:00","102.4"
"Helsinki Kumpula","2018","11","29","00:00","0.6"
"Helsinki Kumpula","2018","11","30","00:00","0.3"
"Helsinki Kumpula","2018","12","1","00:00","116.3"
