"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2019","10","1","00:00","126.1"
"Helsinki Kumpula","2019","10","2","00:00","51"
"Helsinki Kumpula","2019","10","3","00:00","-0.1"
"Helsinki Kumpula","2019","10","4","00:00","27.6"
"Helsinki Kumpula","2019","10","5","00:00","93"
"Helsinki Kumpula","2019","10","6","00:00","19.4"
"Helsinki Kumpula","2019","10","7","00:00","48.7"
"Helsinki Kumpula","2019","10","8","00:00","1.1"
"Helsinki Kumpula","2019","10","9","00:00","18.9"
"Helsinki Kumpula","2019","10","10","00:00","2.2"
"Helsinki Kumpula","2019","10","11","00:00","10.5"
"Helsinki Kumpula","2019","10","12","00:00","23.2"
"Helsinki Kumpula","2019","10","13","00:00","94.8"
"Helsinki Kumpula","2019","10","14","00:00","0.2"
"Helsinki Kumpula","2019","10","15","00:00","88.4"
"Helsinki Kumpula","2019","10","16","00:00","-0.1"
"Helsinki Kumpula","2019","10","17","00:00","0.1"
"Helsinki Kumpula","2019","10","18","00:00","0.5"
"Helsinki Kumpula","2019","10","19","00:00","23"
"Helsinki Kumpula","2019","10","20","00:00","0.3"
"Helsinki Kumpula","2019","10","21","00:00","4.8"
"Helsinki Kumpula","2019","10","22","00:00","0.4"
"Helsinki Kumpula","2019","10","23","00:00","150.6"
"Helsinki Kumpula","2019","10","24","00:00","25.8"
"Helsinki Kumpula","2019","10","25","00:00","1.4"
"Helsinki Kumpula","2019","10","26","00:00","-0.1"
"Helsinki Kumpula","2019","10","27","00:00","0.2"
"Helsinki Kumpula","2019","10","28","00:00","2.5"
"Helsinki Kumpula","2019","10","29","00:00","95.8"
"Helsinki Kumpula","2019","10","30","00:00","192.1"
"Helsinki Kumpula","2019","10","31","00:00","34.6"
"Helsinki Kumpula","2019","11","1","00:00","153.3"
"Helsinki Kumpula","2019","11","2","00:00","0.2"
"Helsinki Kumpula","2019","11","3","00:00","0.5"
"Helsinki Kumpula","2019","11","4","00:00","8.3"
"Helsinki Kumpula","2019","11","5","00:00","0.2"
"Helsinki Kumpula","2019","11","6","00:00","24.2"
"Helsinki Kumpula","2019","11","7","00:00","0.2"
"Helsinki Kumpula","2019","11","8","00:00","0.4"
"Helsinki Kumpula","2019","11","9","00:00","0.2"
"Helsinki Kumpula","2019","11","10","00:00","0.6"
"Helsinki Kumpula","2019","11","11","00:00","0.7"
"Helsinki Kumpula","2019","11","12","00:00","0.9"
"Helsinki Kumpula","2019","11","13","00:00","0.8"
"Helsinki Kumpula","2019","11","14","00:00","0.7"
"Helsinki Kumpula","2019","11","15","00:00","66"
"Helsinki Kumpula","2019","11","16","00:00","0.4"
"Helsinki Kumpula","2019","11","17","00:00","0.2"
"Helsinki Kumpula","2019","11","18","00:00","0.2"
"Helsinki Kumpula","2019","11","19","00:00","0"
"Helsinki Kumpula","2019","11","20","00:00","0.1"
"Helsinki Kumpula","2019","11","21","00:00","0"
"Helsinki Kumpula","2019","11","22","00:00","0"
"Helsinki Kumpula","2019","11","23","00:00","2.8"
"Helsinki Kumpula","2019","11","24","00:00","0.3"
"Helsinki Kumpula","2019","11","25","00:00","0.5"
"Helsinki Kumpula","2019","11","26","00:00","0.4"
"Helsinki Kumpula","2019","11","27","00:00","0.7"
"Helsinki Kumpula","2019","11","28","00:00","0.7"
"Helsinki Kumpula","2019","11","29","00:00","0.5"
"Helsinki Kumpula","2019","11","30","00:00","70.6"
"Helsinki Kumpula","2019","12","1","00:00","48.5"
