"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2020","10","1","00:00","91.5"
"Helsinki Kumpula","2020","10","2","00:00","107"
"Helsinki Kumpula","2020","10","3","00:00","31.4"
"Helsinki Kumpula","2020","10","4","00:00","-0.1"
"Helsinki Kumpula","2020","10","5","00:00","273.2"
"Helsinki Kumpula","2020","10","6","00:00","16.2"
"Helsinki Kumpula","2020","10","7","00:00","30.3"
"Helsinki Kumpula","2020","10","8","00:00","38"
"Helsinki Kumpula","2020","10","9","00:00","1.5"
"Helsinki Kumpula","2020","10","10","00:00","98.8"
"Helsinki Kumpula","2020","10","11","00:00","87.1"
"Helsinki Kumpula","2020","10","12","00:00","58.2"
"Helsinki Kumpula","2020","10","13","00:00","42.6"
"Helsinki Kumpula","2020","10","14","00:00","53"
"Helsinki Kumpula","2020","10","15","00:00","144.6"
"Helsinki Kumpula","2020","10","16","00:00","145.6"
"Helsinki Kumpula","2020","10","17","00:00","74"
"Helsinki Kumpula","2020","10","18","00:00","54.9"
"Helsinki Kumpula","2020","10","19","00:00","33.2"
"Helsinki Kumpula","2020","10","20","00:00","-"
"-","2020","10","21","00:00","-"
"Helsinki Kumpula","2020","10","22","00:00","0.1"
"Helsinki Kumpula","2020","10","23","00:00","15.9"
"Helsinki Kumpula","2020","10","24","00:00","50.3"
"Helsinki Kumpula","2020","10","25","00:00","0.5"
"Helsinki Kumpula","2020","10","26","00:00","0.2"
"Helsinki Kumpula","2020","10","27","00:00","0.1"
"Helsinki Kumpula","2020","10","28","00:00","10.9"
"Helsinki Kumpula","2020","10","29","00:00","8.6"
"Helsinki Kumpula","2020","10","30","00:00","0.3"
"Helsinki Kumpula","2020","10","31","00:00","0.3"
"Helsinki Kumpula","2020","11","1","00:00","0.2"
"Helsinki Kumpula","2020","11","2","00:00","0.2"
"Helsinki Kumpula","2020","11","3","00:00","54.8"
"Helsinki Kumpula","2020","11","4","00:00","5.9"
"Helsinki Kumpula","2020","11","5","00:00","9"
"Helsinki Kumpula","2020","11","6","00:00","110.3"
"Helsinki Kumpula","2020","11","7","00:00","124.9"
"Helsinki Kumpula","2020","11","8","00:00","165.6"
"Helsinki Kumpula","2020","11","9","00:00","87.6"
"Helsinki Kumpula","2020","11","10","00:00","52"
"Helsinki Kumpula","2020","11","11","00:00","0.5"
"Helsinki Kumpula","2020","11","12","00:00","21.1"
"Helsinki Kumpula","2020","11","13","00:00","0"
"Helsinki Kumpula","2020","11","14","00:00","0.2"
"Helsinki Kumpula","2020","11","15","00:00","5.7"
"Helsinki Kumpula","2020","11","16","00:00","0.1"
"Helsinki Kumpula","2020","11","17","00:00","0.1"
"Helsinki Kumpula","2020","11","18","00:00","38.3"
"Helsinki Kumpula","2020","11","19","00:00","0.1"
"Helsinki Kumpula","2020","11","20","00:00","42.8"
"Helsinki Kumpula","2020","11","21","00:00","6.2"
"Helsinki Kumpula","2020","11","22","00:00","46.5"
"Helsinki Kumpula","2020","11","23","00:00","90.6"
"Helsinki Kumpula","2020","11","24","00:00","44.2"
"Helsinki Kumpula","2020","11","25","00:00","0.5"
"Helsinki Kumpula","2020","11","26","00:00","0.1"
"Helsinki Kumpula","2020","11","27","00:00","0.3"
"Helsinki Kumpula","2020","11","28","00:00","0.6"
"Helsinki Kumpula","2020","11","29","00:00","0.1"
"Helsinki Kumpula","2020","11","30","00:00","0.3"
"Helsinki Kumpula","2020","12","1","00:00","0.5"
