"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2021","10","1","00:00","0.3"
"Helsinki Kumpula","2021","10","2","00:00","86"
"Helsinki Kumpula","2021","10","3","00:00","180.5"
"Helsinki Kumpula","2021","10","4","00:00","77.7"
"Helsinki Kumpula","2021","10","5","00:00","0.2"
"Helsinki Kumpula","2021","10","6","00:00","78"
"Helsinki Kumpula","2021","10","7","00:00","25.9"
"Helsinki Kumpula","2021","10","8","00:00","4.3"
"Helsinki Kumpula","2021","10","9","00:00","0.8"
"Helsinki Kumpula","2021","10","10","00:00","0.4"
"Helsinki Kumpula","2021","10","11","00:00","25.9"
"Helsinki Kumpula","2021","10","12","00:00","19.5"
"Helsinki Kumpula","2021","10","13","00:00","18.5"
"Helsinki Kumpula","2021","10","14","00:00","117.2"
"Helsinki Kumpula","2021","10","15","00:00","-0.1"
"Helsinki Kumpula","2021","10","16","00:00","198.7"
"Helsinki Kumpula","2021","10","17","00:00","228.1"
"Helsinki Kumpula","2021","10","18","00:00","74"
"Helsinki Kumpula","2021","10","19","00:00","210.6"
"Helsinki Kumpula","2021","10","20","00:00","0.1"
"Helsinki Kumpula","2021","10","21","00:00","40.9"
"Helsinki Kumpula","2021","10","22","00:00","-0.1"
"Helsinki Kumpula","2021","10","23","00:00","3.5"
"Helsinki Kumpula","2021","10","24","00:00","37.1"
"Helsinki Kumpula","2021","10","25","00:00","7.9"
"Helsinki Kumpula","2021","10","26","00:00","0.2"
"Helsinki Kumpula","2021","10","27","00:00","3"
"Helsinki Kumpula","2021","10","28","00:00","20.6"
"Helsinki Kumpula","2021","10","29","00:00","0.1"
"Helsinki Kumpula","2021","10","30","00:00","0.5"
"Helsinki Kumpula","2021","10","31","00:00","2.3"
"Helsinki Kumpula","2021","11","1","00:00","38.3"
"Helsinki Kumpula","2021","11","2","00:00","99.8"
"Helsinki Kumpula","2021","11","3","00:00","-0.1"
"Helsinki Kumpula","2021","11","4","00:00","21.2"
"Helsinki Kumpula","2021","11","5","00:00","0"
"Helsinki Kumpula","2021","11","6","00:00","47.4"
"Helsinki Kumpula","2021","11","7","00:00","0.1"
"Helsinki Kumpula","2021","11","8","00:00","75.9"
"Helsinki Kumpula","2021","11","9","00:00","35.6"
"Helsinki Kumpula","2021","11","10","00:00","0.2"
"Helsinki Kumpula","2021","11","11","00:00","79.8"
"Helsinki Kumpula","2021","11","12","00:00","13"
"Helsinki Kumpula","2021","11","13","00:00","2.7"
"Helsinki Kumpula","2021","11","14","00:00","156.5"
"Helsinki Kumpula","2021","11","15","00:00","5.4"
"Helsinki Kumpula","2021","11","16","00:00","0"
"Helsinki Kumpula","2021","11","17","00:00","0"
"Helsinki Kumpula","2021","11","18","00:00","3.6"
"Helsinki Kumpula","2021","11","19","00:00","0.6"
"Helsinki Kumpula","2021","11","20","00:00","39.8"
"Helsinki Kumpula","2021","11","21","00:00","3.2"
"Helsinki Kumpula","2021","11","22","00:00","95.7"
"Helsinki Kumpula","2021","11","23","00:00","0.6"
"Helsinki Kumpula","2021","11","24","00:00","47.2"
"Helsinki Kumpula","2021","11","25","00:00","0.9"
"Helsinki Kumpula","2021","11","26","00:00","37.8"
"Helsinki Kumpula","2021","11","27","00:00","25.9"
"Helsinki Kumpula","2021","11","28","00:00","1"
"Helsinki Kumpula","2021","11","29","00:00","0.9"
"Helsinki Kumpula","2021","11","30","00:00","65.7"
"Helsinki Kumpula","2021","12","1","00:00","11.9"
