"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2014","11","1","00:00","180.2"
"Helsinki Kumpula","2014","11","2","00:00","1.6"
"Helsinki Kumpula","2014","11","3","00:00","3.1"
"Helsinki Kumpula","2014","11","4","00:00","1.8"
"Helsinki Kumpula","2014","11","5","00:00","4.7"
"Helsinki Kumpula","2014","11","6","00:00","1.3"
"Helsinki Kumpula","2014","11","7","00:00","2.6"
"Helsinki Kumpula","2014","11","8","00:00","13.5"
"Helsinki Kumpula","2014","11","9","00:00","0.9"
"Helsinki Kumpula","2014","11","10","00:00","3.5"
"Helsinki Kumpula","2014","11","11","00:00","2"
"Helsinki Kumpula","2014","11","12","00:00","57.9"
"Helsinki Kumpula","2014","11","13","00:00","0.2"
"Helsinki Kumpula","2014","11","14","00:00","0.2"
"Helsinki Kumpula","2014","11","15","00:00","0.2"
"Helsinki Kumpula","2014","11","16","00:00","48.7"
"Helsinki Kumpula","2014","11","17","00:00","0.2"
"Helsinki Kumpula","2014","11","18","00:00","0.3"
"Helsinki Kumpula","2014","11","19","00:00","1.2"
"Helsinki Kumpula","2014","11","20","00:00","0.3"
"Helsinki Kumpula","2014","11","21","00:00","0.7"
"Helsinki Kumpula","2014","11","22","00:00","1.3"
"Helsinki Kumpula","2014","11","23","00:00","0.9"
"Helsinki Kumpula","2014","11","24","00:00","0.3"
"Helsinki Kumpula","2014","11","25","00:00","1.2"
"Helsinki Kumpula","2014","11","26","00:00","2.1"
"Helsinki Kumpula","2014","11","27","00:00","1.1"
"Helsinki Kumpula","2014","11","28","00:00","1.1"
"Helsinki Kumpula","2014","11","29","00:00","1.3"
"Helsinki Kumpula","2014","11","30","00:00","5.4"
"Helsinki Kumpula","2014","12","1","00:00","4"
"Helsinki Kumpula","2014","12","2","00:00","0.7"
"Helsinki Kumpula","2014","12","3","00:00","51.5"
"Helsinki Kumpula","2014","12","4","00:00","20.5"
"Helsinki Kumpula","2014","12","5","00:00","1.3"
"Helsinki Kumpula","2014","12","6","00:00","2.3"
"Helsinki Kumpula","2014","12","7","00:00","1.2"
"Helsinki Kumpula","2014","12","8","00:00","1.9"
"Helsinki Kumpula","2014","12","9","00:00","16.6"
"Helsinki Kumpula","2014","12","10","00:00","0.7"
"Helsinki Kumpula","2014","12","11","00:00","0.8"
"Helsinki Kumpula","2014","12","12","00:00","1.4"
"Helsinki Kumpula","2014","12","13","00:00","2.4"
"Helsinki Kumpula","2014","12","14","00:00","1.3"
"Helsinki Kumpula","2014","12","15","00:00","0.5"
"Helsinki Kumpula","2014","12","16","00:00","64.5"
"Helsinki Kumpula","2014","12","17","00:00","36.1"
"Helsinki Kumpula","2014","12","18","00:00","2"
"Helsinki Kumpula","2014","12","19","00:00","2.4"
"Helsinki Kumpula","2014","12","20","00:00","3.1"
"Helsinki Kumpula","2014","12","21","00:00","13.2"
"Helsinki Kumpula","2014","12","22","00:00","2.2"
"Helsinki Kumpula","2014","12","23","00:00","2"
"Helsinki Kumpula","2014","12","24","00:00","0.5"
"Helsinki Kumpula","2014","12","25","00:00","89.6"
"Helsinki Kumpula","2014","12","26","00:00","18"
"Helsinki Kumpula","2014","12","27","00:00","18.7"
"Helsinki Kumpula","2014","12","28","00:00","0.3"
"Helsinki Kumpula","2014","12","29","00:00","80.3"
"Helsinki Kumpula","2014","12","30","00:00","2"
"Helsinki Kumpula","2014","12","31","00:00","2.9"
"Helsinki Kumpula","2015","1","1","00:00","0.9"
