"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2015","12","1","00:00","10.9"
"Helsinki Kumpula","2015","12","2","00:00","61.6"
"Helsinki Kumpula","2015","12","3","00:00","1.2"
"Helsinki Kumpula","2015","12","4","00:00","1.1"
"Helsinki Kumpula","2015","12","5","00:00","26.8"
"Helsinki Kumpula","2015","12","6","00:00","1.4"
"Helsinki Kumpula","2015","12","7","00:00","34.5"
"Helsinki Kumpula","2015","12","8","00:00","65.9"
"Helsinki Kumpula","2015","12","9","00:00","1.2"
"Helsinki Kumpula","2015","12","10","00:00","0.6"
"Helsinki Kumpula","2015","12","11","00:00","21.1"
"Helsinki Kumpula","2015","12","12","00:00","0.7"
"Helsinki Kumpula","2015","12","13","00:00","1.3"
"Helsinki Kumpula","2015","12","14","00:00","1.3"
"Helsinki Kumpula","2015","12","15","00:00","16.4"
"Helsinki Kumpula","2015","12","16","00:00","7.8"
"Helsinki Kumpula","2015","12","17","00:00","1.2"
"Helsinki Kumpula","2015","12","18","00:00","1.6"
"Helsinki Kumpula","2015","12","19","00:00","64.5"
"Helsinki Kumpula","2015","12","20","00:00","1.5"
"Helsinki Kumpula","2015","12","21","00:00","0.4"
"Helsinki Kumpula","2015","12","22","00:00","2.9"
"Helsinki Kumpula","2015","12","23","00:00","43.4"
"Helsinki Kumpula","2015","12","24","00:00","58.5"
"Helsinki Kumpula","2015","12","25","00:00","5.2"
"Helsinki Kumpula","2015","12","26","00:00","64"
"Helsinki Kumpula","2015","12","27","00:00","99.3"
"Helsinki Kumpula","2015","12","28","00:00","103.8"
"Helsinki Kumpula","2015","12","29","00:00","74.6"
"Helsinki Kumpula","2015","12","30","00:00","0.8"
"Helsinki Kumpula","2015","12","31","00:00","0.2"
"Helsinki Kumpula","2016","1","1","00:00","0"
"Helsinki Kumpula","2016","1","2","00:00","0.2"
"Helsinki Kumpula","2016","1","3","00:00","0.6"
"Helsinki Kumpula","2016","1","4","00:00","45.1"
"Helsinki Kumpula","2016","1","5","00:00","32.8"
"Helsinki Kumpula","2016","1","6","00:00","12.8"
"Helsinki Kumpula","2016","1","7","00:00","85.8"
"Helsinki Kumpula","2016","1","8","00:00","2.4"
"Helsinki Kumpula","2016","1","9","00:00","0.2"
"Helsinki Kumpula","2016","1","10","00:00","0.5"
"Helsinki Kumpula","2016","1","11","00:00","0.3"
"Helsinki Kumpula","2016","1","12","00:00","0.3"
"Helsinki Kumpula","2016","1","13","00:00","0.4"
"Helsinki Kumpula","2016","1","14","00:00","27.7"
"Helsinki Kumpula","2016","1","15","00:00","65.6"
"Helsinki Kumpula","2016","1","16","00:00","57.1"
"Helsinki Kumpula","2016","1","17","00:00","31.2"
"Helsinki Kumpula","2016","1","18","00:00","0.8"
"Helsinki Kumpula","2016","1","19","00:00","0.7"
"Helsinki Kumpula","2016","1","20","00:00","100.1"
"Helsinki Kumpula","2016","1","21","00:00","25.6"
"Helsinki Kumpula","2016","1","22","00:00","114.8"
"Helsinki Kumpula","2016","1","23","00:00","1.3"
"Helsinki Kumpula","2016","1","24","00:00","1"
"Helsinki Kumpula","2016","1","25","00:00","6"
"Helsinki Kumpula","2016","1","26","00:00","1.5"
"Helsinki Kumpula","2016","1","27","00:00","1.4"
"Helsinki Kumpula","2016","1","28","00:00","1.3"
"Helsinki Kumpula","2016","1","29","00:00","6.4"
"Helsinki Kumpula","2016","1","30","00:00","3.3"
"Helsinki Kumpula","2016","1","31","00:00","1.5"
"Helsinki Kumpula","2016","2","1","00:00","93.7"
