"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2016","12","1","00:00","53.2"
"Helsinki Kumpula","2016","12","2","00:00","0.6"
"Helsinki Kumpula","2016","12","3","00:00","1"
"Helsinki Kumpula","2016","12","4","00:00","85.3"
"Helsinki Kumpula","2016","12","5","00:00","32.3"
"Helsinki Kumpula","2016","12","6","00:00","103.9"
"Helsinki Kumpula","2016","12","7","00:00","1.5"
"Helsinki Kumpula","2016","12","8","00:00","1.5"
"Helsinki Kumpula","2016","12","9","00:00","0.8"
"Helsinki Kumpula","2016","12","10","00:00","42.5"
"Helsinki Kumpula","2016","12","11","00:00","58.1"
"Helsinki Kumpula","2016","12","12","00:00","13.2"
"Helsinki Kumpula","2016","12","13","00:00","7.6"
"Helsinki Kumpula","2016","12","14","00:00","0.8"
"Helsinki Kumpula","2016","12","15","00:00","1"
"Helsinki Kumpula","2016","12","16","00:00","86.3"
"Helsinki Kumpula","2016","12","17","00:00","1"
"Helsinki Kumpula","2016","12","18","00:00","1.1"
"Helsinki Kumpula","2016","12","19","00:00","1"
"Helsinki Kumpula","2016","12","20","00:00","1.3"
"Helsinki Kumpula","2016","12","21","00:00","0.5"
"Helsinki Kumpula","2016","12","22","00:00","0.3"
"Helsinki Kumpula","2016","12","23","00:00","9.3"
"Helsinki Kumpula","2016","12","24","00:00","0.9"
"Helsinki Kumpula","2016","12","25","00:00","0.4"
"Helsinki Kumpula","2016","12","26","00:00","25.2"
"Helsinki Kumpula","2016","12","27","00:00","45.8"
"Helsinki Kumpula","2016","12","28","00:00","96.2"
"Helsinki Kumpula","2016","12","29","00:00","0.4"
"Helsinki Kumpula","2016","12","30","00:00","0.2"
"Helsinki Kumpula","2016","12","31","00:00","0.1"
"Helsinki Kumpula","2017","1","1","00:00","0.1"
"Helsinki Kumpula","2017","1","2","00:00","0.5"
"Helsinki Kumpula","2017","1","3","00:00","-"
"-","2017","1","4","00:00","-"
"Helsinki Kumpula","2017","1","5","00:00","103.5"
"Helsinki Kumpula","2017","1","6","00:00","111.4"
"Helsinki Kumpula","2017","1","7","00:00","0.7"
"Helsinki Kumpula","2017","1","8","00:00","1.1"
"Helsinki Kumpula","2017","1","9","00:00","0.8"
"Helsinki Kumpula","2017","1","10","00:00","0.9"
"Helsinki Kumpula","2017","1","11","00:00","0.1"
"Helsinki Kumpula","2017","1","12","00:00","0.3"
"Helsinki Kumpula","2017","1","13","00:00","1.1"
"Helsinki Kumpula","2017","1","14","00:00","0.5"
"Helsinki Kumpula","2017","1","15","00:00","0.4"
"Helsinki Kumpula","2017","1","16","00:00","0.9"
"Helsinki Kumpula","2017","1","17","00:00","0.9"
"Helsinki Kumpula","2017","1","18","00:00","1"
"Helsinki Kumpula","2017","1","19","00:00","7.8"
"Helsinki Kumpula","2017","1","20","00:00","7"
"Helsinki Kumpula","2017","1","21","00:00","63.9"
"Helsinki Kumpula","2017","1","22","00:00","56.8"
"Helsinki Kumpula","2017","1","23","00:00","0.8"
"Helsinki Kumpula","2017","1","24","00:00","72.6"
"Helsinki Kumpula","2017","1","25","00:00","2.4"
"Helsinki Kumpula","2017","1","26","00:00","1.3"
"Helsinki Kumpula","2017","1","27","00:00","140.5"
"Helsinki Kumpula","2017","1","28","00:00","1.2"
"Helsinki Kumpula","2017","1","29","00:00","1.1"
"Helsinki Kumpula","2017","1","30","00:00","1.6"
"Helsinki Kumpula","2017","1","31","00:00","2"
"Helsinki Kumpula","2017","2","1","00:00","0.8"
