"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Helsinki Kumpula","2017","12","1","00:00","0.8"
"Helsinki Kumpula","2017","12","2","00:00","17"
"Helsinki Kumpula","2017","12","3","00:00","1"
"Helsinki Kumpula","2017","12","4","00:00","1.7"
"Helsinki Kumpula","2017","12","5","00:00","13.6"
"Helsinki Kumpula","2017","12","6","00:00","15.7"
"Helsinki Kumpula","2017","12","7","00:00","0.8"
"Helsinki Kumpula","2017","12","8","00:00","1.3"
"Helsinki Kumpula","2017","12","9","00:00","3.5"
"Helsinki Kumpula","2017","12","10","00:00","0.1"
"Helsinki Kumpula","2017","12","11","00:00","0.2"
"Helsinki Kumpula","2017","12","12","00:00","1.1"
"Helsinki Kumpula","2017","12","13","00:00","77.8"
"Helsinki Kumpula","2017","12","14","00:00","31.1"
"Helsinki Kumpula","2017","12","15","00:00","1.1"
"Helsinki Kumpula","2017","12","16","00:00","1"
"Helsinki Kumpula","2017","12","17","00:00","1"
"Helsinki Kumpula","2017","12","18","00:00","7.6"
"Helsinki Kumpula","2017","12","19","00:00","1.3"
"Helsinki Kumpula","2017","12","20","00:00","0.5"
"Helsinki Kumpula","2017","12","21","00:00","1.5"
"Helsinki Kumpula","2017","12","22","00:00","22"
"Helsinki Kumpula","2017","12","23","00:00","0.9"
"Helsinki Kumpula","2017","12","24","00:00","80.2"
"Helsinki Kumpula","2017","12","25","00:00","24"
"Helsinki Kumpula","2017","12","26","00:00","1.3"
"Helsinki Kumpula","2017","12","27","00:00","1.4"
"Helsinki Kumpula","2017","12","28","00:00","0.6"
"Helsinki Kumpula","2017","12","29","00:00","1"
"Helsinki Kumpula","2017","12","30","00:00","2.4"
"Helsinki Kumpula","2017","12","31","00:00","12.2"
"Helsinki Kumpula","2018","1","1","00:00","0.9"
"Helsinki Kumpula","2018","1","2","00:00","0.8"
"Helsinki Kumpula","2018","1","3","00:00","0.3"
"Helsinki Kumpula","2018","1","4","00:00","0.4"
"Helsinki Kumpula","2018","1","5","00:00","0.9"
"Helsinki Kumpula","2018","1","6","00:00","0.9"
"Helsinki Kumpula","2018","1","7","00:00","93"
"Helsinki Kumpula","2018","1","8","00:00","101.2"
"Helsinki Kumpula","2018","1","9","00:00","39.6"
"Helsinki Kumpula","2018","1","10","00:00","0.9"
"Helsinki Kumpula","2018","1","11","00:00","0.5"
"Helsinki Kumpula","2018","1","12","00:00","1.4"
"Helsinki Kumpula","2018","1","13","00:00","0.6"
"Helsinki Kumpula","2018","1","14","00:00","37.5"
"Helsinki Kumpula","2018","1","15","00:00","0.3"
"Helsinki Kumpula","2018","1","16","00:00","61.4"
"Helsinki Kumpula","2018","1","17","00:00","0.2"
"Helsinki Kumpula","2018","1","18","00:00","0.4"
"Helsinki Kumpula","2018","1","19","00:00","0.8"
"Helsinki Kumpula","2018","1","20","00:00","0.8"
"Helsinki Kumpula","2018","1","21","00:00","0.7"
"Helsinki Kumpula","2018","1","22","00:00","0.9"
"Helsinki Kumpula","2018","1","23","00:00","1.2"
"Helsinki Kumpula","2018","1","24","00:00","0.6"
"Helsinki Kumpula","2018","1","25","00:00","1.1"
"Helsinki Kumpula","2018","1","26","00:00","1"
"Helsinki Kumpula","2018","1","27","00:00","1"
"Helsinki Kumpula","2018","1","28","00:00","1.1"
"Helsinki Kumpula","2018","1","29","00:00","0.9"
"Helsinki Kumpula","2018","1","30","00:00","0.7"
"Helsinki Kumpula","2018","1","31","00:00","54.4"
"Helsinki Kumpula","2018","2","1","00:00","1"
