"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","1","1","00:00","97.1"
"Jokioinen Ilmala","2004","1","2","00:00","100"
"Jokioinen Ilmala","2004","1","3","00:00","65.7"
"Jokioinen Ilmala","2004","1","4","00:00","1.4"
"Jokioinen Ilmala","2004","1","5","00:00","1.6"
"Jokioinen Ilmala","2004","1","6","00:00","1.2"
"Jokioinen Ilmala","2004","1","7","00:00","9.9"
"Jokioinen Ilmala","2004","1","8","00:00","0.8"
"Jokioinen Ilmala","2004","1","9","00:00","0.5"
"Jokioinen Ilmala","2004","1","10","00:00","0.6"
"Jokioinen Ilmala","2004","1","11","00:00","1.3"
"Jokioinen Ilmala","2004","1","12","00:00","0.7"
"Jokioinen Ilmala","2004","1","13","00:00","0.8"
"Jokioinen Ilmala","2004","1","14","00:00","0.3"
"Jokioinen Ilmala","2004","1","15","00:00","1"
"Jokioinen Ilmala","2004","1","16","00:00","2.2"
"Jokioinen Ilmala","2004","1","17","00:00","2.4"
"Jokioinen Ilmala","2004","1","18","00:00","1.7"
"Jokioinen Ilmala","2004","1","19","00:00","0.3"
"Jokioinen Ilmala","2004","1","20","00:00","85"
"Jokioinen Ilmala","2004","1","21","00:00","61.2"
"Jokioinen Ilmala","2004","1","22","00:00","113.9"
"Jokioinen Ilmala","2004","1","23","00:00","35.6"
"Jokioinen Ilmala","2004","1","24","00:00","0.5"
"Jokioinen Ilmala","2004","1","25","00:00","1.8"
"Jokioinen Ilmala","2004","1","26","00:00","11.5"
"Jokioinen Ilmala","2004","1","27","00:00","0.8"
"Jokioinen Ilmala","2004","1","28","00:00","2.2"
"Jokioinen Ilmala","2004","1","29","00:00","0.4"
"Jokioinen Ilmala","2004","1","30","00:00","6.8"
"Jokioinen Ilmala","2004","1","31","00:00","0.6"
"Jokioinen Ilmala","2004","2","1","00:00","0.7"
"Jokioinen Ilmala","2004","2","2","00:00","1.3"
"Jokioinen Ilmala","2004","2","3","00:00","0.8"
"Jokioinen Ilmala","2004","2","4","00:00","0.8"
"Jokioinen Ilmala","2004","2","5","00:00","1"
"Jokioinen Ilmala","2004","2","6","00:00","1.3"
"Jokioinen Ilmala","2004","2","7","00:00","0.7"
"Jokioinen Ilmala","2004","2","8","00:00","32.8"
"Jokioinen Ilmala","2004","2","9","00:00","10.1"
"Jokioinen Ilmala","2004","2","10","00:00","185.9"
"Jokioinen Ilmala","2004","2","11","00:00","217.9"
"Jokioinen Ilmala","2004","2","12","00:00","18.7"
"Jokioinen Ilmala","2004","2","13","00:00","1.1"
"Jokioinen Ilmala","2004","2","14","00:00","1"
"Jokioinen Ilmala","2004","2","15","00:00","9.7"
"Jokioinen Ilmala","2004","2","16","00:00","78"
"Jokioinen Ilmala","2004","2","17","00:00","0.9"
"Jokioinen Ilmala","2004","2","18","00:00","220.7"
"Jokioinen Ilmala","2004","2","19","00:00","17.3"
"Jokioinen Ilmala","2004","2","20","00:00","36.9"
"Jokioinen Ilmala","2004","2","21","00:00","76.1"
"Jokioinen Ilmala","2004","2","22","00:00","0.7"
"Jokioinen Ilmala","2004","2","23","00:00","3.4"
"Jokioinen Ilmala","2004","2","24","00:00","177.8"
"Jokioinen Ilmala","2004","2","25","00:00","0.7"
"Jokioinen Ilmala","2004","2","26","00:00","0.5"
"Jokioinen Ilmala","2004","2","27","00:00","0.9"
"Jokioinen Ilmala","2004","2","28","00:00","3.3"
"Jokioinen Ilmala","2004","2","29","00:00","1"
"Jokioinen Ilmala","2004","3","1","00:00","54.1"
