"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2014","1","1","00:00","0.2"
"Jokioinen Ilmala","2014","1","2","00:00","0.2"
"Jokioinen Ilmala","2014","1","3","00:00","0.1"
"Jokioinen Ilmala","2014","1","4","00:00","0.2"
"Jokioinen Ilmala","2014","1","5","00:00","-"
"-","2014","1","6","00:00","-"
"Jokioinen Ilmala","2014","1","7","00:00","0.3"
"Jokioinen Ilmala","2014","1","8","00:00","0.5"
"Jokioinen Ilmala","2014","1","9","00:00","0.5"
"Jokioinen Ilmala","2014","1","10","00:00","0.3"
"Jokioinen Ilmala","2014","1","11","00:00","0.7"
"Jokioinen Ilmala","2014","1","12","00:00","0.9"
"Jokioinen Ilmala","2014","1","13","00:00","85.8"
"Jokioinen Ilmala","2014","1","14","00:00","71.4"
"Jokioinen Ilmala","2014","1","15","00:00","95"
"Jokioinen Ilmala","2014","1","16","00:00","122.5"
"Jokioinen Ilmala","2014","1","17","00:00","-"
"-","2014","1","18","00:00","-"
"Jokioinen Ilmala","2014","1","19","00:00","99.7"
"Jokioinen Ilmala","2014","1","20","00:00","141.6"
"Jokioinen Ilmala","2014","1","21","00:00","117.7"
"Jokioinen Ilmala","2014","1","22","00:00","130.7"
"Jokioinen Ilmala","2014","1","23","00:00","123.6"
"Jokioinen Ilmala","2014","1","24","00:00","128.3"
"Jokioinen Ilmala","2014","1","25","00:00","2"
"Jokioinen Ilmala","2014","1","26","00:00","0.7"
"Jokioinen Ilmala","2014","1","27","00:00","-"
"-","2014","1","28","00:00","-"
"-","2014","1","29","00:00","-"
"Jokioinen Ilmala","2014","1","30","00:00","140.2"
"Jokioinen Ilmala","2014","1","31","00:00","-"
"-","2014","2","1","00:00","-"
"-","2014","2","2","00:00","-"
"Jokioinen Ilmala","2014","2","3","00:00","0.6"
"Jokioinen Ilmala","2014","2","4","00:00","-"
"-","2014","2","5","00:00","-"
"-","2014","2","6","00:00","-"
"Jokioinen Ilmala","2014","2","7","00:00","-"
"-","2014","2","8","00:00","-"
"Jokioinen Ilmala","2014","2","9","00:00","-"
"-","2014","2","10","00:00","-"
"Jokioinen Ilmala","2014","2","11","00:00","0.6"
"Jokioinen Ilmala","2014","2","12","00:00","0.5"
"Jokioinen Ilmala","2014","2","13","00:00","1.1"
"Jokioinen Ilmala","2014","2","14","00:00","0.2"
"Jokioinen Ilmala","2014","2","15","00:00","-"
"-","2014","2","16","00:00","-"
"Jokioinen Ilmala","2014","2","17","00:00","0.5"
"Jokioinen Ilmala","2014","2","18","00:00","0.9"
"Jokioinen Ilmala","2014","2","19","00:00","1"
"Jokioinen Ilmala","2014","2","20","00:00","-"
"-","2014","2","21","00:00","-"
"-","2014","2","22","00:00","-"
"Jokioinen Ilmala","2014","2","23","00:00","0.9"
"Jokioinen Ilmala","2014","2","24","00:00","0.7"
"Jokioinen Ilmala","2014","2","25","00:00","3.6"
"Jokioinen Ilmala","2014","2","26","00:00","-"
"-","2014","2","27","00:00","-"
"Jokioinen Ilmala","2014","2","28","00:00","-"
"-","2014","3","1","00:00","-"
