"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2015","10","1","00:00","-"
"-","2015","10","2","00:00","-"
"-","2015","10","3","00:00","-"
"Jokioinen Ilmala","2015","10","4","00:00","-"
"-","2015","10","5","00:00","-"
"Jokioinen Ilmala","2015","10","6","00:00","310.5"
"Jokioinen Ilmala","2015","10","7","00:00","281"
"Jokioinen Ilmala","2015","10","8","00:00","264.3"
"Jokioinen Ilmala","2015","10","9","00:00","211.2"
"Jokioinen Ilmala","2015","10","10","00:00","185.4"
"Jokioinen Ilmala","2015","10","11","00:00","150.7"
"Jokioinen Ilmala","2015","10","12","00:00","204.2"
"Jokioinen Ilmala","2015","10","13","00:00","57.7"
"Jokioinen Ilmala","2015","10","14","00:00","132.9"
"Jokioinen Ilmala","2015","10","15","00:00","132.2"
"Jokioinen Ilmala","2015","10","16","00:00","219.3"
"Jokioinen Ilmala","2015","10","17","00:00","135.1"
"Jokioinen Ilmala","2015","10","18","00:00","89.7"
"Jokioinen Ilmala","2015","10","19","00:00","190.1"
"Jokioinen Ilmala","2015","10","20","00:00","97.7"
"Jokioinen Ilmala","2015","10","21","00:00","0.4"
"Jokioinen Ilmala","2015","10","22","00:00","-0.2"
"Jokioinen Ilmala","2015","10","23","00:00","0.5"
"Jokioinen Ilmala","2015","10","24","00:00","236.9"
"Jokioinen Ilmala","2015","10","25","00:00","0"
"Jokioinen Ilmala","2015","10","26","00:00","169.2"
"Jokioinen Ilmala","2015","10","27","00:00","95.5"
"Jokioinen Ilmala","2015","10","28","00:00","235.1"
"Jokioinen Ilmala","2015","10","29","00:00","3.7"
"Jokioinen Ilmala","2015","10","30","00:00","164.2"
"Jokioinen Ilmala","2015","10","31","00:00","2.5"
"Jokioinen Ilmala","2015","11","1","00:00","0.1"
"Jokioinen Ilmala","2015","11","2","00:00","72.5"
"Jokioinen Ilmala","2015","11","3","00:00","158.5"
"Jokioinen Ilmala","2015","11","4","00:00","91.7"
"Jokioinen Ilmala","2015","11","5","00:00","108.4"
"Jokioinen Ilmala","2015","11","6","00:00","0.6"
"Jokioinen Ilmala","2015","11","7","00:00","0.1"
"Jokioinen Ilmala","2015","11","8","00:00","0.6"
"Jokioinen Ilmala","2015","11","9","00:00","0.2"
"Jokioinen Ilmala","2015","11","10","00:00","1.8"
"Jokioinen Ilmala","2015","11","11","00:00","1.1"
"Jokioinen Ilmala","2015","11","12","00:00","0.7"
"Jokioinen Ilmala","2015","11","13","00:00","0.6"
"Jokioinen Ilmala","2015","11","14","00:00","5"
"Jokioinen Ilmala","2015","11","15","00:00","3.8"
"Jokioinen Ilmala","2015","11","16","00:00","1"
"Jokioinen Ilmala","2015","11","17","00:00","39.5"
"Jokioinen Ilmala","2015","11","18","00:00","2.6"
"Jokioinen Ilmala","2015","11","19","00:00","0.3"
"Jokioinen Ilmala","2015","11","20","00:00","0.4"
"Jokioinen Ilmala","2015","11","21","00:00","1.4"
"Jokioinen Ilmala","2015","11","22","00:00","2"
"Jokioinen Ilmala","2015","11","23","00:00","1.7"
"Jokioinen Ilmala","2015","11","24","00:00","67"
"Jokioinen Ilmala","2015","11","25","00:00","0.2"
"Jokioinen Ilmala","2015","11","26","00:00","0.3"
"Jokioinen Ilmala","2015","11","27","00:00","0.1"
"Jokioinen Ilmala","2015","11","28","00:00","0.1"
"Jokioinen Ilmala","2015","11","29","00:00","28.8"
"Jokioinen Ilmala","2015","11","30","00:00","0.3"
"Jokioinen Ilmala","2015","12","1","00:00","1"
