"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","10","1","00:00","127"
"Jokioinen Ilmala","2016","10","2","00:00","303"
"Jokioinen Ilmala","2016","10","3","00:00","269.7"
"Jokioinen Ilmala","2016","10","4","00:00","157.4"
"Jokioinen Ilmala","2016","10","5","00:00","306.5"
"Jokioinen Ilmala","2016","10","6","00:00","131.2"
"Jokioinen Ilmala","2016","10","7","00:00","117.6"
"Jokioinen Ilmala","2016","10","8","00:00","146.8"
"Jokioinen Ilmala","2016","10","9","00:00","0.1"
"Jokioinen Ilmala","2016","10","10","00:00","90.9"
"Jokioinen Ilmala","2016","10","11","00:00","0.8"
"Jokioinen Ilmala","2016","10","12","00:00","1.2"
"Jokioinen Ilmala","2016","10","13","00:00","1.4"
"Jokioinen Ilmala","2016","10","14","00:00","1.4"
"Jokioinen Ilmala","2016","10","15","00:00","0.4"
"Jokioinen Ilmala","2016","10","16","00:00","0.5"
"Jokioinen Ilmala","2016","10","17","00:00","0.1"
"Jokioinen Ilmala","2016","10","18","00:00","39.8"
"Jokioinen Ilmala","2016","10","19","00:00","173.9"
"Jokioinen Ilmala","2016","10","20","00:00","96.6"
"Jokioinen Ilmala","2016","10","21","00:00","0.1"
"Jokioinen Ilmala","2016","10","22","00:00","0.1"
"Jokioinen Ilmala","2016","10","23","00:00","0.4"
"Jokioinen Ilmala","2016","10","24","00:00","-0.1"
"Jokioinen Ilmala","2016","10","25","00:00","0.4"
"Jokioinen Ilmala","2016","10","26","00:00","45.2"
"Jokioinen Ilmala","2016","10","27","00:00","0.5"
"Jokioinen Ilmala","2016","10","28","00:00","0.3"
"Jokioinen Ilmala","2016","10","29","00:00","129.1"
"Jokioinen Ilmala","2016","10","30","00:00","0.7"
"Jokioinen Ilmala","2016","10","31","00:00","173.3"
"Jokioinen Ilmala","2016","11","1","00:00","26.8"
"Jokioinen Ilmala","2016","11","2","00:00","0.2"
"Jokioinen Ilmala","2016","11","3","00:00","1"
"Jokioinen Ilmala","2016","11","4","00:00","28.6"
"Jokioinen Ilmala","2016","11","5","00:00","2.4"
"Jokioinen Ilmala","2016","11","6","00:00","40.1"
"Jokioinen Ilmala","2016","11","7","00:00","0.4"
"Jokioinen Ilmala","2016","11","8","00:00","1.2"
"Jokioinen Ilmala","2016","11","9","00:00","1.1"
"Jokioinen Ilmala","2016","11","10","00:00","0.8"
"Jokioinen Ilmala","2016","11","11","00:00","157.8"
"Jokioinen Ilmala","2016","11","12","00:00","2.1"
"Jokioinen Ilmala","2016","11","13","00:00","1.8"
"Jokioinen Ilmala","2016","11","14","00:00","25.8"
"Jokioinen Ilmala","2016","11","15","00:00","0"
"Jokioinen Ilmala","2016","11","16","00:00","0.6"
"Jokioinen Ilmala","2016","11","17","00:00","0.7"
"Jokioinen Ilmala","2016","11","18","00:00","0.1"
"Jokioinen Ilmala","2016","11","19","00:00","1"
"Jokioinen Ilmala","2016","11","20","00:00","0.5"
"Jokioinen Ilmala","2016","11","21","00:00","0.1"
"Jokioinen Ilmala","2016","11","22","00:00","-0.1"
"Jokioinen Ilmala","2016","11","23","00:00","0.4"
"Jokioinen Ilmala","2016","11","24","00:00","0.4"
"Jokioinen Ilmala","2016","11","25","00:00","0.7"
"Jokioinen Ilmala","2016","11","26","00:00","16.8"
"Jokioinen Ilmala","2016","11","27","00:00","0.4"
"Jokioinen Ilmala","2016","11","28","00:00","22.1"
"Jokioinen Ilmala","2016","11","29","00:00","74.8"
"Jokioinen Ilmala","2016","11","30","00:00","31.6"
"Jokioinen Ilmala","2016","12","1","00:00","80.4"
