"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2017","10","1","00:00","0"
"Jokioinen Ilmala","2017","10","2","00:00","-0.1"
"Jokioinen Ilmala","2017","10","3","00:00","-0.3"
"Jokioinen Ilmala","2017","10","4","00:00","8.9"
"Jokioinen Ilmala","2017","10","5","00:00","1.8"
"Jokioinen Ilmala","2017","10","6","00:00","10.5"
"Jokioinen Ilmala","2017","10","7","00:00","1.9"
"Jokioinen Ilmala","2017","10","8","00:00","0.2"
"Jokioinen Ilmala","2017","10","9","00:00","0.1"
"Jokioinen Ilmala","2017","10","10","00:00","0.5"
"Jokioinen Ilmala","2017","10","11","00:00","10.5"
"Jokioinen Ilmala","2017","10","12","00:00","0.9"
"Jokioinen Ilmala","2017","10","13","00:00","13.3"
"Jokioinen Ilmala","2017","10","14","00:00","0.3"
"Jokioinen Ilmala","2017","10","15","00:00","99.8"
"Jokioinen Ilmala","2017","10","16","00:00","49"
"Jokioinen Ilmala","2017","10","17","00:00","1.5"
"Jokioinen Ilmala","2017","10","18","00:00","19.4"
"Jokioinen Ilmala","2017","10","19","00:00","76.9"
"Jokioinen Ilmala","2017","10","20","00:00","159"
"Jokioinen Ilmala","2017","10","21","00:00","156.7"
"Jokioinen Ilmala","2017","10","22","00:00","2.7"
"Jokioinen Ilmala","2017","10","23","00:00","154.9"
"Jokioinen Ilmala","2017","10","24","00:00","40"
"Jokioinen Ilmala","2017","10","25","00:00","28.7"
"Jokioinen Ilmala","2017","10","26","00:00","0.2"
"Jokioinen Ilmala","2017","10","27","00:00","2.3"
"Jokioinen Ilmala","2017","10","28","00:00","0.7"
"Jokioinen Ilmala","2017","10","29","00:00","0.9"
"Jokioinen Ilmala","2017","10","30","00:00","0.9"
"Jokioinen Ilmala","2017","10","31","00:00","203"
"Jokioinen Ilmala","2017","11","1","00:00","0.8"
"Jokioinen Ilmala","2017","11","2","00:00","146.6"
"Jokioinen Ilmala","2017","11","3","00:00","82.9"
"Jokioinen Ilmala","2017","11","4","00:00","10.2"
"Jokioinen Ilmala","2017","11","5","00:00","1.1"
"Jokioinen Ilmala","2017","11","6","00:00","0.4"
"Jokioinen Ilmala","2017","11","7","00:00","92.6"
"Jokioinen Ilmala","2017","11","8","00:00","43.5"
"Jokioinen Ilmala","2017","11","9","00:00","0.3"
"Jokioinen Ilmala","2017","11","10","00:00","8.1"
"Jokioinen Ilmala","2017","11","11","00:00","0.2"
"Jokioinen Ilmala","2017","11","12","00:00","1.4"
"Jokioinen Ilmala","2017","11","13","00:00","1.8"
"Jokioinen Ilmala","2017","11","14","00:00","22.5"
"Jokioinen Ilmala","2017","11","15","00:00","3.4"
"Jokioinen Ilmala","2017","11","16","00:00","21.4"
"Jokioinen Ilmala","2017","11","17","00:00","9.8"
"Jokioinen Ilmala","2017","11","18","00:00","2.3"
"Jokioinen Ilmala","2017","11","19","00:00","1.3"
"Jokioinen Ilmala","2017","11","20","00:00","1.1"
"Jokioinen Ilmala","2017","11","21","00:00","1"
"Jokioinen Ilmala","2017","11","22","00:00","0.2"
"Jokioinen Ilmala","2017","11","23","00:00","0"
"Jokioinen Ilmala","2017","11","24","00:00","5.9"
"Jokioinen Ilmala","2017","11","25","00:00","29.7"
"Jokioinen Ilmala","2017","11","26","00:00","1.2"
"Jokioinen Ilmala","2017","11","27","00:00","0.4"
"Jokioinen Ilmala","2017","11","28","00:00","0.2"
"Jokioinen Ilmala","2017","11","29","00:00","0.5"
"Jokioinen Ilmala","2017","11","30","00:00","0.2"
"Jokioinen Ilmala","2017","12","1","00:00","0.6"
