"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2018","10","1","00:00","38.4"
"Jokioinen Ilmala","2018","10","2","00:00","133.5"
"Jokioinen Ilmala","2018","10","3","00:00","4.6"
"Jokioinen Ilmala","2018","10","4","00:00","41.7"
"Jokioinen Ilmala","2018","10","5","00:00","52.8"
"Jokioinen Ilmala","2018","10","6","00:00","101.7"
"Jokioinen Ilmala","2018","10","7","00:00","102.5"
"Jokioinen Ilmala","2018","10","8","00:00","10.8"
"Jokioinen Ilmala","2018","10","9","00:00","0.1"
"Jokioinen Ilmala","2018","10","10","00:00","175.9"
"Jokioinen Ilmala","2018","10","11","00:00","13"
"Jokioinen Ilmala","2018","10","12","00:00","93.3"
"Jokioinen Ilmala","2018","10","13","00:00","3.5"
"Jokioinen Ilmala","2018","10","14","00:00","212"
"Jokioinen Ilmala","2018","10","15","00:00","196.3"
"Jokioinen Ilmala","2018","10","16","00:00","1.3"
"Jokioinen Ilmala","2018","10","17","00:00","28.2"
"Jokioinen Ilmala","2018","10","18","00:00","17.5"
"Jokioinen Ilmala","2018","10","19","00:00","230.4"
"Jokioinen Ilmala","2018","10","20","00:00","1.1"
"Jokioinen Ilmala","2018","10","21","00:00","66.1"
"Jokioinen Ilmala","2018","10","22","00:00","51.7"
"Jokioinen Ilmala","2018","10","23","00:00","0.2"
"Jokioinen Ilmala","2018","10","24","00:00","32.1"
"Jokioinen Ilmala","2018","10","25","00:00","44"
"Jokioinen Ilmala","2018","10","26","00:00","1.4"
"Jokioinen Ilmala","2018","10","27","00:00","34.8"
"Jokioinen Ilmala","2018","10","28","00:00","111.1"
"Jokioinen Ilmala","2018","10","29","00:00","181.5"
"Jokioinen Ilmala","2018","10","30","00:00","0"
"Jokioinen Ilmala","2018","10","31","00:00","-0.1"
"Jokioinen Ilmala","2018","11","1","00:00","57.1"
"Jokioinen Ilmala","2018","11","2","00:00","0.2"
"Jokioinen Ilmala","2018","11","3","00:00","2.1"
"Jokioinen Ilmala","2018","11","4","00:00","35.9"
"Jokioinen Ilmala","2018","11","5","00:00","0.2"
"Jokioinen Ilmala","2018","11","6","00:00","0.3"
"Jokioinen Ilmala","2018","11","7","00:00","0.3"
"Jokioinen Ilmala","2018","11","8","00:00","0.1"
"Jokioinen Ilmala","2018","11","9","00:00","0.9"
"Jokioinen Ilmala","2018","11","10","00:00","-0.1"
"Jokioinen Ilmala","2018","11","11","00:00","-0.2"
"Jokioinen Ilmala","2018","11","12","00:00","-0.2"
"Jokioinen Ilmala","2018","11","13","00:00","1"
"Jokioinen Ilmala","2018","11","14","00:00","1.4"
"Jokioinen Ilmala","2018","11","15","00:00","10.4"
"Jokioinen Ilmala","2018","11","16","00:00","14.9"
"Jokioinen Ilmala","2018","11","17","00:00","86.9"
"Jokioinen Ilmala","2018","11","18","00:00","17.5"
"Jokioinen Ilmala","2018","11","19","00:00","1"
"Jokioinen Ilmala","2018","11","20","00:00","1.7"
"Jokioinen Ilmala","2018","11","21","00:00","78.4"
"Jokioinen Ilmala","2018","11","22","00:00","1.1"
"Jokioinen Ilmala","2018","11","23","00:00","1.6"
"Jokioinen Ilmala","2018","11","24","00:00","112.4"
"Jokioinen Ilmala","2018","11","25","00:00","122"
"Jokioinen Ilmala","2018","11","26","00:00","4.5"
"Jokioinen Ilmala","2018","11","27","00:00","64.7"
"Jokioinen Ilmala","2018","11","28","00:00","59.5"
"Jokioinen Ilmala","2018","11","29","00:00","0.7"
"Jokioinen Ilmala","2018","11","30","00:00","0.4"
"Jokioinen Ilmala","2018","12","1","00:00","19.9"
