"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2020","10","1","00:00","98.6"
"Jokioinen Ilmala","2020","10","2","00:00","85"
"Jokioinen Ilmala","2020","10","3","00:00","118.3"
"Jokioinen Ilmala","2020","10","4","00:00","8.4"
"Jokioinen Ilmala","2020","10","5","00:00","127.4"
"Jokioinen Ilmala","2020","10","6","00:00","0.1"
"Jokioinen Ilmala","2020","10","7","00:00","9.7"
"Jokioinen Ilmala","2020","10","8","00:00","20.7"
"Jokioinen Ilmala","2020","10","9","00:00","0.3"
"Jokioinen Ilmala","2020","10","10","00:00","61.5"
"Jokioinen Ilmala","2020","10","11","00:00","124.6"
"Jokioinen Ilmala","2020","10","12","00:00","26.6"
"Jokioinen Ilmala","2020","10","13","00:00","8.9"
"Jokioinen Ilmala","2020","10","14","00:00","0.5"
"Jokioinen Ilmala","2020","10","15","00:00","98.7"
"Jokioinen Ilmala","2020","10","16","00:00","62.9"
"Jokioinen Ilmala","2020","10","17","00:00","1.9"
"Jokioinen Ilmala","2020","10","18","00:00","169.8"
"Jokioinen Ilmala","2020","10","19","00:00","5.7"
"Jokioinen Ilmala","2020","10","20","00:00","7.4"
"Jokioinen Ilmala","2020","10","21","00:00","0.2"
"Jokioinen Ilmala","2020","10","22","00:00","0.1"
"Jokioinen Ilmala","2020","10","23","00:00","1"
"Jokioinen Ilmala","2020","10","24","00:00","62.1"
"Jokioinen Ilmala","2020","10","25","00:00","30.3"
"Jokioinen Ilmala","2020","10","26","00:00","0"
"Jokioinen Ilmala","2020","10","27","00:00","-0.1"
"Jokioinen Ilmala","2020","10","28","00:00","54.6"
"Jokioinen Ilmala","2020","10","29","00:00","30"
"Jokioinen Ilmala","2020","10","30","00:00","0.5"
"Jokioinen Ilmala","2020","10","31","00:00","0.8"
"Jokioinen Ilmala","2020","11","1","00:00","-0.1"
"Jokioinen Ilmala","2020","11","2","00:00","-0.1"
"Jokioinen Ilmala","2020","11","3","00:00","-0.1"
"Jokioinen Ilmala","2020","11","4","00:00","26.9"
"Jokioinen Ilmala","2020","11","5","00:00","7.4"
"Jokioinen Ilmala","2020","11","6","00:00","121.7"
"Jokioinen Ilmala","2020","11","7","00:00","122.1"
"Jokioinen Ilmala","2020","11","8","00:00","153.4"
"Jokioinen Ilmala","2020","11","9","00:00","74.9"
"Jokioinen Ilmala","2020","11","10","00:00","10"
"Jokioinen Ilmala","2020","11","11","00:00","0.8"
"Jokioinen Ilmala","2020","11","12","00:00","0.2"
"Jokioinen Ilmala","2020","11","13","00:00","0.1"
"Jokioinen Ilmala","2020","11","14","00:00","2.8"
"Jokioinen Ilmala","2020","11","15","00:00","1.8"
"Jokioinen Ilmala","2020","11","16","00:00","0"
"Jokioinen Ilmala","2020","11","17","00:00","0"
"Jokioinen Ilmala","2020","11","18","00:00","53.1"
"Jokioinen Ilmala","2020","11","19","00:00","0"
"Jokioinen Ilmala","2020","11","20","00:00","3.7"
"Jokioinen Ilmala","2020","11","21","00:00","2.4"
"Jokioinen Ilmala","2020","11","22","00:00","1.6"
"Jokioinen Ilmala","2020","11","23","00:00","20.6"
"Jokioinen Ilmala","2020","11","24","00:00","7.7"
"Jokioinen Ilmala","2020","11","25","00:00","0.4"
"Jokioinen Ilmala","2020","11","26","00:00","16.1"
"Jokioinen Ilmala","2020","11","27","00:00","1.9"
"Jokioinen Ilmala","2020","11","28","00:00","0.8"
"Jokioinen Ilmala","2020","11","29","00:00","0.1"
"Jokioinen Ilmala","2020","11","30","00:00","0.9"
"Jokioinen Ilmala","2020","12","1","00:00","1.3"
