"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","10","1","00:00","29.2"
"Jokioinen Ilmala","2021","10","2","00:00","10.4"
"Jokioinen Ilmala","2021","10","3","00:00","105.5"
"Jokioinen Ilmala","2021","10","4","00:00","5"
"Jokioinen Ilmala","2021","10","5","00:00","-0.3"
"Jokioinen Ilmala","2021","10","6","00:00","66.6"
"Jokioinen Ilmala","2021","10","7","00:00","0.9"
"Jokioinen Ilmala","2021","10","8","00:00","0.1"
"Jokioinen Ilmala","2021","10","9","00:00","0.3"
"Jokioinen Ilmala","2021","10","10","00:00","-0.1"
"Jokioinen Ilmala","2021","10","11","00:00","3.5"
"Jokioinen Ilmala","2021","10","12","00:00","10.4"
"Jokioinen Ilmala","2021","10","13","00:00","13"
"Jokioinen Ilmala","2021","10","14","00:00","134.7"
"Jokioinen Ilmala","2021","10","15","00:00","0.2"
"Jokioinen Ilmala","2021","10","16","00:00","119.8"
"Jokioinen Ilmala","2021","10","17","00:00","189"
"Jokioinen Ilmala","2021","10","18","00:00","69.9"
"Jokioinen Ilmala","2021","10","19","00:00","165.4"
"Jokioinen Ilmala","2021","10","20","00:00","0.4"
"Jokioinen Ilmala","2021","10","21","00:00","18.3"
"Jokioinen Ilmala","2021","10","22","00:00","0"
"Jokioinen Ilmala","2021","10","23","00:00","8.7"
"Jokioinen Ilmala","2021","10","24","00:00","1.6"
"Jokioinen Ilmala","2021","10","25","00:00","4.9"
"Jokioinen Ilmala","2021","10","26","00:00","0.4"
"Jokioinen Ilmala","2021","10","27","00:00","0.5"
"Jokioinen Ilmala","2021","10","28","00:00","10.4"
"Jokioinen Ilmala","2021","10","29","00:00","10.1"
"Jokioinen Ilmala","2021","10","30","00:00","0.5"
"Jokioinen Ilmala","2021","10","31","00:00","0.4"
"Jokioinen Ilmala","2021","11","1","00:00","22.7"
"Jokioinen Ilmala","2021","11","2","00:00","43.6"
"Jokioinen Ilmala","2021","11","3","00:00","0"
"Jokioinen Ilmala","2021","11","4","00:00","0.6"
"Jokioinen Ilmala","2021","11","5","00:00","0.1"
"Jokioinen Ilmala","2021","11","6","00:00","26.2"
"Jokioinen Ilmala","2021","11","7","00:00","0.8"
"Jokioinen Ilmala","2021","11","8","00:00","32.1"
"Jokioinen Ilmala","2021","11","9","00:00","10"
"Jokioinen Ilmala","2021","11","10","00:00","0.4"
"Jokioinen Ilmala","2021","11","11","00:00","57.6"
"Jokioinen Ilmala","2021","11","12","00:00","7.6"
"Jokioinen Ilmala","2021","11","13","00:00","2.8"
"Jokioinen Ilmala","2021","11","14","00:00","8.7"
"Jokioinen Ilmala","2021","11","15","00:00","13.4"
"Jokioinen Ilmala","2021","11","16","00:00","0.5"
"Jokioinen Ilmala","2021","11","17","00:00","0.3"
"Jokioinen Ilmala","2021","11","18","00:00","2.2"
"Jokioinen Ilmala","2021","11","19","00:00","0.9"
"Jokioinen Ilmala","2021","11","20","00:00","8.9"
"Jokioinen Ilmala","2021","11","21","00:00","3.1"
"Jokioinen Ilmala","2021","11","22","00:00","112.5"
"Jokioinen Ilmala","2021","11","23","00:00","1.4"
"Jokioinen Ilmala","2021","11","24","00:00","3.9"
"Jokioinen Ilmala","2021","11","25","00:00","1"
"Jokioinen Ilmala","2021","11","26","00:00","7.1"
"Jokioinen Ilmala","2021","11","27","00:00","32.8"
"Jokioinen Ilmala","2021","11","28","00:00","0.9"
"Jokioinen Ilmala","2021","11","29","00:00","6.1"
"Jokioinen Ilmala","2021","11","30","00:00","8.5"
"Jokioinen Ilmala","2021","12","1","00:00","87.5"
