"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","11","1","00:00","131.7"
"Jokioinen Ilmala","2004","11","2","00:00","145.5"
"Jokioinen Ilmala","2004","11","3","00:00","0.9"
"Jokioinen Ilmala","2004","11","4","00:00","0.4"
"Jokioinen Ilmala","2004","11","5","00:00","5.8"
"Jokioinen Ilmala","2004","11","6","00:00","0.6"
"Jokioinen Ilmala","2004","11","7","00:00","0.8"
"Jokioinen Ilmala","2004","11","8","00:00","45.1"
"Jokioinen Ilmala","2004","11","9","00:00","40.5"
"Jokioinen Ilmala","2004","11","10","00:00","0.6"
"Jokioinen Ilmala","2004","11","11","00:00","0.6"
"Jokioinen Ilmala","2004","11","12","00:00","0.3"
"Jokioinen Ilmala","2004","11","13","00:00","64.4"
"Jokioinen Ilmala","2004","11","14","00:00","52.5"
"Jokioinen Ilmala","2004","11","15","00:00","0.8"
"Jokioinen Ilmala","2004","11","16","00:00","44.5"
"Jokioinen Ilmala","2004","11","17","00:00","51.8"
"Jokioinen Ilmala","2004","11","18","00:00","0.9"
"Jokioinen Ilmala","2004","11","19","00:00","2"
"Jokioinen Ilmala","2004","11","20","00:00","64.8"
"Jokioinen Ilmala","2004","11","21","00:00","1.1"
"Jokioinen Ilmala","2004","11","22","00:00","3.1"
"Jokioinen Ilmala","2004","11","23","00:00","0.3"
"Jokioinen Ilmala","2004","11","24","00:00","1.1"
"Jokioinen Ilmala","2004","11","25","00:00","76.7"
"Jokioinen Ilmala","2004","11","26","00:00","57.4"
"Jokioinen Ilmala","2004","11","27","00:00","115.4"
"Jokioinen Ilmala","2004","11","28","00:00","27.4"
"Jokioinen Ilmala","2004","11","29","00:00","1.1"
"Jokioinen Ilmala","2004","11","30","00:00","1.5"
"Jokioinen Ilmala","2004","12","1","00:00","1.1"
"Jokioinen Ilmala","2004","12","2","00:00","0.6"
"Jokioinen Ilmala","2004","12","3","00:00","72.6"
"Jokioinen Ilmala","2004","12","4","00:00","1.8"
"Jokioinen Ilmala","2004","12","5","00:00","0.9"
"Jokioinen Ilmala","2004","12","6","00:00","1"
"Jokioinen Ilmala","2004","12","7","00:00","1.1"
"Jokioinen Ilmala","2004","12","8","00:00","0.8"
"Jokioinen Ilmala","2004","12","9","00:00","17"
"Jokioinen Ilmala","2004","12","10","00:00","1.4"
"Jokioinen Ilmala","2004","12","11","00:00","1"
"Jokioinen Ilmala","2004","12","12","00:00","80.3"
"Jokioinen Ilmala","2004","12","13","00:00","2"
"Jokioinen Ilmala","2004","12","14","00:00","0.5"
"Jokioinen Ilmala","2004","12","15","00:00","0.3"
"Jokioinen Ilmala","2004","12","16","00:00","0.7"
"Jokioinen Ilmala","2004","12","17","00:00","0.3"
"Jokioinen Ilmala","2004","12","18","00:00","9.1"
"Jokioinen Ilmala","2004","12","19","00:00","1"
"Jokioinen Ilmala","2004","12","20","00:00","2"
"Jokioinen Ilmala","2004","12","21","00:00","12.2"
"Jokioinen Ilmala","2004","12","22","00:00","0.6"
"Jokioinen Ilmala","2004","12","23","00:00","13.1"
"Jokioinen Ilmala","2004","12","24","00:00","86.5"
"Jokioinen Ilmala","2004","12","25","00:00","35.8"
"Jokioinen Ilmala","2004","12","26","00:00","25.5"
"Jokioinen Ilmala","2004","12","27","00:00","44.1"
"Jokioinen Ilmala","2004","12","28","00:00","0.8"
"Jokioinen Ilmala","2004","12","29","00:00","1.1"
"Jokioinen Ilmala","2004","12","30","00:00","0.6"
"Jokioinen Ilmala","2004","12","31","00:00","77.7"
"Jokioinen Ilmala","2005","1","1","00:00","44.8"
