"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2013","11","1","00:00","-"
"-","2013","11","2","00:00","-"
"Jokioinen Ilmala","2013","11","3","00:00","-"
"-","2013","11","4","00:00","-"
"Jokioinen Ilmala","2013","11","5","00:00","0.2"
"Jokioinen Ilmala","2013","11","6","00:00","101.5"
"Jokioinen Ilmala","2013","11","7","00:00","2.6"
"Jokioinen Ilmala","2013","11","8","00:00","0.6"
"Jokioinen Ilmala","2013","11","9","00:00","5"
"Jokioinen Ilmala","2013","11","10","00:00","-"
"-","2013","11","11","00:00","-"
"Jokioinen Ilmala","2013","11","12","00:00","0.6"
"Jokioinen Ilmala","2013","11","13","00:00","0.3"
"Jokioinen Ilmala","2013","11","14","00:00","-"
"-","2013","11","15","00:00","-"
"Jokioinen Ilmala","2013","11","16","00:00","103.4"
"Jokioinen Ilmala","2013","11","17","00:00","99.5"
"Jokioinen Ilmala","2013","11","18","00:00","-"
"-","2013","11","19","00:00","-"
"-","2013","11","20","00:00","-"
"Jokioinen Ilmala","2013","11","21","00:00","0.3"
"Jokioinen Ilmala","2013","11","22","00:00","0.6"
"Jokioinen Ilmala","2013","11","23","00:00","78.8"
"Jokioinen Ilmala","2013","11","24","00:00","94.1"
"Jokioinen Ilmala","2013","11","25","00:00","104.1"
"Jokioinen Ilmala","2013","11","26","00:00","66.2"
"Jokioinen Ilmala","2013","11","27","00:00","1.6"
"Jokioinen Ilmala","2013","11","28","00:00","-"
"-","2013","11","29","00:00","-"
"Jokioinen Ilmala","2013","11","30","00:00","2.3"
"Jokioinen Ilmala","2013","12","1","00:00","-"
"-","2013","12","2","00:00","-"
"Jokioinen Ilmala","2013","12","3","00:00","-"
"-","2013","12","4","00:00","-"
"Jokioinen Ilmala","2013","12","5","00:00","20.9"
"Jokioinen Ilmala","2013","12","6","00:00","0.3"
"Jokioinen Ilmala","2013","12","7","00:00","0.8"
"Jokioinen Ilmala","2013","12","8","00:00","1"
"Jokioinen Ilmala","2013","12","9","00:00","1.3"
"Jokioinen Ilmala","2013","12","10","00:00","1.5"
"Jokioinen Ilmala","2013","12","11","00:00","0.8"
"Jokioinen Ilmala","2013","12","12","00:00","0.7"
"Jokioinen Ilmala","2013","12","13","00:00","0.2"
"Jokioinen Ilmala","2013","12","14","00:00","1.2"
"Jokioinen Ilmala","2013","12","15","00:00","0.2"
"Jokioinen Ilmala","2013","12","16","00:00","-"
"-","2013","12","17","00:00","-"
"Jokioinen Ilmala","2013","12","18","00:00","0.7"
"Jokioinen Ilmala","2013","12","19","00:00","0.3"
"Jokioinen Ilmala","2013","12","20","00:00","-"
"-","2013","12","21","00:00","-"
"Jokioinen Ilmala","2013","12","22","00:00","-"
"-","2013","12","23","00:00","-"
"Jokioinen Ilmala","2013","12","24","00:00","0.4"
"Jokioinen Ilmala","2013","12","25","00:00","0.2"
"Jokioinen Ilmala","2013","12","26","00:00","-"
"-","2013","12","27","00:00","-"
"Jokioinen Ilmala","2013","12","28","00:00","0.2"
"Jokioinen Ilmala","2013","12","29","00:00","0.3"
"Jokioinen Ilmala","2013","12","30","00:00","0.3"
"Jokioinen Ilmala","2013","12","31","00:00","0.5"
"Jokioinen Ilmala","2014","1","1","00:00","0.2"
