"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2014","11","1","00:00","70.8"
"Jokioinen Ilmala","2014","11","2","00:00","0.3"
"Jokioinen Ilmala","2014","11","3","00:00","0.2"
"Jokioinen Ilmala","2014","11","4","00:00","0.2"
"Jokioinen Ilmala","2014","11","5","00:00","1.6"
"Jokioinen Ilmala","2014","11","6","00:00","0.2"
"Jokioinen Ilmala","2014","11","7","00:00","0.7"
"Jokioinen Ilmala","2014","11","8","00:00","0.9"
"Jokioinen Ilmala","2014","11","9","00:00","0.7"
"Jokioinen Ilmala","2014","11","10","00:00","0.1"
"Jokioinen Ilmala","2014","11","11","00:00","0.3"
"Jokioinen Ilmala","2014","11","12","00:00","-"
"-","2014","11","13","00:00","-"
"Jokioinen Ilmala","2014","11","14","00:00","-"
"-","2014","11","15","00:00","-"
"-","2014","11","16","00:00","-"
"-","2014","11","17","00:00","-"
"Jokioinen Ilmala","2014","11","18","00:00","0.2"
"Jokioinen Ilmala","2014","11","19","00:00","-"
"-","2014","11","20","00:00","-"
"Jokioinen Ilmala","2014","11","21","00:00","0.4"
"Jokioinen Ilmala","2014","11","22","00:00","1.5"
"Jokioinen Ilmala","2014","11","23","00:00","0.8"
"Jokioinen Ilmala","2014","11","24","00:00","0.2"
"Jokioinen Ilmala","2014","11","25","00:00","0.2"
"Jokioinen Ilmala","2014","11","26","00:00","0.7"
"Jokioinen Ilmala","2014","11","27","00:00","-"
"-","2014","11","28","00:00","-"
"Jokioinen Ilmala","2014","11","29","00:00","1.3"
"Jokioinen Ilmala","2014","11","30","00:00","0.5"
"Jokioinen Ilmala","2014","12","1","00:00","10.6"
"Jokioinen Ilmala","2014","12","2","00:00","-"
"-","2014","12","3","00:00","-"
"Jokioinen Ilmala","2014","12","4","00:00","-"
"-","2014","12","5","00:00","-"
"Jokioinen Ilmala","2014","12","6","00:00","0.6"
"Jokioinen Ilmala","2014","12","7","00:00","-"
"-","2014","12","8","00:00","-"
"Jokioinen Ilmala","2014","12","9","00:00","0.6"
"Jokioinen Ilmala","2014","12","10","00:00","0.2"
"Jokioinen Ilmala","2014","12","11","00:00","0.6"
"Jokioinen Ilmala","2014","12","12","00:00","-"
"-","2014","12","13","00:00","-"
"Jokioinen Ilmala","2014","12","14","00:00","1"
"Jokioinen Ilmala","2014","12","15","00:00","-"
"-","2014","12","16","00:00","-"
"-","2014","12","17","00:00","-"
"Jokioinen Ilmala","2014","12","18","00:00","1.1"
"Jokioinen Ilmala","2014","12","19","00:00","0.4"
"Jokioinen Ilmala","2014","12","20","00:00","2.1"
"Jokioinen Ilmala","2014","12","21","00:00","1.3"
"Jokioinen Ilmala","2014","12","22","00:00","-"
"-","2014","12","23","00:00","-"
"Jokioinen Ilmala","2014","12","24","00:00","0.3"
"Jokioinen Ilmala","2014","12","25","00:00","24.1"
"Jokioinen Ilmala","2014","12","26","00:00","15.8"
"Jokioinen Ilmala","2014","12","27","00:00","-"
"-","2014","12","28","00:00","-"
"Jokioinen Ilmala","2014","12","29","00:00","32.1"
"Jokioinen Ilmala","2014","12","30","00:00","0.9"
"Jokioinen Ilmala","2014","12","31","00:00","8.8"
"Jokioinen Ilmala","2015","1","1","00:00","0.6"
