"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2015","12","1","00:00","1"
"Jokioinen Ilmala","2015","12","2","00:00","102.5"
"Jokioinen Ilmala","2015","12","3","00:00","1.4"
"Jokioinen Ilmala","2015","12","4","00:00","0.4"
"Jokioinen Ilmala","2015","12","5","00:00","3.9"
"Jokioinen Ilmala","2015","12","6","00:00","0.2"
"Jokioinen Ilmala","2015","12","7","00:00","14.2"
"Jokioinen Ilmala","2015","12","8","00:00","35.9"
"Jokioinen Ilmala","2015","12","9","00:00","0"
"Jokioinen Ilmala","2015","12","10","00:00","0.1"
"Jokioinen Ilmala","2015","12","11","00:00","4.1"
"Jokioinen Ilmala","2015","12","12","00:00","2.8"
"Jokioinen Ilmala","2015","12","13","00:00","0.9"
"Jokioinen Ilmala","2015","12","14","00:00","54.6"
"Jokioinen Ilmala","2015","12","15","00:00","1.1"
"Jokioinen Ilmala","2015","12","16","00:00","8.1"
"Jokioinen Ilmala","2015","12","17","00:00","0.4"
"Jokioinen Ilmala","2015","12","18","00:00","0.4"
"Jokioinen Ilmala","2015","12","19","00:00","63.7"
"Jokioinen Ilmala","2015","12","20","00:00","0.4"
"Jokioinen Ilmala","2015","12","21","00:00","0"
"Jokioinen Ilmala","2015","12","22","00:00","0.2"
"Jokioinen Ilmala","2015","12","23","00:00","16.4"
"Jokioinen Ilmala","2015","12","24","00:00","49.2"
"Jokioinen Ilmala","2015","12","25","00:00","0.4"
"Jokioinen Ilmala","2015","12","26","00:00","34.5"
"Jokioinen Ilmala","2015","12","27","00:00","74.3"
"Jokioinen Ilmala","2015","12","28","00:00","76.6"
"Jokioinen Ilmala","2015","12","29","00:00","0.8"
"Jokioinen Ilmala","2015","12","30","00:00","1.1"
"Jokioinen Ilmala","2015","12","31","00:00","-0.1"
"Jokioinen Ilmala","2016","1","1","00:00","-0.1"
"Jokioinen Ilmala","2016","1","2","00:00","41.4"
"Jokioinen Ilmala","2016","1","3","00:00","1"
"Jokioinen Ilmala","2016","1","4","00:00","63.4"
"Jokioinen Ilmala","2016","1","5","00:00","54"
"Jokioinen Ilmala","2016","1","6","00:00","80.4"
"Jokioinen Ilmala","2016","1","7","00:00","77.3"
"Jokioinen Ilmala","2016","1","8","00:00","52.4"
"Jokioinen Ilmala","2016","1","9","00:00","38.9"
"Jokioinen Ilmala","2016","1","10","00:00","31.4"
"Jokioinen Ilmala","2016","1","11","00:00","0"
"Jokioinen Ilmala","2016","1","12","00:00","0.1"
"Jokioinen Ilmala","2016","1","13","00:00","1.7"
"Jokioinen Ilmala","2016","1","14","00:00","28.8"
"Jokioinen Ilmala","2016","1","15","00:00","1.8"
"Jokioinen Ilmala","2016","1","16","00:00","66.9"
"Jokioinen Ilmala","2016","1","17","00:00","36.5"
"Jokioinen Ilmala","2016","1","18","00:00","0.8"
"Jokioinen Ilmala","2016","1","19","00:00","1.2"
"Jokioinen Ilmala","2016","1","20","00:00","56.8"
"Jokioinen Ilmala","2016","1","21","00:00","122.2"
"Jokioinen Ilmala","2016","1","22","00:00","19.2"
"Jokioinen Ilmala","2016","1","23","00:00","21.1"
"Jokioinen Ilmala","2016","1","24","00:00","1"
"Jokioinen Ilmala","2016","1","25","00:00","1.5"
"Jokioinen Ilmala","2016","1","26","00:00","0.9"
"Jokioinen Ilmala","2016","1","27","00:00","0.8"
"Jokioinen Ilmala","2016","1","28","00:00","0.6"
"Jokioinen Ilmala","2016","1","29","00:00","0.8"
"Jokioinen Ilmala","2016","1","30","00:00","0.9"
"Jokioinen Ilmala","2016","1","31","00:00","0.7"
"Jokioinen Ilmala","2016","2","1","00:00","0.8"
