"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","12","1","00:00","80.4"
"Jokioinen Ilmala","2016","12","2","00:00","0.7"
"Jokioinen Ilmala","2016","12","3","00:00","4.2"
"Jokioinen Ilmala","2016","12","4","00:00","54.5"
"Jokioinen Ilmala","2016","12","5","00:00","34.6"
"Jokioinen Ilmala","2016","12","6","00:00","92.3"
"Jokioinen Ilmala","2016","12","7","00:00","1.2"
"Jokioinen Ilmala","2016","12","8","00:00","1.7"
"Jokioinen Ilmala","2016","12","9","00:00","0.6"
"Jokioinen Ilmala","2016","12","10","00:00","31.7"
"Jokioinen Ilmala","2016","12","11","00:00","2.2"
"Jokioinen Ilmala","2016","12","12","00:00","39.2"
"Jokioinen Ilmala","2016","12","13","00:00","1.5"
"Jokioinen Ilmala","2016","12","14","00:00","1"
"Jokioinen Ilmala","2016","12","15","00:00","1"
"Jokioinen Ilmala","2016","12","16","00:00","1.6"
"Jokioinen Ilmala","2016","12","17","00:00","1.7"
"Jokioinen Ilmala","2016","12","18","00:00","1.2"
"Jokioinen Ilmala","2016","12","19","00:00","1.1"
"Jokioinen Ilmala","2016","12","20","00:00","0.8"
"Jokioinen Ilmala","2016","12","21","00:00","0.4"
"Jokioinen Ilmala","2016","12","22","00:00","0.4"
"Jokioinen Ilmala","2016","12","23","00:00","0.7"
"Jokioinen Ilmala","2016","12","24","00:00","0.5"
"Jokioinen Ilmala","2016","12","25","00:00","1.1"
"Jokioinen Ilmala","2016","12","26","00:00","3.4"
"Jokioinen Ilmala","2016","12","27","00:00","23.7"
"Jokioinen Ilmala","2016","12","28","00:00","75.4"
"Jokioinen Ilmala","2016","12","29","00:00","1"
"Jokioinen Ilmala","2016","12","30","00:00","0.8"
"Jokioinen Ilmala","2016","12","31","00:00","0.3"
"Jokioinen Ilmala","2017","1","1","00:00","30.9"
"Jokioinen Ilmala","2017","1","2","00:00","1.1"
"Jokioinen Ilmala","2017","1","3","00:00","4.5"
"Jokioinen Ilmala","2017","1","4","00:00","79"
"Jokioinen Ilmala","2017","1","5","00:00","97"
"Jokioinen Ilmala","2017","1","6","00:00","78.7"
"Jokioinen Ilmala","2017","1","7","00:00","0.8"
"Jokioinen Ilmala","2017","1","8","00:00","1.2"
"Jokioinen Ilmala","2017","1","9","00:00","10.3"
"Jokioinen Ilmala","2017","1","10","00:00","0.5"
"Jokioinen Ilmala","2017","1","11","00:00","0"
"Jokioinen Ilmala","2017","1","12","00:00","-0.3"
"Jokioinen Ilmala","2017","1","13","00:00","0.6"
"Jokioinen Ilmala","2017","1","14","00:00","10.2"
"Jokioinen Ilmala","2017","1","15","00:00","1.5"
"Jokioinen Ilmala","2017","1","16","00:00","2.2"
"Jokioinen Ilmala","2017","1","17","00:00","1.4"
"Jokioinen Ilmala","2017","1","18","00:00","0.9"
"Jokioinen Ilmala","2017","1","19","00:00","41.3"
"Jokioinen Ilmala","2017","1","20","00:00","1.4"
"Jokioinen Ilmala","2017","1","21","00:00","64.6"
"Jokioinen Ilmala","2017","1","22","00:00","51.2"
"Jokioinen Ilmala","2017","1","23","00:00","1.4"
"Jokioinen Ilmala","2017","1","24","00:00","53.3"
"Jokioinen Ilmala","2017","1","25","00:00","1"
"Jokioinen Ilmala","2017","1","26","00:00","1"
"Jokioinen Ilmala","2017","1","27","00:00","133.8"
"Jokioinen Ilmala","2017","1","28","00:00","0.8"
"Jokioinen Ilmala","2017","1","29","00:00","0.3"
"Jokioinen Ilmala","2017","1","30","00:00","1.5"
"Jokioinen Ilmala","2017","1","31","00:00","1.5"
"Jokioinen Ilmala","2017","2","1","00:00","1.2"
