"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2018","12","1","00:00","19.9"
"Jokioinen Ilmala","2018","12","2","00:00","0.5"
"Jokioinen Ilmala","2018","12","3","00:00","0"
"Jokioinen Ilmala","2018","12","4","00:00","0.3"
"Jokioinen Ilmala","2018","12","5","00:00","0.8"
"Jokioinen Ilmala","2018","12","6","00:00","50"
"Jokioinen Ilmala","2018","12","7","00:00","0.3"
"Jokioinen Ilmala","2018","12","8","00:00","0.3"
"Jokioinen Ilmala","2018","12","9","00:00","0.1"
"Jokioinen Ilmala","2018","12","10","00:00","0"
"Jokioinen Ilmala","2018","12","11","00:00","0.7"
"Jokioinen Ilmala","2018","12","12","00:00","0.8"
"Jokioinen Ilmala","2018","12","13","00:00","0.3"
"Jokioinen Ilmala","2018","12","14","00:00","0.8"
"Jokioinen Ilmala","2018","12","15","00:00","1.3"
"Jokioinen Ilmala","2018","12","16","00:00","0.4"
"Jokioinen Ilmala","2018","12","17","00:00","0.2"
"Jokioinen Ilmala","2018","12","18","00:00","0.9"
"Jokioinen Ilmala","2018","12","19","00:00","1.2"
"Jokioinen Ilmala","2018","12","20","00:00","11.4"
"Jokioinen Ilmala","2018","12","21","00:00","0"
"Jokioinen Ilmala","2018","12","22","00:00","0.4"
"Jokioinen Ilmala","2018","12","23","00:00","2.6"
"Jokioinen Ilmala","2018","12","24","00:00","8.9"
"Jokioinen Ilmala","2018","12","25","00:00","1.4"
"Jokioinen Ilmala","2018","12","26","00:00","42.6"
"Jokioinen Ilmala","2018","12","27","00:00","1.9"
"Jokioinen Ilmala","2018","12","28","00:00","1.8"
"Jokioinen Ilmala","2018","12","29","00:00","1.7"
"Jokioinen Ilmala","2018","12","30","00:00","1.8"
"Jokioinen Ilmala","2018","12","31","00:00","0.8"
"Jokioinen Ilmala","2019","1","1","00:00","0.7"
"Jokioinen Ilmala","2019","1","2","00:00","0.5"
"Jokioinen Ilmala","2019","1","3","00:00","89.1"
"Jokioinen Ilmala","2019","1","4","00:00","1.7"
"Jokioinen Ilmala","2019","1","5","00:00","1.6"
"Jokioinen Ilmala","2019","1","6","00:00","2.1"
"Jokioinen Ilmala","2019","1","7","00:00","2.5"
"Jokioinen Ilmala","2019","1","8","00:00","0.6"
"Jokioinen Ilmala","2019","1","9","00:00","2"
"Jokioinen Ilmala","2019","1","10","00:00","2.3"
"Jokioinen Ilmala","2019","1","11","00:00","78.5"
"Jokioinen Ilmala","2019","1","12","00:00","43.1"
"Jokioinen Ilmala","2019","1","13","00:00","1.8"
"Jokioinen Ilmala","2019","1","14","00:00","3.6"
"Jokioinen Ilmala","2019","1","15","00:00","1.5"
"Jokioinen Ilmala","2019","1","16","00:00","15"
"Jokioinen Ilmala","2019","1","17","00:00","0.7"
"Jokioinen Ilmala","2019","1","18","00:00","35.5"
"Jokioinen Ilmala","2019","1","19","00:00","5.9"
"Jokioinen Ilmala","2019","1","20","00:00","76.3"
"Jokioinen Ilmala","2019","1","21","00:00","124.4"
"Jokioinen Ilmala","2019","1","22","00:00","11.7"
"Jokioinen Ilmala","2019","1","23","00:00","2.4"
"Jokioinen Ilmala","2019","1","24","00:00","12.3"
"Jokioinen Ilmala","2019","1","25","00:00","1.3"
"Jokioinen Ilmala","2019","1","26","00:00","2"
"Jokioinen Ilmala","2019","1","27","00:00","162.6"
"Jokioinen Ilmala","2019","1","28","00:00","0.9"
"Jokioinen Ilmala","2019","1","29","00:00","0.4"
"Jokioinen Ilmala","2019","1","30","00:00","2.9"
"Jokioinen Ilmala","2019","1","31","00:00","1.8"
"Jokioinen Ilmala","2019","2","1","00:00","1.1"
