"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2019","12","1","00:00","54.6"
"Jokioinen Ilmala","2019","12","2","00:00","62.9"
"Jokioinen Ilmala","2019","12","3","00:00","57.3"
"Jokioinen Ilmala","2019","12","4","00:00","5.7"
"Jokioinen Ilmala","2019","12","5","00:00","0.5"
"Jokioinen Ilmala","2019","12","6","00:00","0.7"
"Jokioinen Ilmala","2019","12","7","00:00","0.5"
"Jokioinen Ilmala","2019","12","8","00:00","6.4"
"Jokioinen Ilmala","2019","12","9","00:00","0.3"
"Jokioinen Ilmala","2019","12","10","00:00","51.5"
"Jokioinen Ilmala","2019","12","11","00:00","0.7"
"Jokioinen Ilmala","2019","12","12","00:00","0.5"
"Jokioinen Ilmala","2019","12","13","00:00","0.5"
"Jokioinen Ilmala","2019","12","14","00:00","0.1"
"Jokioinen Ilmala","2019","12","15","00:00","0.3"
"Jokioinen Ilmala","2019","12","16","00:00","1.2"
"Jokioinen Ilmala","2019","12","17","00:00","1.2"
"Jokioinen Ilmala","2019","12","18","00:00","0.5"
"Jokioinen Ilmala","2019","12","19","00:00","2.9"
"Jokioinen Ilmala","2019","12","20","00:00","0.6"
"Jokioinen Ilmala","2019","12","21","00:00","0.5"
"Jokioinen Ilmala","2019","12","22","00:00","0.5"
"Jokioinen Ilmala","2019","12","23","00:00","1.2"
"Jokioinen Ilmala","2019","12","24","00:00","1.1"
"Jokioinen Ilmala","2019","12","25","00:00","1.3"
"Jokioinen Ilmala","2019","12","26","00:00","0.6"
"Jokioinen Ilmala","2019","12","27","00:00","14.9"
"Jokioinen Ilmala","2019","12","28","00:00","24"
"Jokioinen Ilmala","2019","12","29","00:00","1.1"
"Jokioinen Ilmala","2019","12","30","00:00","0.4"
"Jokioinen Ilmala","2019","12","31","00:00","0.3"
"Jokioinen Ilmala","2020","1","1","00:00","16.6"
"Jokioinen Ilmala","2020","1","2","00:00","3.5"
"Jokioinen Ilmala","2020","1","3","00:00","0.3"
"Jokioinen Ilmala","2020","1","4","00:00","10.2"
"Jokioinen Ilmala","2020","1","5","00:00","58.9"
"Jokioinen Ilmala","2020","1","6","00:00","1.2"
"Jokioinen Ilmala","2020","1","7","00:00","0.6"
"Jokioinen Ilmala","2020","1","8","00:00","0"
"Jokioinen Ilmala","2020","1","9","00:00","69.8"
"Jokioinen Ilmala","2020","1","10","00:00","74.1"
"Jokioinen Ilmala","2020","1","11","00:00","11.7"
"Jokioinen Ilmala","2020","1","12","00:00","0.9"
"Jokioinen Ilmala","2020","1","13","00:00","1.3"
"Jokioinen Ilmala","2020","1","14","00:00","0.7"
"Jokioinen Ilmala","2020","1","15","00:00","0.4"
"Jokioinen Ilmala","2020","1","16","00:00","0.6"
"Jokioinen Ilmala","2020","1","17","00:00","-"
"-","2020","1","18","00:00","-"
"-","2020","1","19","00:00","-"
"-","2020","1","20","00:00","-"
"Jokioinen Ilmala","2020","1","21","00:00","78.1"
"Jokioinen Ilmala","2020","1","22","00:00","85.3"
"Jokioinen Ilmala","2020","1","23","00:00","5.3"
"Jokioinen Ilmala","2020","1","24","00:00","28.3"
"Jokioinen Ilmala","2020","1","25","00:00","31.8"
"Jokioinen Ilmala","2020","1","26","00:00","20.4"
"Jokioinen Ilmala","2020","1","27","00:00","0.1"
"Jokioinen Ilmala","2020","1","28","00:00","0.5"
"Jokioinen Ilmala","2020","1","29","00:00","0"
"Jokioinen Ilmala","2020","1","30","00:00","0.1"
"Jokioinen Ilmala","2020","1","31","00:00","0.6"
"Jokioinen Ilmala","2020","2","1","00:00","0.6"
