"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","12","1","00:00","87.5"
"Jokioinen Ilmala","2021","12","2","00:00","1"
"Jokioinen Ilmala","2021","12","3","00:00","9.8"
"Jokioinen Ilmala","2021","12","4","00:00","13.9"
"Jokioinen Ilmala","2021","12","5","00:00","93.9"
"Jokioinen Ilmala","2021","12","6","00:00","33.8"
"Jokioinen Ilmala","2021","12","7","00:00","85.8"
"Jokioinen Ilmala","2021","12","8","00:00","18.8"
"Jokioinen Ilmala","2021","12","9","00:00","1.2"
"Jokioinen Ilmala","2021","12","10","00:00","0.6"
"Jokioinen Ilmala","2021","12","11","00:00","0.4"
"Jokioinen Ilmala","2021","12","12","00:00","1.8"
"Jokioinen Ilmala","2021","12","13","00:00","2.1"
"Jokioinen Ilmala","2021","12","14","00:00","1"
"Jokioinen Ilmala","2021","12","15","00:00","1"
"Jokioinen Ilmala","2021","12","16","00:00","3.2"
"Jokioinen Ilmala","2021","12","17","00:00","69.4"
"Jokioinen Ilmala","2021","12","18","00:00","1"
"Jokioinen Ilmala","2021","12","19","00:00","17.1"
"Jokioinen Ilmala","2021","12","20","00:00","63.2"
"Jokioinen Ilmala","2021","12","21","00:00","70.8"
"Jokioinen Ilmala","2021","12","22","00:00","30.2"
"Jokioinen Ilmala","2021","12","23","00:00","1.2"
"Jokioinen Ilmala","2021","12","24","00:00","37.1"
"Jokioinen Ilmala","2021","12","25","00:00","3.2"
"Jokioinen Ilmala","2021","12","26","00:00","27.7"
"Jokioinen Ilmala","2021","12","27","00:00","52.3"
"Jokioinen Ilmala","2021","12","28","00:00","1.6"
"Jokioinen Ilmala","2021","12","29","00:00","0.7"
"Jokioinen Ilmala","2021","12","30","00:00","0.8"
"Jokioinen Ilmala","2021","12","31","00:00","1.3"
"Jokioinen Ilmala","2022","1","1","00:00","58.2"
"Jokioinen Ilmala","2022","1","2","00:00","1.8"
"Jokioinen Ilmala","2022","1","3","00:00","0.9"
"Jokioinen Ilmala","2022","1","4","00:00","0.7"
"Jokioinen Ilmala","2022","1","5","00:00","1.1"
"Jokioinen Ilmala","2022","1","6","00:00","29.1"
"Jokioinen Ilmala","2022","1","7","00:00","55.1"
"Jokioinen Ilmala","2022","1","8","00:00","1.8"
"Jokioinen Ilmala","2022","1","9","00:00","1"
"Jokioinen Ilmala","2022","1","10","00:00","102.5"
"Jokioinen Ilmala","2022","1","11","00:00","9.6"
"Jokioinen Ilmala","2022","1","12","00:00","1.1"
"Jokioinen Ilmala","2022","1","13","00:00","14.7"
"Jokioinen Ilmala","2022","1","14","00:00","9.2"
"Jokioinen Ilmala","2022","1","15","00:00","90.5"
"Jokioinen Ilmala","2022","1","16","00:00","0.9"
"Jokioinen Ilmala","2022","1","17","00:00","118.9"
"Jokioinen Ilmala","2022","1","18","00:00","3.7"
"Jokioinen Ilmala","2022","1","19","00:00","2.8"
"Jokioinen Ilmala","2022","1","20","00:00","0.5"
"Jokioinen Ilmala","2022","1","21","00:00","0.3"
"Jokioinen Ilmala","2022","1","22","00:00","2.1"
"Jokioinen Ilmala","2022","1","23","00:00","2"
"Jokioinen Ilmala","2022","1","24","00:00","0.9"
"Jokioinen Ilmala","2022","1","25","00:00","142.4"
"Jokioinen Ilmala","2022","1","26","00:00","1.8"
"Jokioinen Ilmala","2022","1","27","00:00","1"
"Jokioinen Ilmala","2022","1","28","00:00","0.4"
"Jokioinen Ilmala","2022","1","29","00:00","1.1"
"Jokioinen Ilmala","2022","1","30","00:00","0.2"
"Jokioinen Ilmala","2022","1","31","00:00","0.6"
"Jokioinen Ilmala","2022","2","1","00:00","3.3"
