"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2015","2","1","00:00","-"
"Jokioinen Ilmala","2015","2","2","00:00","1.2"
"Jokioinen Ilmala","2015","2","3","00:00","0.6"
"Jokioinen Ilmala","2015","2","4","00:00","1.1"
"Jokioinen Ilmala","2015","2","5","00:00","1.1"
"Jokioinen Ilmala","2015","2","6","00:00","58.3"
"Jokioinen Ilmala","2015","2","7","00:00","-"
"-","2015","2","8","00:00","-"
"Jokioinen Ilmala","2015","2","9","00:00","1.6"
"Jokioinen Ilmala","2015","2","10","00:00","190.2"
"Jokioinen Ilmala","2015","2","11","00:00","145.8"
"Jokioinen Ilmala","2015","2","12","00:00","0.5"
"Jokioinen Ilmala","2015","2","13","00:00","0.9"
"Jokioinen Ilmala","2015","2","14","00:00","-"
"-","2015","2","15","00:00","-"
"-","2015","2","16","00:00","-"
"-","2015","2","17","00:00","-"
"Jokioinen Ilmala","2015","2","18","00:00","139.5"
"Jokioinen Ilmala","2015","2","19","00:00","0.5"
"Jokioinen Ilmala","2015","2","20","00:00","-"
"-","2015","2","21","00:00","-"
"-","2015","2","22","00:00","-"
"-","2015","2","23","00:00","-"
"-","2015","2","24","00:00","-"
"Jokioinen Ilmala","2015","2","25","00:00","0.4"
"Jokioinen Ilmala","2015","2","26","00:00","0.4"
"Jokioinen Ilmala","2015","2","27","00:00","0.3"
"Jokioinen Ilmala","2015","2","28","00:00","0.4"
"Jokioinen Ilmala","2015","3","1","00:00","-"
"-","2015","3","2","00:00","-"
"Jokioinen Ilmala","2015","3","3","00:00","0.6"
"Jokioinen Ilmala","2015","3","4","00:00","0.9"
"Jokioinen Ilmala","2015","3","5","00:00","21.7"
"Jokioinen Ilmala","2015","3","6","00:00","0.5"
"Jokioinen Ilmala","2015","3","7","00:00","0.7"
"Jokioinen Ilmala","2015","3","8","00:00","4.2"
"Jokioinen Ilmala","2015","3","9","00:00","251.2"
"Jokioinen Ilmala","2015","3","10","00:00","0.6"
"Jokioinen Ilmala","2015","3","11","00:00","230.8"
"Jokioinen Ilmala","2015","3","12","00:00","-"
"-","2015","3","13","00:00","-"
"-","2015","3","14","00:00","-"
"Jokioinen Ilmala","2015","3","15","00:00","-"
"-","2015","3","16","00:00","-"
"Jokioinen Ilmala","2015","3","17","00:00","335.7"
"Jokioinen Ilmala","2015","3","18","00:00","256.4"
"Jokioinen Ilmala","2015","3","19","00:00","215.7"
"Jokioinen Ilmala","2015","3","20","00:00","-"
"-","2015","3","21","00:00","-"
"-","2015","3","22","00:00","-"
"Jokioinen Ilmala","2015","3","23","00:00","-"
"-","2015","3","24","00:00","-"
"-","2015","3","25","00:00","-"
"-","2015","3","26","00:00","-"
"Jokioinen Ilmala","2015","3","27","00:00","16.3"
"Jokioinen Ilmala","2015","3","28","00:00","-"
"-","2015","3","29","00:00","-"
"-","2015","3","30","00:00","-"
"Jokioinen Ilmala","2015","3","31","00:00","2.9"
"Jokioinen Ilmala","2015","4","1","00:00","39"
