"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","2","1","00:00","0.8"
"Jokioinen Ilmala","2016","2","2","00:00","0.9"
"Jokioinen Ilmala","2016","2","3","00:00","20.9"
"Jokioinen Ilmala","2016","2","4","00:00","1.2"
"Jokioinen Ilmala","2016","2","5","00:00","18.1"
"Jokioinen Ilmala","2016","2","6","00:00","0.8"
"Jokioinen Ilmala","2016","2","7","00:00","0.9"
"Jokioinen Ilmala","2016","2","8","00:00","0.2"
"Jokioinen Ilmala","2016","2","9","00:00","0.4"
"Jokioinen Ilmala","2016","2","10","00:00","0.6"
"Jokioinen Ilmala","2016","2","11","00:00","0.3"
"Jokioinen Ilmala","2016","2","12","00:00","0.6"
"Jokioinen Ilmala","2016","2","13","00:00","84.9"
"Jokioinen Ilmala","2016","2","14","00:00","0.1"
"Jokioinen Ilmala","2016","2","15","00:00","1"
"Jokioinen Ilmala","2016","2","16","00:00","120.9"
"Jokioinen Ilmala","2016","2","17","00:00","57.9"
"Jokioinen Ilmala","2016","2","18","00:00","0.2"
"Jokioinen Ilmala","2016","2","19","00:00","0.4"
"Jokioinen Ilmala","2016","2","20","00:00","0"
"Jokioinen Ilmala","2016","2","21","00:00","-0.4"
"Jokioinen Ilmala","2016","2","22","00:00","1.5"
"Jokioinen Ilmala","2016","2","23","00:00","17.7"
"Jokioinen Ilmala","2016","2","24","00:00","1"
"Jokioinen Ilmala","2016","2","25","00:00","1.5"
"Jokioinen Ilmala","2016","2","26","00:00","6.2"
"Jokioinen Ilmala","2016","2","27","00:00","190.8"
"Jokioinen Ilmala","2016","2","28","00:00","2.7"
"Jokioinen Ilmala","2016","2","29","00:00","236.1"
"Jokioinen Ilmala","2016","3","1","00:00","71.7"
"Jokioinen Ilmala","2016","3","2","00:00","66.3"
"Jokioinen Ilmala","2016","3","3","00:00","0.4"
"Jokioinen Ilmala","2016","3","4","00:00","0.2"
"Jokioinen Ilmala","2016","3","5","00:00","0.8"
"Jokioinen Ilmala","2016","3","6","00:00","0.5"
"Jokioinen Ilmala","2016","3","7","00:00","-0.3"
"Jokioinen Ilmala","2016","3","8","00:00","23.6"
"Jokioinen Ilmala","2016","3","9","00:00","37"
"Jokioinen Ilmala","2016","3","10","00:00","1.8"
"Jokioinen Ilmala","2016","3","11","00:00","1"
"Jokioinen Ilmala","2016","3","12","00:00","2.4"
"Jokioinen Ilmala","2016","3","13","00:00","2"
"Jokioinen Ilmala","2016","3","14","00:00","80"
"Jokioinen Ilmala","2016","3","15","00:00","208.5"
"Jokioinen Ilmala","2016","3","16","00:00","183.3"
"Jokioinen Ilmala","2016","3","17","00:00","144.9"
"Jokioinen Ilmala","2016","3","18","00:00","199.6"
"Jokioinen Ilmala","2016","3","19","00:00","227.7"
"Jokioinen Ilmala","2016","3","20","00:00","168.1"
"Jokioinen Ilmala","2016","3","21","00:00","98.5"
"Jokioinen Ilmala","2016","3","22","00:00","347.5"
"Jokioinen Ilmala","2016","3","23","00:00","2.4"
"Jokioinen Ilmala","2016","3","24","00:00","1"
"Jokioinen Ilmala","2016","3","25","00:00","0.5"
"Jokioinen Ilmala","2016","3","26","00:00","1.1"
"Jokioinen Ilmala","2016","3","27","00:00","210.8"
"Jokioinen Ilmala","2016","3","28","00:00","41.7"
"Jokioinen Ilmala","2016","3","29","00:00","259.2"
"Jokioinen Ilmala","2016","3","30","00:00","28.3"
"Jokioinen Ilmala","2016","3","31","00:00","100.6"
"Jokioinen Ilmala","2016","4","1","00:00","47.6"
