"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2017","2","1","00:00","1.2"
"Jokioinen Ilmala","2017","2","2","00:00","0.5"
"Jokioinen Ilmala","2017","2","3","00:00","0.5"
"Jokioinen Ilmala","2017","2","4","00:00","1.4"
"Jokioinen Ilmala","2017","2","5","00:00","0.4"
"Jokioinen Ilmala","2017","2","6","00:00","117.9"
"Jokioinen Ilmala","2017","2","7","00:00","209.6"
"Jokioinen Ilmala","2017","2","8","00:00","213.2"
"Jokioinen Ilmala","2017","2","9","00:00","216.1"
"Jokioinen Ilmala","2017","2","10","00:00","145.4"
"Jokioinen Ilmala","2017","2","11","00:00","2.8"
"Jokioinen Ilmala","2017","2","12","00:00","1.8"
"Jokioinen Ilmala","2017","2","13","00:00","98.2"
"Jokioinen Ilmala","2017","2","14","00:00","199.4"
"Jokioinen Ilmala","2017","2","15","00:00","129.5"
"Jokioinen Ilmala","2017","2","16","00:00","97.1"
"Jokioinen Ilmala","2017","2","17","00:00","1.7"
"Jokioinen Ilmala","2017","2","18","00:00","101.8"
"Jokioinen Ilmala","2017","2","19","00:00","1.3"
"Jokioinen Ilmala","2017","2","20","00:00","0.9"
"Jokioinen Ilmala","2017","2","21","00:00","241.9"
"Jokioinen Ilmala","2017","2","22","00:00","5.6"
"Jokioinen Ilmala","2017","2","23","00:00","1.7"
"Jokioinen Ilmala","2017","2","24","00:00","17.7"
"Jokioinen Ilmala","2017","2","25","00:00","173.1"
"Jokioinen Ilmala","2017","2","26","00:00","1"
"Jokioinen Ilmala","2017","2","27","00:00","0.6"
"Jokioinen Ilmala","2017","2","28","00:00","0.2"
"Jokioinen Ilmala","2017","3","1","00:00","1.7"
"Jokioinen Ilmala","2017","3","2","00:00","1.3"
"Jokioinen Ilmala","2017","3","3","00:00","8"
"Jokioinen Ilmala","2017","3","4","00:00","84.2"
"Jokioinen Ilmala","2017","3","5","00:00","285.5"
"Jokioinen Ilmala","2017","3","6","00:00","300.9"
"Jokioinen Ilmala","2017","3","7","00:00","13.1"
"Jokioinen Ilmala","2017","3","8","00:00","-0.3"
"Jokioinen Ilmala","2017","3","9","00:00","0.4"
"Jokioinen Ilmala","2017","3","10","00:00","1.1"
"Jokioinen Ilmala","2017","3","11","00:00","286.3"
"Jokioinen Ilmala","2017","3","12","00:00","173.6"
"Jokioinen Ilmala","2017","3","13","00:00","130.6"
"Jokioinen Ilmala","2017","3","14","00:00","0.6"
"Jokioinen Ilmala","2017","3","15","00:00","184.4"
"Jokioinen Ilmala","2017","3","16","00:00","322"
"Jokioinen Ilmala","2017","3","17","00:00","11"
"Jokioinen Ilmala","2017","3","18","00:00","70.1"
"Jokioinen Ilmala","2017","3","19","00:00","364.6"
"Jokioinen Ilmala","2017","3","20","00:00","294.1"
"Jokioinen Ilmala","2017","3","21","00:00","0.2"
"Jokioinen Ilmala","2017","3","22","00:00","3.3"
"Jokioinen Ilmala","2017","3","23","00:00","361.5"
"Jokioinen Ilmala","2017","3","24","00:00","222.6"
"Jokioinen Ilmala","2017","3","25","00:00","23"
"Jokioinen Ilmala","2017","3","26","00:00","127.3"
"Jokioinen Ilmala","2017","3","27","00:00","159.8"
"Jokioinen Ilmala","2017","3","28","00:00","225.3"
"Jokioinen Ilmala","2017","3","29","00:00","296.4"
"Jokioinen Ilmala","2017","3","30","00:00","254.3"
"Jokioinen Ilmala","2017","3","31","00:00","1"
"Jokioinen Ilmala","2017","4","1","00:00","0.6"
