"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2019","2","1","00:00","1.1"
"Jokioinen Ilmala","2019","2","2","00:00","0.2"
"Jokioinen Ilmala","2019","2","3","00:00","0.3"
"Jokioinen Ilmala","2019","2","4","00:00","37.4"
"Jokioinen Ilmala","2019","2","5","00:00","1.2"
"Jokioinen Ilmala","2019","2","6","00:00","89.9"
"Jokioinen Ilmala","2019","2","7","00:00","1.2"
"Jokioinen Ilmala","2019","2","8","00:00","0.2"
"Jokioinen Ilmala","2019","2","9","00:00","0.5"
"Jokioinen Ilmala","2019","2","10","00:00","0.5"
"Jokioinen Ilmala","2019","2","11","00:00","0.7"
"Jokioinen Ilmala","2019","2","12","00:00","182.7"
"Jokioinen Ilmala","2019","2","13","00:00","1.6"
"Jokioinen Ilmala","2019","2","14","00:00","24.3"
"Jokioinen Ilmala","2019","2","15","00:00","26"
"Jokioinen Ilmala","2019","2","16","00:00","208.4"
"Jokioinen Ilmala","2019","2","17","00:00","220.5"
"Jokioinen Ilmala","2019","2","18","00:00","1"
"Jokioinen Ilmala","2019","2","19","00:00","1.1"
"Jokioinen Ilmala","2019","2","20","00:00","3.3"
"Jokioinen Ilmala","2019","2","21","00:00","264.9"
"Jokioinen Ilmala","2019","2","22","00:00","252.1"
"Jokioinen Ilmala","2019","2","23","00:00","118.3"
"Jokioinen Ilmala","2019","2","24","00:00","23.6"
"Jokioinen Ilmala","2019","2","25","00:00","165.9"
"Jokioinen Ilmala","2019","2","26","00:00","5"
"Jokioinen Ilmala","2019","2","27","00:00","7.6"
"Jokioinen Ilmala","2019","2","28","00:00","14.1"
"Jokioinen Ilmala","2019","3","1","00:00","286.6"
"Jokioinen Ilmala","2019","3","2","00:00","109.9"
"Jokioinen Ilmala","2019","3","3","00:00","145.5"
"Jokioinen Ilmala","2019","3","4","00:00","0.7"
"Jokioinen Ilmala","2019","3","5","00:00","183.9"
"Jokioinen Ilmala","2019","3","6","00:00","204"
"Jokioinen Ilmala","2019","3","7","00:00","0.4"
"Jokioinen Ilmala","2019","3","8","00:00","0.8"
"Jokioinen Ilmala","2019","3","9","00:00","52.6"
"Jokioinen Ilmala","2019","3","10","00:00","127.2"
"Jokioinen Ilmala","2019","3","11","00:00","30.8"
"Jokioinen Ilmala","2019","3","12","00:00","145.9"
"Jokioinen Ilmala","2019","3","13","00:00","40.1"
"Jokioinen Ilmala","2019","3","14","00:00","0.2"
"Jokioinen Ilmala","2019","3","15","00:00","0.8"
"Jokioinen Ilmala","2019","3","16","00:00","0.2"
"Jokioinen Ilmala","2019","3","17","00:00","4.2"
"Jokioinen Ilmala","2019","3","18","00:00","0.4"
"Jokioinen Ilmala","2019","3","19","00:00","2"
"Jokioinen Ilmala","2019","3","20","00:00","21.9"
"Jokioinen Ilmala","2019","3","21","00:00","42.3"
"Jokioinen Ilmala","2019","3","22","00:00","366.5"
"Jokioinen Ilmala","2019","3","23","00:00","1.5"
"Jokioinen Ilmala","2019","3","24","00:00","309.7"
"Jokioinen Ilmala","2019","3","25","00:00","108.6"
"Jokioinen Ilmala","2019","3","26","00:00","402.8"
"Jokioinen Ilmala","2019","3","27","00:00","36.1"
"Jokioinen Ilmala","2019","3","28","00:00","120.4"
"Jokioinen Ilmala","2019","3","29","00:00","248.4"
"Jokioinen Ilmala","2019","3","30","00:00","81"
"Jokioinen Ilmala","2019","3","31","00:00","131.4"
"Jokioinen Ilmala","2019","4","1","00:00","417"
