"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","2","1","00:00","7.5"
"Jokioinen Ilmala","2021","2","2","00:00","82.4"
"Jokioinen Ilmala","2021","2","3","00:00","73.6"
"Jokioinen Ilmala","2021","2","4","00:00","104.6"
"Jokioinen Ilmala","2021","2","5","00:00","183.7"
"Jokioinen Ilmala","2021","2","6","00:00","4.3"
"Jokioinen Ilmala","2021","2","7","00:00","19.3"
"Jokioinen Ilmala","2021","2","8","00:00","66.4"
"Jokioinen Ilmala","2021","2","9","00:00","202.5"
"Jokioinen Ilmala","2021","2","10","00:00","6"
"Jokioinen Ilmala","2021","2","11","00:00","188.1"
"Jokioinen Ilmala","2021","2","12","00:00","17.3"
"Jokioinen Ilmala","2021","2","13","00:00","115.6"
"Jokioinen Ilmala","2021","2","14","00:00","171"
"Jokioinen Ilmala","2021","2","15","00:00","144.4"
"Jokioinen Ilmala","2021","2","16","00:00","116.4"
"Jokioinen Ilmala","2021","2","17","00:00","246.6"
"Jokioinen Ilmala","2021","2","18","00:00","111.7"
"Jokioinen Ilmala","2021","2","19","00:00","1.6"
"Jokioinen Ilmala","2021","2","20","00:00","0.8"
"Jokioinen Ilmala","2021","2","21","00:00","1.1"
"Jokioinen Ilmala","2021","2","22","00:00","0.7"
"Jokioinen Ilmala","2021","2","23","00:00","0.5"
"Jokioinen Ilmala","2021","2","24","00:00","1.4"
"Jokioinen Ilmala","2021","2","25","00:00","0.9"
"Jokioinen Ilmala","2021","2","26","00:00","22.3"
"Jokioinen Ilmala","2021","2","27","00:00","276.5"
"Jokioinen Ilmala","2021","2","28","00:00","256.4"
"Jokioinen Ilmala","2021","3","1","00:00","30.2"
"Jokioinen Ilmala","2021","3","2","00:00","254.7"
"Jokioinen Ilmala","2021","3","3","00:00","113.3"
"Jokioinen Ilmala","2021","3","4","00:00","142.9"
"Jokioinen Ilmala","2021","3","5","00:00","277.9"
"Jokioinen Ilmala","2021","3","6","00:00","2.3"
"Jokioinen Ilmala","2021","3","7","00:00","4.7"
"Jokioinen Ilmala","2021","3","8","00:00","207.9"
"Jokioinen Ilmala","2021","3","9","00:00","2.2"
"Jokioinen Ilmala","2021","3","10","00:00","325.4"
"Jokioinen Ilmala","2021","3","11","00:00","1.1"
"Jokioinen Ilmala","2021","3","12","00:00","0.2"
"Jokioinen Ilmala","2021","3","13","00:00","18.8"
"Jokioinen Ilmala","2021","3","14","00:00","0.8"
"Jokioinen Ilmala","2021","3","15","00:00","4.3"
"Jokioinen Ilmala","2021","3","16","00:00","40"
"Jokioinen Ilmala","2021","3","17","00:00","6.7"
"Jokioinen Ilmala","2021","3","18","00:00","243.8"
"Jokioinen Ilmala","2021","3","19","00:00","349.4"
"Jokioinen Ilmala","2021","3","20","00:00","1.4"
"Jokioinen Ilmala","2021","3","21","00:00","42.8"
"Jokioinen Ilmala","2021","3","22","00:00","350.8"
"Jokioinen Ilmala","2021","3","23","00:00","169"
"Jokioinen Ilmala","2021","3","24","00:00","88.7"
"Jokioinen Ilmala","2021","3","25","00:00","101.2"
"Jokioinen Ilmala","2021","3","26","00:00","161.8"
"Jokioinen Ilmala","2021","3","27","00:00","124.7"
"Jokioinen Ilmala","2021","3","28","00:00","23.2"
"Jokioinen Ilmala","2021","3","29","00:00","0.3"
"Jokioinen Ilmala","2021","3","30","00:00","124.8"
"Jokioinen Ilmala","2021","3","31","00:00","251.3"
"Jokioinen Ilmala","2021","4","1","00:00","342.8"
