"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2022","2","1","00:00","3.3"
"Jokioinen Ilmala","2022","2","2","00:00","15.6"
"Jokioinen Ilmala","2022","2","3","00:00","80.8"
"Jokioinen Ilmala","2022","2","4","00:00","1.3"
"Jokioinen Ilmala","2022","2","5","00:00","1.1"
"Jokioinen Ilmala","2022","2","6","00:00","0.8"
"Jokioinen Ilmala","2022","2","7","00:00","6.5"
"Jokioinen Ilmala","2022","2","8","00:00","1.1"
"Jokioinen Ilmala","2022","2","9","00:00","46"
"Jokioinen Ilmala","2022","2","10","00:00","163.1"
"Jokioinen Ilmala","2022","2","11","00:00","146.6"
"Jokioinen Ilmala","2022","2","12","00:00","73.1"
"Jokioinen Ilmala","2022","2","13","00:00","0.8"
"Jokioinen Ilmala","2022","2","14","00:00","1"
"Jokioinen Ilmala","2022","2","15","00:00","1.1"
"Jokioinen Ilmala","2022","2","16","00:00","0.8"
"Jokioinen Ilmala","2022","2","17","00:00","0.6"
"Jokioinen Ilmala","2022","2","18","00:00","4.6"
"Jokioinen Ilmala","2022","2","19","00:00","1.8"
"Jokioinen Ilmala","2022","2","20","00:00","1.9"
"Jokioinen Ilmala","2022","2","21","00:00","1.1"
"Jokioinen Ilmala","2022","2","22","00:00","19.8"
"Jokioinen Ilmala","2022","2","23","00:00","47.6"
"Jokioinen Ilmala","2022","2","24","00:00","0.7"
"Jokioinen Ilmala","2022","2","25","00:00","0.4"
"Jokioinen Ilmala","2022","2","26","00:00","274"
"Jokioinen Ilmala","2022","2","27","00:00","177.6"
"Jokioinen Ilmala","2022","2","28","00:00","275.4"
"Jokioinen Ilmala","2022","3","1","00:00","287.6"
"Jokioinen Ilmala","2022","3","2","00:00","55.3"
"Jokioinen Ilmala","2022","3","3","00:00","298.5"
"Jokioinen Ilmala","2022","3","4","00:00","304.7"
"Jokioinen Ilmala","2022","3","5","00:00","241"
"Jokioinen Ilmala","2022","3","6","00:00","234.3"
"Jokioinen Ilmala","2022","3","7","00:00","2"
"Jokioinen Ilmala","2022","3","8","00:00","2.1"
"Jokioinen Ilmala","2022","3","9","00:00","0.2"
"Jokioinen Ilmala","2022","3","10","00:00","2.4"
"Jokioinen Ilmala","2022","3","11","00:00","1.7"
"Jokioinen Ilmala","2022","3","12","00:00","302.9"
"Jokioinen Ilmala","2022","3","13","00:00","279.9"
"Jokioinen Ilmala","2022","3","14","00:00","351.9"
"Jokioinen Ilmala","2022","3","15","00:00","310"
"Jokioinen Ilmala","2022","3","16","00:00","351.6"
"Jokioinen Ilmala","2022","3","17","00:00","348"
"Jokioinen Ilmala","2022","3","18","00:00","60.3"
"Jokioinen Ilmala","2022","3","19","00:00","233"
"Jokioinen Ilmala","2022","3","20","00:00","359.4"
"Jokioinen Ilmala","2022","3","21","00:00","371.5"
"Jokioinen Ilmala","2022","3","22","00:00","280.1"
"Jokioinen Ilmala","2022","3","23","00:00","129"
"Jokioinen Ilmala","2022","3","24","00:00","53.8"
"Jokioinen Ilmala","2022","3","25","00:00","24.6"
"Jokioinen Ilmala","2022","3","26","00:00","25.5"
"Jokioinen Ilmala","2022","3","27","00:00","103.5"
"Jokioinen Ilmala","2022","3","28","00:00","79.2"
"Jokioinen Ilmala","2022","3","29","00:00","244.9"
"Jokioinen Ilmala","2022","3","30","00:00","107.4"
"Jokioinen Ilmala","2022","3","31","00:00","240.1"
"Jokioinen Ilmala","2022","4","1","00:00","239.5"
