"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","3","1","00:00","54.1"
"Jokioinen Ilmala","2004","3","2","00:00","31.8"
"Jokioinen Ilmala","2004","3","3","00:00","157.4"
"Jokioinen Ilmala","2004","3","4","00:00","312.4"
"Jokioinen Ilmala","2004","3","5","00:00","190.5"
"Jokioinen Ilmala","2004","3","6","00:00","189.6"
"Jokioinen Ilmala","2004","3","7","00:00","125.2"
"Jokioinen Ilmala","2004","3","8","00:00","1.5"
"Jokioinen Ilmala","2004","3","9","00:00","297.5"
"Jokioinen Ilmala","2004","3","10","00:00","283"
"Jokioinen Ilmala","2004","3","11","00:00","285.1"
"Jokioinen Ilmala","2004","3","12","00:00","294.4"
"Jokioinen Ilmala","2004","3","13","00:00","241.8"
"Jokioinen Ilmala","2004","3","14","00:00","3.7"
"Jokioinen Ilmala","2004","3","15","00:00","0.6"
"Jokioinen Ilmala","2004","3","16","00:00","4.1"
"Jokioinen Ilmala","2004","3","17","00:00","214.9"
"Jokioinen Ilmala","2004","3","18","00:00","113.7"
"Jokioinen Ilmala","2004","3","19","00:00","301.7"
"Jokioinen Ilmala","2004","3","20","00:00","0.4"
"Jokioinen Ilmala","2004","3","21","00:00","1.5"
"Jokioinen Ilmala","2004","3","22","00:00","11.9"
"Jokioinen Ilmala","2004","3","23","00:00","17.2"
"Jokioinen Ilmala","2004","3","24","00:00","2"
"Jokioinen Ilmala","2004","3","25","00:00","6.4"
"Jokioinen Ilmala","2004","3","26","00:00","133.7"
"Jokioinen Ilmala","2004","3","27","00:00","124.2"
"Jokioinen Ilmala","2004","3","28","00:00","371"
"Jokioinen Ilmala","2004","3","29","00:00","143.9"
"Jokioinen Ilmala","2004","3","30","00:00","94.8"
"Jokioinen Ilmala","2004","3","31","00:00","401.9"
"Jokioinen Ilmala","2004","4","1","00:00","424.2"
"Jokioinen Ilmala","2004","4","2","00:00","399.6"
"Jokioinen Ilmala","2004","4","3","00:00","405.6"
"Jokioinen Ilmala","2004","4","4","00:00","387.3"
"Jokioinen Ilmala","2004","4","5","00:00","87.6"
"Jokioinen Ilmala","2004","4","6","00:00","89.2"
"Jokioinen Ilmala","2004","4","7","00:00","271.8"
"Jokioinen Ilmala","2004","4","8","00:00","403.5"
"Jokioinen Ilmala","2004","4","9","00:00","363.2"
"Jokioinen Ilmala","2004","4","10","00:00","217.7"
"Jokioinen Ilmala","2004","4","11","00:00","128.7"
"Jokioinen Ilmala","2004","4","12","00:00","357.5"
"Jokioinen Ilmala","2004","4","13","00:00","388"
"Jokioinen Ilmala","2004","4","14","00:00","10.2"
"Jokioinen Ilmala","2004","4","15","00:00","315.8"
"Jokioinen Ilmala","2004","4","16","00:00","167.5"
"Jokioinen Ilmala","2004","4","17","00:00","352.9"
"Jokioinen Ilmala","2004","4","18","00:00","107.9"
"Jokioinen Ilmala","2004","4","19","00:00","329.8"
"Jokioinen Ilmala","2004","4","20","00:00","14.8"
"Jokioinen Ilmala","2004","4","21","00:00","45.5"
"Jokioinen Ilmala","2004","4","22","00:00","311.1"
"Jokioinen Ilmala","2004","4","23","00:00","362.8"
"Jokioinen Ilmala","2004","4","24","00:00","230.7"
"Jokioinen Ilmala","2004","4","25","00:00","430"
"Jokioinen Ilmala","2004","4","26","00:00","348.5"
"Jokioinen Ilmala","2004","4","27","00:00","91.9"
"Jokioinen Ilmala","2004","4","28","00:00","270.7"
"Jokioinen Ilmala","2004","4","29","00:00","107.4"
"Jokioinen Ilmala","2004","4","30","00:00","361"
"Jokioinen Ilmala","2004","5","1","00:00","195.8"
