"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2005","3","1","00:00","222.8"
"Jokioinen Ilmala","2005","3","2","00:00","58.3"
"Jokioinen Ilmala","2005","3","3","00:00","177.5"
"Jokioinen Ilmala","2005","3","4","00:00","178.9"
"Jokioinen Ilmala","2005","3","5","00:00","118.6"
"Jokioinen Ilmala","2005","3","6","00:00","191.9"
"Jokioinen Ilmala","2005","3","7","00:00","78.9"
"Jokioinen Ilmala","2005","3","8","00:00","108.2"
"Jokioinen Ilmala","2005","3","9","00:00","232.3"
"Jokioinen Ilmala","2005","3","10","00:00","42.3"
"Jokioinen Ilmala","2005","3","11","00:00","248.2"
"Jokioinen Ilmala","2005","3","12","00:00","63.2"
"Jokioinen Ilmala","2005","3","13","00:00","209"
"Jokioinen Ilmala","2005","3","14","00:00","214.6"
"Jokioinen Ilmala","2005","3","15","00:00","206"
"Jokioinen Ilmala","2005","3","16","00:00","174.7"
"Jokioinen Ilmala","2005","3","17","00:00","2.4"
"Jokioinen Ilmala","2005","3","18","00:00","38.5"
"Jokioinen Ilmala","2005","3","19","00:00","122.1"
"Jokioinen Ilmala","2005","3","20","00:00","142.1"
"Jokioinen Ilmala","2005","3","21","00:00","119"
"Jokioinen Ilmala","2005","3","22","00:00","191.8"
"Jokioinen Ilmala","2005","3","23","00:00","6.5"
"Jokioinen Ilmala","2005","3","24","00:00","110.1"
"Jokioinen Ilmala","2005","3","25","00:00","199.5"
"Jokioinen Ilmala","2005","3","26","00:00","218.7"
"Jokioinen Ilmala","2005","3","27","00:00","122.3"
"Jokioinen Ilmala","2005","3","28","00:00","113.1"
"Jokioinen Ilmala","2005","3","29","00:00","102.6"
"Jokioinen Ilmala","2005","3","30","00:00","115.4"
"Jokioinen Ilmala","2005","3","31","00:00","274.4"
"Jokioinen Ilmala","2005","4","1","00:00","262"
"Jokioinen Ilmala","2005","4","2","00:00","51.5"
"Jokioinen Ilmala","2005","4","3","00:00","177.8"
"Jokioinen Ilmala","2005","4","4","00:00","225.7"
"Jokioinen Ilmala","2005","4","5","00:00","142.4"
"Jokioinen Ilmala","2005","4","6","00:00","179.1"
"Jokioinen Ilmala","2005","4","7","00:00","23.6"
"Jokioinen Ilmala","2005","4","8","00:00","48.6"
"Jokioinen Ilmala","2005","4","9","00:00","59.9"
"Jokioinen Ilmala","2005","4","10","00:00","131.7"
"Jokioinen Ilmala","2005","4","11","00:00","19.5"
"Jokioinen Ilmala","2005","4","12","00:00","133.3"
"Jokioinen Ilmala","2005","4","13","00:00","112.4"
"Jokioinen Ilmala","2005","4","14","00:00","186.9"
"Jokioinen Ilmala","2005","4","15","00:00","-"
"-","2005","4","16","00:00","-"
"Jokioinen Ilmala","2005","4","17","00:00","287.7"
"Jokioinen Ilmala","2005","4","18","00:00","278.5"
"Jokioinen Ilmala","2005","4","19","00:00","233.7"
"Jokioinen Ilmala","2005","4","20","00:00","62.8"
"Jokioinen Ilmala","2005","4","21","00:00","90.8"
"Jokioinen Ilmala","2005","4","22","00:00","17"
"Jokioinen Ilmala","2005","4","23","00:00","119"
"Jokioinen Ilmala","2005","4","24","00:00","266.6"
"Jokioinen Ilmala","2005","4","25","00:00","285.1"
"Jokioinen Ilmala","2005","4","26","00:00","202.8"
"Jokioinen Ilmala","2005","4","27","00:00","189.4"
"Jokioinen Ilmala","2005","4","28","00:00","130.4"
"Jokioinen Ilmala","2005","4","29","00:00","131.8"
"Jokioinen Ilmala","2005","4","30","00:00","7"
"Jokioinen Ilmala","2005","5","1","00:00","96.1"
