"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2006","3","1","00:00","81.2"
"Jokioinen Ilmala","2006","3","2","00:00","7.6"
"Jokioinen Ilmala","2006","3","3","00:00","11.9"
"Jokioinen Ilmala","2006","3","4","00:00","4.3"
"Jokioinen Ilmala","2006","3","5","00:00","4.2"
"Jokioinen Ilmala","2006","3","6","00:00","50.6"
"Jokioinen Ilmala","2006","3","7","00:00","131"
"Jokioinen Ilmala","2006","3","8","00:00","5.7"
"Jokioinen Ilmala","2006","3","9","00:00","167.9"
"Jokioinen Ilmala","2006","3","10","00:00","150.9"
"Jokioinen Ilmala","2006","3","11","00:00","175"
"Jokioinen Ilmala","2006","3","12","00:00","207.1"
"Jokioinen Ilmala","2006","3","13","00:00","237.6"
"Jokioinen Ilmala","2006","3","14","00:00","12.3"
"Jokioinen Ilmala","2006","3","15","00:00","40"
"Jokioinen Ilmala","2006","3","16","00:00","108.6"
"Jokioinen Ilmala","2006","3","17","00:00","144.7"
"Jokioinen Ilmala","2006","3","18","00:00","6.9"
"Jokioinen Ilmala","2006","3","19","00:00","42.6"
"Jokioinen Ilmala","2006","3","20","00:00","218.9"
"Jokioinen Ilmala","2006","3","21","00:00","159.1"
"Jokioinen Ilmala","2006","3","22","00:00","215.6"
"Jokioinen Ilmala","2006","3","23","00:00","226.9"
"Jokioinen Ilmala","2006","3","24","00:00","106.3"
"Jokioinen Ilmala","2006","3","25","00:00","190.7"
"Jokioinen Ilmala","2006","3","26","00:00","199.4"
"Jokioinen Ilmala","2006","3","27","00:00","57.9"
"Jokioinen Ilmala","2006","3","28","00:00","2.9"
"Jokioinen Ilmala","2006","3","29","00:00","4.1"
"Jokioinen Ilmala","2006","3","30","00:00","3"
"Jokioinen Ilmala","2006","3","31","00:00","6.7"
"Jokioinen Ilmala","2006","4","1","00:00","3.3"
"Jokioinen Ilmala","2006","4","2","00:00","4.1"
"Jokioinen Ilmala","2006","4","3","00:00","3.2"
"Jokioinen Ilmala","2006","4","4","00:00","3.9"
"Jokioinen Ilmala","2006","4","5","00:00","8.2"
"Jokioinen Ilmala","2006","4","6","00:00","31.8"
"Jokioinen Ilmala","2006","4","7","00:00","8.2"
"Jokioinen Ilmala","2006","4","8","00:00","-"
"-","2006","4","9","00:00","-"
"-","2006","4","10","00:00","-"
"Jokioinen Ilmala","2006","4","11","00:00","5.4"
"Jokioinen Ilmala","2006","4","12","00:00","157.9"
"Jokioinen Ilmala","2006","4","13","00:00","-"
"-","2006","4","14","00:00","-"
"-","2006","4","15","00:00","-"
"-","2006","4","16","00:00","-"
"-","2006","4","17","00:00","-"
"-","2006","4","18","00:00","-"
"Jokioinen Ilmala","2006","4","19","00:00","88.6"
"Jokioinen Ilmala","2006","4","20","00:00","13.5"
"Jokioinen Ilmala","2006","4","21","00:00","169.8"
"Jokioinen Ilmala","2006","4","22","00:00","239.6"
"Jokioinen Ilmala","2006","4","23","00:00","290.7"
"Jokioinen Ilmala","2006","4","24","00:00","284.7"
"Jokioinen Ilmala","2006","4","25","00:00","81.6"
"Jokioinen Ilmala","2006","4","26","00:00","200"
"Jokioinen Ilmala","2006","4","27","00:00","174.2"
"Jokioinen Ilmala","2006","4","28","00:00","149.7"
"Jokioinen Ilmala","2006","4","29","00:00","169.5"
"Jokioinen Ilmala","2006","4","30","00:00","300.4"
"Jokioinen Ilmala","2006","5","1","00:00","250.3"
