"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"-","2014","3","1","00:00","-"
"Jokioinen Ilmala","2014","3","2","00:00","-"
"-","2014","3","3","00:00","-"
"Jokioinen Ilmala","2014","3","4","00:00","-"
"-","2014","3","5","00:00","-"
"-","2014","3","6","00:00","-"
"Jokioinen Ilmala","2014","3","7","00:00","0.4"
"Jokioinen Ilmala","2014","3","8","00:00","144.2"
"Jokioinen Ilmala","2014","3","9","00:00","78.3"
"Jokioinen Ilmala","2014","3","10","00:00","-"
"-","2014","3","11","00:00","-"
"Jokioinen Ilmala","2014","3","12","00:00","-"
"-","2014","3","13","00:00","-"
"Jokioinen Ilmala","2014","3","14","00:00","159.5"
"Jokioinen Ilmala","2014","3","15","00:00","-"
"-","2014","3","16","00:00","-"
"-","2014","3","17","00:00","-"
"Jokioinen Ilmala","2014","3","18","00:00","21"
"Jokioinen Ilmala","2014","3","19","00:00","176"
"Jokioinen Ilmala","2014","3","20","00:00","39"
"Jokioinen Ilmala","2014","3","21","00:00","15.5"
"Jokioinen Ilmala","2014","3","22","00:00","204.3"
"Jokioinen Ilmala","2014","3","23","00:00","8.1"
"Jokioinen Ilmala","2014","3","24","00:00","253.5"
"Jokioinen Ilmala","2014","3","25","00:00","-"
"-","2014","3","26","00:00","-"
"Jokioinen Ilmala","2014","3","27","00:00","329.5"
"Jokioinen Ilmala","2014","3","28","00:00","343.3"
"Jokioinen Ilmala","2014","3","29","00:00","-"
"-","2014","3","30","00:00","-"
"-","2014","3","31","00:00","-"
"Jokioinen Ilmala","2014","4","1","00:00","55.4"
"Jokioinen Ilmala","2014","4","2","00:00","-"
"-","2014","4","3","00:00","-"
"-","2014","4","4","00:00","-"
"Jokioinen Ilmala","2014","4","5","00:00","281.5"
"Jokioinen Ilmala","2014","4","6","00:00","-"
"-","2014","4","7","00:00","-"
"-","2014","4","8","00:00","-"
"-","2014","4","9","00:00","-"
"-","2014","4","10","00:00","-"
"Jokioinen Ilmala","2014","4","11","00:00","0.7"
"Jokioinen Ilmala","2014","4","12","00:00","105.4"
"Jokioinen Ilmala","2014","4","13","00:00","0.6"
"Jokioinen Ilmala","2014","4","14","00:00","-"
"-","2014","4","15","00:00","-"
"-","2014","4","16","00:00","-"
"-","2014","4","17","00:00","-"
"Jokioinen Ilmala","2014","4","18","00:00","-"
"-","2014","4","19","00:00","-"
"-","2014","4","20","00:00","-"
"-","2014","4","21","00:00","-"
"-","2014","4","22","00:00","-"
"-","2014","4","23","00:00","-"
"Jokioinen Ilmala","2014","4","24","00:00","484.7"
"Jokioinen Ilmala","2014","4","25","00:00","-"
"-","2014","4","26","00:00","-"
"-","2014","4","27","00:00","-"
"-","2014","4","28","00:00","-"
"-","2014","4","29","00:00","-"
"-","2014","4","30","00:00","-"
"Jokioinen Ilmala","2014","5","1","00:00","36.7"
