"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2015","4","1","00:00","39"
"Jokioinen Ilmala","2015","4","2","00:00","-"
"-","2015","4","3","00:00","-"
"-","2015","4","4","00:00","-"
"Jokioinen Ilmala","2015","4","5","00:00","-"
"-","2015","4","6","00:00","-"
"Jokioinen Ilmala","2015","4","7","00:00","58.8"
"Jokioinen Ilmala","2015","4","8","00:00","-"
"-","2015","4","9","00:00","-"
"Jokioinen Ilmala","2015","4","10","00:00","-"
"-","2015","4","11","00:00","-"
"Jokioinen Ilmala","2015","4","12","00:00","-"
"-","2015","4","13","00:00","-"
"-","2015","4","14","00:00","-"
"-","2015","4","15","00:00","-"
"Jokioinen Ilmala","2015","4","16","00:00","-"
"-","2015","4","17","00:00","-"
"Jokioinen Ilmala","2015","4","18","00:00","32.7"
"Jokioinen Ilmala","2015","4","19","00:00","-"
"-","2015","4","20","00:00","-"
"-","2015","4","21","00:00","-"
"Jokioinen Ilmala","2015","4","22","00:00","-"
"-","2015","4","23","00:00","-"
"Jokioinen Ilmala","2015","4","24","00:00","146.4"
"Jokioinen Ilmala","2015","4","25","00:00","-"
"-","2015","4","26","00:00","-"
"-","2015","4","27","00:00","-"
"-","2015","4","28","00:00","-"
"Jokioinen Ilmala","2015","4","29","00:00","0.5"
"Jokioinen Ilmala","2015","4","30","00:00","-"
"-","2015","5","1","00:00","-"
"-","2015","5","2","00:00","-"
"Jokioinen Ilmala","2015","5","3","00:00","-"
"-","2015","5","4","00:00","-"
"-","2015","5","5","00:00","-"
"-","2015","5","6","00:00","-"
"Jokioinen Ilmala","2015","5","7","00:00","-"
"-","2015","5","8","00:00","-"
"-","2015","5","9","00:00","-"
"-","2015","5","10","00:00","-"
"-","2015","5","11","00:00","-"
"-","2015","5","12","00:00","-"
"-","2015","5","13","00:00","-"
"Jokioinen Ilmala","2015","5","14","00:00","-"
"-","2015","5","15","00:00","-"
"-","2015","5","16","00:00","-"
"-","2015","5","17","00:00","-"
"Jokioinen Ilmala","2015","5","18","00:00","22.8"
"Jokioinen Ilmala","2015","5","19","00:00","-"
"-","2015","5","20","00:00","-"
"-","2015","5","21","00:00","-"
"-","2015","5","22","00:00","-"
"-","2015","5","23","00:00","-"
"Jokioinen Ilmala","2015","5","24","00:00","-"
"-","2015","5","25","00:00","-"
"-","2015","5","26","00:00","-"
"-","2015","5","27","00:00","-"
"-","2015","5","28","00:00","-"
"-","2015","5","29","00:00","-"
"-","2015","5","30","00:00","-"
"-","2015","5","31","00:00","-"
"-","2015","6","1","00:00","-"
