"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2016","4","1","00:00","47.6"
"Jokioinen Ilmala","2016","4","2","00:00","352.8"
"Jokioinen Ilmala","2016","4","3","00:00","1.7"
"Jokioinen Ilmala","2016","4","4","00:00","249"
"Jokioinen Ilmala","2016","4","5","00:00","0.3"
"Jokioinen Ilmala","2016","4","6","00:00","52.8"
"Jokioinen Ilmala","2016","4","7","00:00","21.3"
"Jokioinen Ilmala","2016","4","8","00:00","39.5"
"Jokioinen Ilmala","2016","4","9","00:00","7.9"
"Jokioinen Ilmala","2016","4","10","00:00","272.1"
"Jokioinen Ilmala","2016","4","11","00:00","288.2"
"Jokioinen Ilmala","2016","4","12","00:00","315.8"
"Jokioinen Ilmala","2016","4","13","00:00","330.8"
"Jokioinen Ilmala","2016","4","14","00:00","382"
"Jokioinen Ilmala","2016","4","15","00:00","87.5"
"Jokioinen Ilmala","2016","4","16","00:00","215.5"
"Jokioinen Ilmala","2016","4","17","00:00","0.1"
"Jokioinen Ilmala","2016","4","18","00:00","26.9"
"Jokioinen Ilmala","2016","4","19","00:00","48.6"
"Jokioinen Ilmala","2016","4","20","00:00","4.8"
"Jokioinen Ilmala","2016","4","21","00:00","257.5"
"Jokioinen Ilmala","2016","4","22","00:00","206.4"
"Jokioinen Ilmala","2016","4","23","00:00","134"
"Jokioinen Ilmala","2016","4","24","00:00","144.5"
"Jokioinen Ilmala","2016","4","25","00:00","91.5"
"Jokioinen Ilmala","2016","4","26","00:00","1.4"
"Jokioinen Ilmala","2016","4","27","00:00","128.1"
"Jokioinen Ilmala","2016","4","28","00:00","111.2"
"Jokioinen Ilmala","2016","4","29","00:00","221.6"
"Jokioinen Ilmala","2016","4","30","00:00","246.4"
"Jokioinen Ilmala","2016","5","1","00:00","447.7"
"Jokioinen Ilmala","2016","5","2","00:00","352.4"
"Jokioinen Ilmala","2016","5","3","00:00","422.8"
"Jokioinen Ilmala","2016","5","4","00:00","478"
"Jokioinen Ilmala","2016","5","5","00:00","476.5"
"Jokioinen Ilmala","2016","5","6","00:00","439.3"
"Jokioinen Ilmala","2016","5","7","00:00","347.5"
"Jokioinen Ilmala","2016","5","8","00:00","454.6"
"Jokioinen Ilmala","2016","5","9","00:00","411.9"
"Jokioinen Ilmala","2016","5","10","00:00","397.1"
"Jokioinen Ilmala","2016","5","11","00:00","352.8"
"Jokioinen Ilmala","2016","5","12","00:00","420.1"
"Jokioinen Ilmala","2016","5","13","00:00","353.8"
"Jokioinen Ilmala","2016","5","14","00:00","0.5"
"Jokioinen Ilmala","2016","5","15","00:00","2.4"
"Jokioinen Ilmala","2016","5","16","00:00","65.1"
"Jokioinen Ilmala","2016","5","17","00:00","102.2"
"Jokioinen Ilmala","2016","5","18","00:00","160.9"
"Jokioinen Ilmala","2016","5","19","00:00","104.8"
"Jokioinen Ilmala","2016","5","20","00:00","257.1"
"Jokioinen Ilmala","2016","5","21","00:00","272.3"
"Jokioinen Ilmala","2016","5","22","00:00","351.5"
"Jokioinen Ilmala","2016","5","23","00:00","237.7"
"Jokioinen Ilmala","2016","5","24","00:00","468.5"
"Jokioinen Ilmala","2016","5","25","00:00","154"
"Jokioinen Ilmala","2016","5","26","00:00","58.1"
"Jokioinen Ilmala","2016","5","27","00:00","141.1"
"Jokioinen Ilmala","2016","5","28","00:00","6.2"
"Jokioinen Ilmala","2016","5","29","00:00","1.9"
"Jokioinen Ilmala","2016","5","30","00:00","379.4"
"Jokioinen Ilmala","2016","5","31","00:00","423.6"
"Jokioinen Ilmala","2016","6","1","00:00","461.8"
