"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2017","4","1","00:00","0.6"
"Jokioinen Ilmala","2017","4","2","00:00","0.9"
"Jokioinen Ilmala","2017","4","3","00:00","5.3"
"Jokioinen Ilmala","2017","4","4","00:00","81.7"
"Jokioinen Ilmala","2017","4","5","00:00","94.1"
"Jokioinen Ilmala","2017","4","6","00:00","321.1"
"Jokioinen Ilmala","2017","4","7","00:00","40.1"
"Jokioinen Ilmala","2017","4","8","00:00","51"
"Jokioinen Ilmala","2017","4","9","00:00","52.1"
"Jokioinen Ilmala","2017","4","10","00:00","86.6"
"Jokioinen Ilmala","2017","4","11","00:00","89.6"
"Jokioinen Ilmala","2017","4","12","00:00","118.8"
"Jokioinen Ilmala","2017","4","13","00:00","18.9"
"Jokioinen Ilmala","2017","4","14","00:00","233.3"
"Jokioinen Ilmala","2017","4","15","00:00","204.8"
"Jokioinen Ilmala","2017","4","16","00:00","145"
"Jokioinen Ilmala","2017","4","17","00:00","235.1"
"Jokioinen Ilmala","2017","4","18","00:00","400.6"
"Jokioinen Ilmala","2017","4","19","00:00","271.5"
"Jokioinen Ilmala","2017","4","20","00:00","99.3"
"Jokioinen Ilmala","2017","4","21","00:00","201.9"
"Jokioinen Ilmala","2017","4","22","00:00","90.7"
"Jokioinen Ilmala","2017","4","23","00:00","158.6"
"Jokioinen Ilmala","2017","4","24","00:00","138.6"
"Jokioinen Ilmala","2017","4","25","00:00","135"
"Jokioinen Ilmala","2017","4","26","00:00","224"
"Jokioinen Ilmala","2017","4","27","00:00","208.1"
"Jokioinen Ilmala","2017","4","28","00:00","355.4"
"Jokioinen Ilmala","2017","4","29","00:00","100.1"
"Jokioinen Ilmala","2017","4","30","00:00","88.4"
"Jokioinen Ilmala","2017","5","1","00:00","460.4"
"Jokioinen Ilmala","2017","5","2","00:00","506.8"
"Jokioinen Ilmala","2017","5","3","00:00","504"
"Jokioinen Ilmala","2017","5","4","00:00","525.3"
"Jokioinen Ilmala","2017","5","5","00:00","400.3"
"Jokioinen Ilmala","2017","5","6","00:00","434.7"
"Jokioinen Ilmala","2017","5","7","00:00","310.6"
"Jokioinen Ilmala","2017","5","8","00:00","129.3"
"Jokioinen Ilmala","2017","5","9","00:00","168"
"Jokioinen Ilmala","2017","5","10","00:00","227.1"
"Jokioinen Ilmala","2017","5","11","00:00","321.6"
"Jokioinen Ilmala","2017","5","12","00:00","459.2"
"Jokioinen Ilmala","2017","5","13","00:00","309"
"Jokioinen Ilmala","2017","5","14","00:00","349.8"
"Jokioinen Ilmala","2017","5","15","00:00","347.1"
"Jokioinen Ilmala","2017","5","16","00:00","548"
"Jokioinen Ilmala","2017","5","17","00:00","2.1"
"Jokioinen Ilmala","2017","5","18","00:00","17.3"
"Jokioinen Ilmala","2017","5","19","00:00","388.4"
"Jokioinen Ilmala","2017","5","20","00:00","372.2"
"Jokioinen Ilmala","2017","5","21","00:00","539"
"Jokioinen Ilmala","2017","5","22","00:00","186.8"
"Jokioinen Ilmala","2017","5","23","00:00","310.6"
"Jokioinen Ilmala","2017","5","24","00:00","339.8"
"Jokioinen Ilmala","2017","5","25","00:00","181.8"
"Jokioinen Ilmala","2017","5","26","00:00","332.6"
"Jokioinen Ilmala","2017","5","27","00:00","4.4"
"Jokioinen Ilmala","2017","5","28","00:00","295.9"
"Jokioinen Ilmala","2017","5","29","00:00","465.1"
"Jokioinen Ilmala","2017","5","30","00:00","190.7"
"Jokioinen Ilmala","2017","5","31","00:00","44.4"
"Jokioinen Ilmala","2017","6","1","00:00","222.8"
