"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2018","4","1","00:00","275.3"
"Jokioinen Ilmala","2018","4","2","00:00","0.4"
"Jokioinen Ilmala","2018","4","3","00:00","389.1"
"Jokioinen Ilmala","2018","4","4","00:00","160.8"
"Jokioinen Ilmala","2018","4","5","00:00","0.8"
"Jokioinen Ilmala","2018","4","6","00:00","0.4"
"Jokioinen Ilmala","2018","4","7","00:00","202.1"
"Jokioinen Ilmala","2018","4","8","00:00","52.5"
"Jokioinen Ilmala","2018","4","9","00:00","41.5"
"Jokioinen Ilmala","2018","4","10","00:00","346.7"
"Jokioinen Ilmala","2018","4","11","00:00","429.8"
"Jokioinen Ilmala","2018","4","12","00:00","329.5"
"Jokioinen Ilmala","2018","4","13","00:00","435.4"
"Jokioinen Ilmala","2018","4","14","00:00","436.6"
"Jokioinen Ilmala","2018","4","15","00:00","132.8"
"Jokioinen Ilmala","2018","4","16","00:00","3.2"
"Jokioinen Ilmala","2018","4","17","00:00","1"
"Jokioinen Ilmala","2018","4","18","00:00","184.5"
"Jokioinen Ilmala","2018","4","19","00:00","294.5"
"Jokioinen Ilmala","2018","4","20","00:00","185.1"
"Jokioinen Ilmala","2018","4","21","00:00","139.7"
"Jokioinen Ilmala","2018","4","22","00:00","30.4"
"Jokioinen Ilmala","2018","4","23","00:00","177.7"
"Jokioinen Ilmala","2018","4","24","00:00","0.7"
"Jokioinen Ilmala","2018","4","25","00:00","1.1"
"Jokioinen Ilmala","2018","4","26","00:00","201"
"Jokioinen Ilmala","2018","4","27","00:00","216.6"
"Jokioinen Ilmala","2018","4","28","00:00","71.4"
"Jokioinen Ilmala","2018","4","29","00:00","8.9"
"Jokioinen Ilmala","2018","4","30","00:00","127.1"
"Jokioinen Ilmala","2018","5","1","00:00","0.2"
"Jokioinen Ilmala","2018","5","2","00:00","2"
"Jokioinen Ilmala","2018","5","3","00:00","62.8"
"Jokioinen Ilmala","2018","5","4","00:00","1.7"
"Jokioinen Ilmala","2018","5","5","00:00","295.1"
"Jokioinen Ilmala","2018","5","6","00:00","366.7"
"Jokioinen Ilmala","2018","5","7","00:00","-"
"-","2018","5","8","00:00","-"
"Jokioinen Ilmala","2018","5","9","00:00","493.3"
"Jokioinen Ilmala","2018","5","10","00:00","513"
"Jokioinen Ilmala","2018","5","11","00:00","502.8"
"Jokioinen Ilmala","2018","5","12","00:00","443.1"
"Jokioinen Ilmala","2018","5","13","00:00","368.1"
"Jokioinen Ilmala","2018","5","14","00:00","459.7"
"Jokioinen Ilmala","2018","5","15","00:00","391.7"
"Jokioinen Ilmala","2018","5","16","00:00","291.4"
"Jokioinen Ilmala","2018","5","17","00:00","246"
"Jokioinen Ilmala","2018","5","18","00:00","329.7"
"Jokioinen Ilmala","2018","5","19","00:00","506.2"
"Jokioinen Ilmala","2018","5","20","00:00","276.2"
"Jokioinen Ilmala","2018","5","21","00:00","500"
"Jokioinen Ilmala","2018","5","22","00:00","272.1"
"Jokioinen Ilmala","2018","5","23","00:00","317.4"
"Jokioinen Ilmala","2018","5","24","00:00","471.7"
"Jokioinen Ilmala","2018","5","25","00:00","447.5"
"Jokioinen Ilmala","2018","5","26","00:00","438.7"
"Jokioinen Ilmala","2018","5","27","00:00","375.2"
"Jokioinen Ilmala","2018","5","28","00:00","534.1"
"Jokioinen Ilmala","2018","5","29","00:00","521.2"
"Jokioinen Ilmala","2018","5","30","00:00","498.1"
"Jokioinen Ilmala","2018","5","31","00:00","547.7"
"Jokioinen Ilmala","2018","6","1","00:00","303.9"
