"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2019","4","1","00:00","417"
"Jokioinen Ilmala","2019","4","2","00:00","290.5"
"Jokioinen Ilmala","2019","4","3","00:00","376.1"
"Jokioinen Ilmala","2019","4","4","00:00","312.6"
"Jokioinen Ilmala","2019","4","5","00:00","132"
"Jokioinen Ilmala","2019","4","6","00:00","377.6"
"Jokioinen Ilmala","2019","4","7","00:00","141.8"
"Jokioinen Ilmala","2019","4","8","00:00","2.7"
"Jokioinen Ilmala","2019","4","9","00:00","1.9"
"Jokioinen Ilmala","2019","4","10","00:00","2.5"
"Jokioinen Ilmala","2019","4","11","00:00","367.4"
"Jokioinen Ilmala","2019","4","12","00:00","272.6"
"Jokioinen Ilmala","2019","4","13","00:00","2.1"
"Jokioinen Ilmala","2019","4","14","00:00","134.2"
"Jokioinen Ilmala","2019","4","15","00:00","464.4"
"Jokioinen Ilmala","2019","4","16","00:00","477.6"
"Jokioinen Ilmala","2019","4","17","00:00","478.9"
"Jokioinen Ilmala","2019","4","18","00:00","464.3"
"Jokioinen Ilmala","2019","4","19","00:00","207.9"
"Jokioinen Ilmala","2019","4","20","00:00","24.1"
"Jokioinen Ilmala","2019","4","21","00:00","378.7"
"Jokioinen Ilmala","2019","4","22","00:00","52.9"
"Jokioinen Ilmala","2019","4","23","00:00","418.6"
"Jokioinen Ilmala","2019","4","24","00:00","369"
"Jokioinen Ilmala","2019","4","25","00:00","154.4"
"Jokioinen Ilmala","2019","4","26","00:00","22.7"
"Jokioinen Ilmala","2019","4","27","00:00","363.5"
"Jokioinen Ilmala","2019","4","28","00:00","440.5"
"Jokioinen Ilmala","2019","4","29","00:00","431.1"
"Jokioinen Ilmala","2019","4","30","00:00","132.4"
"Jokioinen Ilmala","2019","5","1","00:00","148.6"
"Jokioinen Ilmala","2019","5","2","00:00","1.2"
"Jokioinen Ilmala","2019","5","3","00:00","35.9"
"Jokioinen Ilmala","2019","5","4","00:00","138.1"
"Jokioinen Ilmala","2019","5","5","00:00","220.4"
"Jokioinen Ilmala","2019","5","6","00:00","141.1"
"Jokioinen Ilmala","2019","5","7","00:00","161.6"
"Jokioinen Ilmala","2019","5","8","00:00","346.6"
"Jokioinen Ilmala","2019","5","9","00:00","463.6"
"Jokioinen Ilmala","2019","5","10","00:00","14.3"
"Jokioinen Ilmala","2019","5","11","00:00","3.6"
"Jokioinen Ilmala","2019","5","12","00:00","10.7"
"Jokioinen Ilmala","2019","5","13","00:00","146.2"
"Jokioinen Ilmala","2019","5","14","00:00","507.9"
"Jokioinen Ilmala","2019","5","15","00:00","459.9"
"Jokioinen Ilmala","2019","5","16","00:00","441.3"
"Jokioinen Ilmala","2019","5","17","00:00","484.8"
"Jokioinen Ilmala","2019","5","18","00:00","489.6"
"Jokioinen Ilmala","2019","5","19","00:00","169.7"
"Jokioinen Ilmala","2019","5","20","00:00","129.9"
"Jokioinen Ilmala","2019","5","21","00:00","216.5"
"Jokioinen Ilmala","2019","5","22","00:00","274.9"
"Jokioinen Ilmala","2019","5","23","00:00","0.7"
"Jokioinen Ilmala","2019","5","24","00:00","1"
"Jokioinen Ilmala","2019","5","25","00:00","3.2"
"Jokioinen Ilmala","2019","5","26","00:00","0.5"
"Jokioinen Ilmala","2019","5","27","00:00","16.2"
"Jokioinen Ilmala","2019","5","28","00:00","76.1"
"Jokioinen Ilmala","2019","5","29","00:00","321.8"
"Jokioinen Ilmala","2019","5","30","00:00","510"
"Jokioinen Ilmala","2019","5","31","00:00","435.8"
"Jokioinen Ilmala","2019","6","1","00:00","223.1"
