"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2020","4","1","00:00","256.4"
"Jokioinen Ilmala","2020","4","2","00:00","41.7"
"Jokioinen Ilmala","2020","4","3","00:00","91"
"Jokioinen Ilmala","2020","4","4","00:00","306"
"Jokioinen Ilmala","2020","4","5","00:00","376.3"
"Jokioinen Ilmala","2020","4","6","00:00","146.8"
"Jokioinen Ilmala","2020","4","7","00:00","226.3"
"Jokioinen Ilmala","2020","4","8","00:00","262.5"
"Jokioinen Ilmala","2020","4","9","00:00","243.2"
"Jokioinen Ilmala","2020","4","10","00:00","263.8"
"Jokioinen Ilmala","2020","4","11","00:00","-"
"-","2020","4","12","00:00","-"
"-","2020","4","13","00:00","-"
"-","2020","4","14","00:00","-"
"-","2020","4","15","00:00","-"
"-","2020","4","16","00:00","-"
"Jokioinen Ilmala","2020","4","17","00:00","180.2"
"Jokioinen Ilmala","2020","4","18","00:00","410.5"
"Jokioinen Ilmala","2020","4","19","00:00","290.1"
"Jokioinen Ilmala","2020","4","20","00:00","52.1"
"Jokioinen Ilmala","2020","4","21","00:00","485.6"
"Jokioinen Ilmala","2020","4","22","00:00","386.6"
"Jokioinen Ilmala","2020","4","23","00:00","405.6"
"Jokioinen Ilmala","2020","4","24","00:00","34.6"
"Jokioinen Ilmala","2020","4","25","00:00","198.5"
"Jokioinen Ilmala","2020","4","26","00:00","31.8"
"Jokioinen Ilmala","2020","4","27","00:00","175.8"
"Jokioinen Ilmala","2020","4","28","00:00","2.7"
"Jokioinen Ilmala","2020","4","29","00:00","113.9"
"Jokioinen Ilmala","2020","4","30","00:00","262.2"
"Jokioinen Ilmala","2020","5","1","00:00","63.9"
"Jokioinen Ilmala","2020","5","2","00:00","15.4"
"Jokioinen Ilmala","2020","5","3","00:00","34.9"
"Jokioinen Ilmala","2020","5","4","00:00","229.6"
"Jokioinen Ilmala","2020","5","5","00:00","340.7"
"Jokioinen Ilmala","2020","5","6","00:00","266.6"
"Jokioinen Ilmala","2020","5","7","00:00","407.1"
"Jokioinen Ilmala","2020","5","8","00:00","110.7"
"Jokioinen Ilmala","2020","5","9","00:00","462.4"
"Jokioinen Ilmala","2020","5","10","00:00","261.8"
"Jokioinen Ilmala","2020","5","11","00:00","79.6"
"Jokioinen Ilmala","2020","5","12","00:00","386.4"
"Jokioinen Ilmala","2020","5","13","00:00","91.5"
"Jokioinen Ilmala","2020","5","14","00:00","228"
"Jokioinen Ilmala","2020","5","15","00:00","151"
"Jokioinen Ilmala","2020","5","16","00:00","7.4"
"Jokioinen Ilmala","2020","5","17","00:00","95.2"
"Jokioinen Ilmala","2020","5","18","00:00","164.4"
"Jokioinen Ilmala","2020","5","19","00:00","153"
"Jokioinen Ilmala","2020","5","20","00:00","282.4"
"Jokioinen Ilmala","2020","5","21","00:00","158.2"
"Jokioinen Ilmala","2020","5","22","00:00","549.9"
"Jokioinen Ilmala","2020","5","23","00:00","448.1"
"Jokioinen Ilmala","2020","5","24","00:00","3.7"
"Jokioinen Ilmala","2020","5","25","00:00","138.1"
"Jokioinen Ilmala","2020","5","26","00:00","398.7"
"Jokioinen Ilmala","2020","5","27","00:00","255.1"
"Jokioinen Ilmala","2020","5","28","00:00","337.9"
"Jokioinen Ilmala","2020","5","29","00:00","284.1"
"Jokioinen Ilmala","2020","5","30","00:00","551.4"
"Jokioinen Ilmala","2020","5","31","00:00","546.4"
"Jokioinen Ilmala","2020","6","1","00:00","294.5"
