"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2022","4","1","00:00","239.5"
"Jokioinen Ilmala","2022","4","2","00:00","324.7"
"Jokioinen Ilmala","2022","4","3","00:00","273.2"
"Jokioinen Ilmala","2022","4","4","00:00","0.8"
"Jokioinen Ilmala","2022","4","5","00:00","0.4"
"Jokioinen Ilmala","2022","4","6","00:00","63.5"
"Jokioinen Ilmala","2022","4","7","00:00","40.6"
"Jokioinen Ilmala","2022","4","8","00:00","-"
"-","2022","4","9","00:00","-"
"-","2022","4","10","00:00","-"
"-","2022","4","11","00:00","-"
"-","2022","4","12","00:00","-"
"-","2022","4","13","00:00","-"
"-","2022","4","14","00:00","-"
"-","2022","4","15","00:00","-"
"-","2022","4","16","00:00","-"
"-","2022","4","17","00:00","-"
"-","2022","4","18","00:00","-"
"-","2022","4","19","00:00","-"
"-","2022","4","20","00:00","-"
"Jokioinen Ilmala","2022","4","21","00:00","481.2"
"Jokioinen Ilmala","2022","4","22","00:00","472.2"
"Jokioinen Ilmala","2022","4","23","00:00","38.1"
"Jokioinen Ilmala","2022","4","24","00:00","464.9"
"Jokioinen Ilmala","2022","4","25","00:00","446.3"
"Jokioinen Ilmala","2022","4","26","00:00","256.9"
"Jokioinen Ilmala","2022","4","27","00:00","292.5"
"Jokioinen Ilmala","2022","4","28","00:00","115.4"
"Jokioinen Ilmala","2022","4","29","00:00","233.2"
"Jokioinen Ilmala","2022","4","30","00:00","159.6"
"Jokioinen Ilmala","2022","5","1","00:00","249.5"
"Jokioinen Ilmala","2022","5","2","00:00","53.1"
"Jokioinen Ilmala","2022","5","3","00:00","109.4"
"Jokioinen Ilmala","2022","5","4","00:00","378.8"
"Jokioinen Ilmala","2022","5","5","00:00","163.1"
"Jokioinen Ilmala","2022","5","6","00:00","292.8"
"Jokioinen Ilmala","2022","5","7","00:00","46.2"
"Jokioinen Ilmala","2022","5","8","00:00","351.2"
"Jokioinen Ilmala","2022","5","9","00:00","105.2"
"Jokioinen Ilmala","2022","5","10","00:00","282"
"Jokioinen Ilmala","2022","5","11","00:00","59.9"
"Jokioinen Ilmala","2022","5","12","00:00","47.6"
"Jokioinen Ilmala","2022","5","13","00:00","467.7"
"Jokioinen Ilmala","2022","5","14","00:00","131.2"
"Jokioinen Ilmala","2022","5","15","00:00","418.7"
"Jokioinen Ilmala","2022","5","16","00:00","217"
"Jokioinen Ilmala","2022","5","17","00:00","87.3"
"Jokioinen Ilmala","2022","5","18","00:00","429.8"
"Jokioinen Ilmala","2022","5","19","00:00","307.7"
"Jokioinen Ilmala","2022","5","20","00:00","291.9"
"Jokioinen Ilmala","2022","5","21","00:00","446"
"Jokioinen Ilmala","2022","5","22","00:00","369.4"
"Jokioinen Ilmala","2022","5","23","00:00","447.2"
"Jokioinen Ilmala","2022","5","24","00:00","517.3"
"Jokioinen Ilmala","2022","5","25","00:00","232.5"
"Jokioinen Ilmala","2022","5","26","00:00","11.6"
"Jokioinen Ilmala","2022","5","27","00:00","1.8"
"Jokioinen Ilmala","2022","5","28","00:00","13.5"
"Jokioinen Ilmala","2022","5","29","00:00","173.9"
"Jokioinen Ilmala","2022","5","30","00:00","270.7"
"Jokioinen Ilmala","2022","5","31","00:00","2.3"
"Jokioinen Ilmala","2022","6","1","00:00","166"
