"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2004","5","1","00:00","195.8"
"Jokioinen Ilmala","2004","5","2","00:00","428.1"
"Jokioinen Ilmala","2004","5","3","00:00","379.2"
"Jokioinen Ilmala","2004","5","4","00:00","0.3"
"Jokioinen Ilmala","2004","5","5","00:00","283.2"
"Jokioinen Ilmala","2004","5","6","00:00","341.7"
"Jokioinen Ilmala","2004","5","7","00:00","215.6"
"Jokioinen Ilmala","2004","5","8","00:00","160.5"
"Jokioinen Ilmala","2004","5","9","00:00","160.8"
"Jokioinen Ilmala","2004","5","10","00:00","142.1"
"Jokioinen Ilmala","2004","5","11","00:00","350.1"
"Jokioinen Ilmala","2004","5","12","00:00","215"
"Jokioinen Ilmala","2004","5","13","00:00","294.6"
"Jokioinen Ilmala","2004","5","14","00:00","27.3"
"Jokioinen Ilmala","2004","5","15","00:00","261.3"
"Jokioinen Ilmala","2004","5","16","00:00","8.6"
"Jokioinen Ilmala","2004","5","17","00:00","354.5"
"Jokioinen Ilmala","2004","5","18","00:00","42.3"
"Jokioinen Ilmala","2004","5","19","00:00","36.6"
"Jokioinen Ilmala","2004","5","20","00:00","288.6"
"Jokioinen Ilmala","2004","5","21","00:00","45.5"
"Jokioinen Ilmala","2004","5","22","00:00","120.1"
"Jokioinen Ilmala","2004","5","23","00:00","97.3"
"Jokioinen Ilmala","2004","5","24","00:00","156.5"
"Jokioinen Ilmala","2004","5","25","00:00","193.6"
"Jokioinen Ilmala","2004","5","26","00:00","467.1"
"Jokioinen Ilmala","2004","5","27","00:00","113.5"
"Jokioinen Ilmala","2004","5","28","00:00","105"
"Jokioinen Ilmala","2004","5","29","00:00","177.5"
"Jokioinen Ilmala","2004","5","30","00:00","34.2"
"Jokioinen Ilmala","2004","5","31","00:00","124.7"
"Jokioinen Ilmala","2004","6","1","00:00","312"
"Jokioinen Ilmala","2004","6","2","00:00","372.5"
"Jokioinen Ilmala","2004","6","3","00:00","382.8"
"Jokioinen Ilmala","2004","6","4","00:00","413.3"
"Jokioinen Ilmala","2004","6","5","00:00","485.9"
"Jokioinen Ilmala","2004","6","6","00:00","215.1"
"Jokioinen Ilmala","2004","6","7","00:00","34.3"
"Jokioinen Ilmala","2004","6","8","00:00","114"
"Jokioinen Ilmala","2004","6","9","00:00","587.6"
"Jokioinen Ilmala","2004","6","10","00:00","212.7"
"Jokioinen Ilmala","2004","6","11","00:00","0.3"
"Jokioinen Ilmala","2004","6","12","00:00","3.2"
"Jokioinen Ilmala","2004","6","13","00:00","156.4"
"Jokioinen Ilmala","2004","6","14","00:00","203.2"
"Jokioinen Ilmala","2004","6","15","00:00","397.5"
"Jokioinen Ilmala","2004","6","16","00:00","47.3"
"Jokioinen Ilmala","2004","6","17","00:00","152.3"
"Jokioinen Ilmala","2004","6","18","00:00","232.6"
"Jokioinen Ilmala","2004","6","19","00:00","113.5"
"Jokioinen Ilmala","2004","6","20","00:00","311.9"
"Jokioinen Ilmala","2004","6","21","00:00","118.6"
"Jokioinen Ilmala","2004","6","22","00:00","240.3"
"Jokioinen Ilmala","2004","6","23","00:00","57.2"
"Jokioinen Ilmala","2004","6","24","00:00","20.6"
"Jokioinen Ilmala","2004","6","25","00:00","262.3"
"Jokioinen Ilmala","2004","6","26","00:00","123.2"
"Jokioinen Ilmala","2004","6","27","00:00","73.3"
"Jokioinen Ilmala","2004","6","28","00:00","138.9"
"Jokioinen Ilmala","2004","6","29","00:00","292.4"
"Jokioinen Ilmala","2004","6","30","00:00","0"
"Jokioinen Ilmala","2004","7","1","00:00","167.1"
