"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2005","5","1","00:00","96.1"
"Jokioinen Ilmala","2005","5","2","00:00","152.9"
"Jokioinen Ilmala","2005","5","3","00:00","5.8"
"Jokioinen Ilmala","2005","5","4","00:00","4.3"
"Jokioinen Ilmala","2005","5","5","00:00","2.2"
"Jokioinen Ilmala","2005","5","6","00:00","134.4"
"Jokioinen Ilmala","2005","5","7","00:00","73.8"
"Jokioinen Ilmala","2005","5","8","00:00","172.1"
"Jokioinen Ilmala","2005","5","9","00:00","168"
"Jokioinen Ilmala","2005","5","10","00:00","176.1"
"Jokioinen Ilmala","2005","5","11","00:00","121.3"
"Jokioinen Ilmala","2005","5","12","00:00","170.3"
"Jokioinen Ilmala","2005","5","13","00:00","252.7"
"Jokioinen Ilmala","2005","5","14","00:00","270.7"
"Jokioinen Ilmala","2005","5","15","00:00","13.6"
"Jokioinen Ilmala","2005","5","16","00:00","47.4"
"Jokioinen Ilmala","2005","5","17","00:00","76.6"
"Jokioinen Ilmala","2005","5","18","00:00","21.6"
"Jokioinen Ilmala","2005","5","19","00:00","190.3"
"Jokioinen Ilmala","2005","5","20","00:00","304.6"
"Jokioinen Ilmala","2005","5","21","00:00","302.6"
"Jokioinen Ilmala","2005","5","22","00:00","75.7"
"Jokioinen Ilmala","2005","5","23","00:00","120.3"
"Jokioinen Ilmala","2005","5","24","00:00","120.4"
"Jokioinen Ilmala","2005","5","25","00:00","238.3"
"Jokioinen Ilmala","2005","5","26","00:00","50.9"
"Jokioinen Ilmala","2005","5","27","00:00","218.7"
"Jokioinen Ilmala","2005","5","28","00:00","360.8"
"Jokioinen Ilmala","2005","5","29","00:00","6.1"
"Jokioinen Ilmala","2005","5","30","00:00","18.5"
"Jokioinen Ilmala","2005","5","31","00:00","122.7"
"Jokioinen Ilmala","2005","6","1","00:00","38.6"
"Jokioinen Ilmala","2005","6","2","00:00","180.2"
"Jokioinen Ilmala","2005","6","3","00:00","171"
"Jokioinen Ilmala","2005","6","4","00:00","4.6"
"Jokioinen Ilmala","2005","6","5","00:00","41.6"
"Jokioinen Ilmala","2005","6","6","00:00","9.6"
"Jokioinen Ilmala","2005","6","7","00:00","144"
"Jokioinen Ilmala","2005","6","8","00:00","320.2"
"Jokioinen Ilmala","2005","6","9","00:00","168.9"
"Jokioinen Ilmala","2005","6","10","00:00","262.3"
"Jokioinen Ilmala","2005","6","11","00:00","115.9"
"Jokioinen Ilmala","2005","6","12","00:00","13.1"
"Jokioinen Ilmala","2005","6","13","00:00","13.5"
"Jokioinen Ilmala","2005","6","14","00:00","206.7"
"Jokioinen Ilmala","2005","6","15","00:00","240"
"Jokioinen Ilmala","2005","6","16","00:00","306.3"
"Jokioinen Ilmala","2005","6","17","00:00","127.9"
"Jokioinen Ilmala","2005","6","18","00:00","217.6"
"Jokioinen Ilmala","2005","6","19","00:00","283.3"
"Jokioinen Ilmala","2005","6","20","00:00","264.3"
"Jokioinen Ilmala","2005","6","21","00:00","190.9"
"Jokioinen Ilmala","2005","6","22","00:00","128.3"
"Jokioinen Ilmala","2005","6","23","00:00","132.9"
"Jokioinen Ilmala","2005","6","24","00:00","223.8"
"Jokioinen Ilmala","2005","6","25","00:00","62.7"
"Jokioinen Ilmala","2005","6","26","00:00","307.2"
"Jokioinen Ilmala","2005","6","27","00:00","74.5"
"Jokioinen Ilmala","2005","6","28","00:00","86.3"
"Jokioinen Ilmala","2005","6","29","00:00","66.5"
"Jokioinen Ilmala","2005","6","30","00:00","28.7"
"Jokioinen Ilmala","2005","7","1","00:00","276.6"
