"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2006","5","1","00:00","250.3"
"Jokioinen Ilmala","2006","5","2","00:00","83.4"
"Jokioinen Ilmala","2006","5","3","00:00","122"
"Jokioinen Ilmala","2006","5","4","00:00","218.8"
"Jokioinen Ilmala","2006","5","5","00:00","228.4"
"Jokioinen Ilmala","2006","5","6","00:00","267.1"
"Jokioinen Ilmala","2006","5","7","00:00","273.1"
"Jokioinen Ilmala","2006","5","8","00:00","235.7"
"Jokioinen Ilmala","2006","5","9","00:00","298.2"
"Jokioinen Ilmala","2006","5","10","00:00","300.2"
"Jokioinen Ilmala","2006","5","11","00:00","226.5"
"Jokioinen Ilmala","2006","5","12","00:00","148.4"
"Jokioinen Ilmala","2006","5","13","00:00","107.2"
"Jokioinen Ilmala","2006","5","14","00:00","319.3"
"Jokioinen Ilmala","2006","5","15","00:00","106.7"
"Jokioinen Ilmala","2006","5","16","00:00","206.9"
"Jokioinen Ilmala","2006","5","17","00:00","329.3"
"Jokioinen Ilmala","2006","5","18","00:00","179.3"
"Jokioinen Ilmala","2006","5","19","00:00","74.3"
"Jokioinen Ilmala","2006","5","20","00:00","3.1"
"Jokioinen Ilmala","2006","5","21","00:00","42.2"
"Jokioinen Ilmala","2006","5","22","00:00","180.9"
"Jokioinen Ilmala","2006","5","23","00:00","3.9"
"Jokioinen Ilmala","2006","5","24","00:00","4.8"
"Jokioinen Ilmala","2006","5","25","00:00","114.6"
"Jokioinen Ilmala","2006","5","26","00:00","3.9"
"Jokioinen Ilmala","2006","5","27","00:00","13.6"
"Jokioinen Ilmala","2006","5","28","00:00","88.6"
"Jokioinen Ilmala","2006","5","29","00:00","76.9"
"Jokioinen Ilmala","2006","5","30","00:00","111.9"
"Jokioinen Ilmala","2006","5","31","00:00","152"
"Jokioinen Ilmala","2006","6","1","00:00","228.8"
"Jokioinen Ilmala","2006","6","2","00:00","262.3"
"Jokioinen Ilmala","2006","6","3","00:00","3.1"
"Jokioinen Ilmala","2006","6","4","00:00","285.2"
"Jokioinen Ilmala","2006","6","5","00:00","170.8"
"Jokioinen Ilmala","2006","6","6","00:00","72.7"
"Jokioinen Ilmala","2006","6","7","00:00","77.3"
"Jokioinen Ilmala","2006","6","8","00:00","108"
"Jokioinen Ilmala","2006","6","9","00:00","83.2"
"Jokioinen Ilmala","2006","6","10","00:00","340.8"
"Jokioinen Ilmala","2006","6","11","00:00","287.8"
"Jokioinen Ilmala","2006","6","12","00:00","333"
"Jokioinen Ilmala","2006","6","13","00:00","335"
"Jokioinen Ilmala","2006","6","14","00:00","219.7"
"Jokioinen Ilmala","2006","6","15","00:00","243.2"
"Jokioinen Ilmala","2006","6","16","00:00","-"
"-","2006","6","17","00:00","-"
"Jokioinen Ilmala","2006","6","18","00:00","347.5"
"Jokioinen Ilmala","2006","6","19","00:00","251"
"Jokioinen Ilmala","2006","6","20","00:00","280.7"
"Jokioinen Ilmala","2006","6","21","00:00","161.4"
"Jokioinen Ilmala","2006","6","22","00:00","40"
"Jokioinen Ilmala","2006","6","23","00:00","207"
"Jokioinen Ilmala","2006","6","24","00:00","294.2"
"Jokioinen Ilmala","2006","6","25","00:00","213.4"
"Jokioinen Ilmala","2006","6","26","00:00","195"
"Jokioinen Ilmala","2006","6","27","00:00","2.1"
"Jokioinen Ilmala","2006","6","28","00:00","21.2"
"Jokioinen Ilmala","2006","6","29","00:00","259.4"
"Jokioinen Ilmala","2006","6","30","00:00","336.4"
"Jokioinen Ilmala","2006","7","1","00:00","297.2"
